ID,Long,Lat
1,-78.904447,42.942055
2,-78.847939,42.898078
3,-78.824559,42.903261
4,-78.876472,42.902454
5,-78.886731,42.901385
6,-78.871464,42.89289
7,-78.900472,42.960752
8,-78.838594,42.885533
9,-78.883462,42.912177
10,-78.833668,42.940778
11,-78.802029,42.885992
12,-78.803935,42.907912
13,-78.837069,42.941429
14,-78.86424,42.921088
15,-78.822952,42.835326
16,-78.836999,42.942581
17,-78.886045,42.913734
18,-78.880523,42.914379
19,-78.806385,42.945553
20,-78.866192,42.882504
21,-78.862541,42.958189
22,-78.826382,42.892254
23,-78.894734,42.911872
24,-78.868223,42.9427
25,-78.822583,42.913637
26,-78.888361,42.92923
27,-78.819354,42.947695
28,-78.815776,42.939992
29,-78.897122,42.955822
30,-78.873361,42.899608
31,-78.824925,42.853651
32,-78.812561,42.848326
33,-78.829186,42.884236
34,-78.831491,42.835554
35,-78.815316,42.906902
36,-78.846936,42.89937
37,-78.879945,42.879424
38,-78.895046,42.936731
39,-78.872377,42.888745
40,-78.893672,42.908692
41,-78.83432,42.89896
42,-78.805813,42.911092
43,-78.877572,42.949461
44,-78.876867,42.891285
45,-78.878907,42.919844
46,-78.877224,42.897115
47,-78.85129,42.93075
48,-78.839234,42.935349
49,-78.836911,42.90274
50,-78.827199,42.89132
51,-78.813839,42.90128
52,-78.803704,42.926928
53,-78.901193,42.96289
54,-78.818631,42.895261
55,-78.902837,42.948535
56,-78.82651,42.848873
57,-78.876793,42.899133
58,-78.838377,42.914426
59,-78.808774,42.894046
60,-78.814014,42.948227
61,-78.883928,42.900596
62,-78.884909,42.941066
63,-78.829132,42.917684
64,-78.849422,42.956629
65,-78.850277,42.90378
66,-78.869983,42.911553
67,-78.811894,42.920189
68,-78.823743,42.846931
69,-78.836789,42.891326
70,-78.871325,42.895141
71,-78.839219,42.946473
72,-78.849262,42.867234
73,-78.901426,42.935698
74,-78.819615,42.947695
75,-78.86693,42.921383
76,-78.859965,42.958442
77,-78.819615,42.947695
78,-78.894821,42.958847
79,-78.866902,42.882667
80,-78.889971,42.915095
81,-78.813105,42.904657
82,-78.842544,42.937767
83,-78.868085,42.872347
84,-78.883985,42.958409
85,-78.848983,42.932704
86,-78.807533,42.9326
87,-78.815215,42.899823
88,-78.843126,42.880638
89,-78.901426,42.935698
