ID,Longitude,Latitude,WAs,WP,WFe,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,SpH,SEc,SOC,SP,Sand,Silt,Clay,Elevation,Year_Irrigation,Distance_STW,Land_type,Land_type_ID
210,89.2418,22.6462,0.2,0.68,8.07,3.12,7.03,81.7,411.2,210.6,12.3,1.613,13.9,4.87,10.07,2740,8.18,2.324,0.72,5.73,6.1,49.3,44.6,3,5,10,MHL,2
211,89.2418,22.6895,0.296,0.76,8.36,2.36,7.16,60.2,290.2,157.4,13.3,1.326,23.1,9.104,17.56,3740,8.29,1.798,1.17,26.8,7,53.8,39.2,6,11,15,MHL,2
212,89.2418,22.6832,0.382,1.05,8.34,2.41,7.05,55.8,260,172,11.8,1.427,23.9,6.473,12.55,1860,8.34,1.91,1.13,13.51,11.6,51.3,37.1,5,7,15,MHL,2
213,89.2506,22.6751,0.183,1.37,4.81,2.17,7.08,57.7,259.9,133.1,12.4,1.167,14.6,4.294,10.18,2070,8.39,2.028,1.74,30.04,9.5,43.8,46.7,7,2,30,MHL,2
214,89.2288,22.6964,0.098,0.99,4.93,2.94,7.18,69.8,433,132.4,15.5,1.136,15.12,5.273,4.28,1690,8.61,2.225,1.09,6.17,9.1,50.5,40.4,5,3,10,MHL,2
215,89.2553,22.7644,0.012,0.47,2.11,0.734,7.21,17.1,51,87.4,2.7,2.84,9.3,1.304,2.56,2650,7.81,0.667,0.7,5.63,12.9,54.2,32.9,6,2,10,HL,1
216,89.2518,22.7797,0.019,0.54,3.08,0.615,7.17,15.9,12.2,88.7,2.5,1.192,6.6,1.543,4.42,3000,7.67,0.492,1.23,12,14.6,54.2,31.2,6,5,10,HL,1
217,89.2577,22.7861,0.037,0.89,3.57,0.602,7.21,17.9,10.1,84,2.8,0.653,6.8,2.061,4.28,3510,7.97,0.45,0.9,9.51,17.5,41.3,41.2,5,10,10,HL,1
218,89.2504,22.7871,0.02,0.36,2.15,0.547,7.29,16.4,45,83.3,2.1,1.344,7.6,0.939,2.63,1610,8,0.446,0.68,13.94,18.7,58.4,22.9,8,3,10,HL,1
219,89.2435,22.788,0.019,0.49,2.39,0.623,7.34,17.1,33,80,3.3,0.804,7.8,1.428,4.59,3380,7.94,0.511,1.07,19.78,13.7,43.4,42.9,5,11,10,HL,1
220,89.2359,22.7949,0.117,1.59,5.88,0.787,7.05,29.1,39.6,99.3,4.2,0.781,19.5,4.122,13.59,2890,7.85,0.51,1.23,23.34,8.6,27.2,64.2,5,4,15,HL,1
221,89.2307,22.8034,0.153,1.56,6.3,0.897,7.02,37.1,87,99.7,5,0.808,18.14,6.569,13.62,2080,8.07,0.517,1.09,26.26,10.7,21.4,67.9,4,11,10,HL,1
222,89.2332,22.8122,0.126,1.18,3.97,0.889,7.18,35.6,20,94.2,8.8,1.164,12,3.033,6.53,1970,8.31,0.57,1.31,22.26,20.7,46.4,32.9,8,8,10,HL,1
223,89.2244,22.7658,0.242,1.27,4.89,2.23,7.3,48.5,269.4,94.1,10.3,0.82,14.9,3.626,12.46,2000,8.35,1.361,1.33,17.94,10.7,38.9,50.4,6,10,20,HL,1
224,89.2077,22.7578,0.24,1.19,3.22,2.233,7.25,52.6,348,112.1,10.6,0.91,13.6,4.139,8.3,2110,8.31,1.612,1.21,21.61,8.3,43,48.7,8,12,10,HL,1
225,89.2122,22.774,0.194,1.17,2.73,1.471,7.2,39,130,92,7.8,0.819,15.3,3.277,7.4,2740,8.3,1.236,1.74,13.73,10.8,24.2,65,3,9,15,HL,1
226,89.2063,22.7629,0.075,0.94,7.56,1.032,6.93,31.5,114,127,4.9,1.042,17,3.649,12.63,3220,8.33,1.465,1.05,9.73,5.4,48.4,46.2,4,9,12,HL,1
227,89.2175,22.7549,0.231,0.91,3.05,2.4,7.2,50.9,357,123.6,11.3,1.045,12.5,2.899,8.61,3060,8.13,1.588,1.05,22.8,10.3,37.2,52.5,5,5,35,HL,1
228,89.2278,22.7378,0.249,1.36,5.1,1.332,7.11,42.5,126.4,106.2,9.3,0.894,21.23,4.973,11.56,1000,8.4,1.776,1.13,14.91,10.4,33.4,56.2,6,8,10,HL,1
229,89.2337,22.7394,0.162,1.13,4.56,0.916,7.13,37.8,110,111.5,6.2,1.093,6.4,1.894,5.57,2340,8.53,1.461,0.99,13.51,10.8,53,36.2,7,4,30,HL,1
230,89.2352,22.7322,0.173,1.68,6.44,3.355,7.03,82.8,373,204.7,11.4,23.618,22.8,2.889,12.6,3750,8.08,2.042,0.91,15.35,8.3,55.5,36.2,5,3,15,HL,1
231,89.2776,22.7167,0.071,0.9,5.36,2.34,7.15,70.3,287,159.3,11.1,12.7,19.5,4.034,10.56,2520,8.18,1.516,0.85,20.64,10.8,49.2,40,2,2,10,HL,1
232,89.2825,22.7101,0.036,0.36,4.5,3.17,7.12,76,470,175,8.8,28.186,12.9,3.125,8.15,2830,8.17,1.497,1.03,17.29,7.9,50.1,42,9,3,45,HL,1
233,89.2709,22.7077,0.033,0.48,4.83,1.527,7.13,36.1,187,171.8,3.7,4.318,10.6,2.109,5.46,1840,8.43,1.322,0.54,13.62,10.4,60.1,29.5,7,5,10,MHL,2
234,89.2844,22.7204,0.055,0.84,2.31,0.669,7.26,25.5,20.8,89.5,4.4,0.724,13.7,3.587,9.66,3510,8.24,1.464,0.85,15.56,4.9,45.1,50,3,3,10,MHL,2
235,89.2648,22.7366,0.256,1.63,6.2,1.443,7.18,43,74,93.3,9.9,0.927,27.2,7.797,22.5,2430,8.62,1.204,1.11,38.35,4.9,70.1,25,5,4,10,MHL,2
236,89.1725,22.7234,0.17,1.38,5.29,1.533,7.13,48.8,158.4,127.3,7.5,1.087,22.6,6.655,15.72,1790,8.55,1.634,1.46,36.84,10,50,40,3,13,10,MHL,2
237,89.1685,22.7306,0.171,1.18,6.22,2.02,7.03,52.3,236,156.2,8.8,1.303,16.6,4.087,10.04,1200,8.22,1.651,1.86,14.16,12.5,40,47.5,2,3,10,MHL,2
238,89.1629,22.7295,0.147,1.54,4.96,1.83,7.56,42.6,205.7,112.5,7,0.948,33.9,7.703,20.04,3740,7.97,1.67,2.6,46.03,12.1,31.7,56.2,3,8,10,MHL,2
239,89.1664,22.7245,0.092,0.87,6.27,3.25,7.18,75.7,431.9,244.1,9.3,2.002,18.19,2.756,6.06,1810,7.86,1.732,1.22,3.25,9.5,53,37.5,3,7,10,MHL,2
240,89.1679,22.7198,0.145,0.9,6.87,2.04,7.08,50.5,276,163,8.5,1.339,14.6,4.521,11.49,3880,7.77,1.62,2.64,8.43,17,43,40,3,7,10,MHL,2
241,89.1712,22.7167,0.153,1.02,5.43,1.787,7.14,43.2,198.9,128.9,8,1.06,19.1,4.383,11.16,1760,8.21,1.523,1.65,6.49,18.4,51.3,30.3,2,8,25,MHL,2
242,89.1823,22.709,0.157,1.14,9.79,2.29,6.96,64.1,279,206.1,9.8,1.852,25.7,4.555,11.42,2910,8.26,1.501,0.93,24.53,10.8,43.4,45.8,5,10,10,MHL,2
243,89.1794,22.7009,0.246,1.38,5.27,1.848,7.03,43.8,208.6,135.8,8.7,1.124,29.1,9.251,20.44,1820,8.23,1.538,1.48,52.3,10.9,58.8,30.3,4,10,20,MHL,2
244,89.1724,22.6907,0.077,0.76,5.81,2.48,7.06,53.3,288.6,172.4,9.6,14.002,17,5.245,12.01,2290,8.25,1.66,1.48,15.02,12.5,55.5,32,4,18,10,MHL,2
245,89.1606,22.6873,0.249,0.74,4.71,1.584,7.22,40.3,106,129.7,8.6,1.114,13.6,3.658,7.96,1440,8.19,1.804,1.98,14.81,12.5,44.2,43.3,4,6,5,MHL,2
246,89.2083,22.7099,0.343,1.41,5.06,2.49,7.11,60.3,385,130.9,10.4,1.118,21,6.971,15.8,1470,8.36,2.379,1.67,32.63,16.6,45.1,38.3,4,1,15,MHL,2
247,89.2065,22.7046,0.312,1.82,9.78,2.1,7.18,46.7,248.7,96.9,10,0.913,17.4,5.324,10.64,1800,8.3,2.153,1.32,10.59,16.2,49.3,34.5,1,5,10,MHL,2
248,89.2055,22.6907,0.348,1.23,8.09,1.885,7.06,44.9,324,112,9.1,0.99,17.4,6.238,13.72,3890,8.33,1.895,1.63,22.8,11.6,48.9,39.5,4,5,10,MHL,2
249,89.216,22.6945,0.232,2.02,4.7,2.09,7.16,50.6,280,122.8,11.8,1.076,18.3,4.324,11.61,3020,8.36,2.15,1.71,8.65,8.3,38,53.7,5,9,15,MHL,2
250,89.2223,22.7002,0.168,0.94,4.44,2.225,7.2,52.9,180,113,14.1,1.007,20.2,5.991,13.06,3300,8.41,2.441,1.82,27.44,17.4,42.2,40.4,3,6,10,MHL,2
251,89.2162,22.7381,0.065,1.08,4.52,4.16,7.21,97.5,576.9,219.1,12.4,33.633,15,3.845,10.2,4470,8.03,2.514,1.03,11.46,8.3,46.7,45,4,4,6,HL,1
252,89.2179,22.7083,0.306,1.3,8.15,3.21,7.02,74.5,474,176,13.1,1.513,28.7,7.368,15.99,3040,7.88,2.614,1.9,11.67,8.7,35.9,55.4,4,3,5,MHL,2
253,89.2729,22.7274,0.068,1.18,8.09,4.08,7.04,104.4,466,232.3,12.9,22.78,18.6,4.164,14.27,2930,8.27,1.563,0.82,13.51,7.4,64.7,27.9,4,1,5,MHL,2
254,89.2778,22.7258,0.052,0.85,4.53,3.3,7.11,77.4,439.9,191,9.7,23.453,17.8,3.12,6.67,1780,8.43,1.557,0.6,8.22,17.1,57.5,25.4,5,15,10,MHL,2
255,89.2925,22.7247,0.174,0.72,5.94,0.689,7.14,22.6,24,92.5,3.3,0.735,24.2,4.946,15.39,3090,8.08,1.021,0.99,16.64,7.1,40,52.9,7,9,10,HL,1
256,89.2897,22.7352,0.04,0.99,4.16,1.338,7.09,32,191,127.2,3.8,1.014,13.4,3.32,5.23,1670,8.18,1.184,1.2,8.33,9.1,37.5,53.4,5,4,10,HL,1
257,89.3082,22.7324,0.12,0.65,6.64,1.08,6.93,43.5,74,69.2,8.6,0.585,9.7,2.637,4.73,1440,8.41,0.888,0.85,17.08,9.1,43.8,47.1,7,3,10,HL,1
258,89.3096,22.731,0.1,1.39,3.19,1.06,7.14,42,39,75.7,7.5,0.619,18.25,3.166,8.52,1730,8.49,0.864,1.38,18.05,13.6,43,43.4,4,11,15,HL,1
259,89.2926,22.7524,0.041,1.51,3.82,2.69,7.09,61.5,342.7,205.2,6.3,1.616,11.5,2.892,4.95,4680,8.03,1.563,1.38,6.92,7.7,36.4,55.9,5,3,10,HL,1
260,89.248,22.7897,0.024,0.59,5.39,0.54,6.91,14.5,33,75.8,2.7,0.898,17.6,1.514,3.52,1450,8.01,0.457,0.74,6.92,12.7,36.4,50.9,4,4,10,HL,1
261,89.2012,22.7886,0.193,0.45,2.19,1.157,7.25,36.1,163,96.2,7,0.806,20.1,5.754,13.89,1550,8.46,0.893,1.92,19.67,12.7,26.4,60.9,6,3,15,HL,1
262,89.2421,22.805,0.081,0.91,1.78,0.54,7.27,16.3,66,77.6,2.7,0.613,10.3,1.664,5.93,2970,7.93,0.438,1.28,11.89,15,52.1,32.9,4,9,10,HL,1
263,89.2396,22.8086,0.028,1.44,4.19,0.74,7.1,14.7,86,78.5,1.6,0.618,8.5,1.786,5.12,4020,7.84,0.466,1.42,22.15,17.5,60.8,21.7,5,10,10,HL,1
