ID,Longitude,Latitude,WAs,WP,WFe,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,SpH,SEc,SOC,SP,Sand,Silt,Clay,Elevation,Year_Irrigation,Distance_STW,Land_type,Land_type_ID
111,89.1666,22.7279,0.16,1.051,6.03,1.22,6.96,36.6,108.2,122.7,6,1.039,22.8,5.97,15.2,2020,8.12,1.696,1.59,17.39,13,42.8,44.3,3,8,4,MHL,2
112,89.1723,22.7273,0.137,1.24,3.74,1.25,7.04,37.7,143.3,112.6,6.1,0.968,17.7,4.379,8.54,2190,8.25,1.656,1.29,17.13,12.6,45,42.3,3,5,5,MHL,2
113,89.1722,22.7677,0.079,1.037,6.9,3.57,6.75,91.6,415,274,14.7,41.295,16.4,3.15,12.84,2740,8.38,1.413,1.25,16.99,10.2,48.7,41.2,6,1,5,HL,1
114,89.2308,22.7417,0.176,1.032,3.88,0.84,6.87,38.6,21.8,106.2,5.1,0.961,15.7,5.97,9.2,2740,7.94,1.466,1.34,15.96,11.7,46.5,41.7,4,3,6,HL,1
115,89.2318,22.7328,0.216,1.167,4.35,1.63,6.97,56.4,173,142,9.6,3.465,27.7,6.4,14.739,2750,8.01,2.04,1.24,14.19,11.2,47.6,41.3,4,7,4,HL,1
116,89.2321,22.751,0.12,1.359,4.38,0.53,6.84,20.2,10.8,71.6,3.4,0.566,14.1,4.06,5.72,2760,8.16,1.254,1.32,15.37,11.9,47.3,40.8,4,10,22,HL,1
117,89.2355,22.7635,0.126,1.171,7.1,1.1,6.9,24.6,90.1,114.5,4.8,2.917,21.2,3.78,14.4,2760,7.93,1.049,1.32,15.65,12.2,46.5,41.3,4,11,5,HL,1
118,89.2298,22.7667,0.199,1.706,4.19,1.73,6.97,44.1,258.2,96.8,9.9,0.836,11.1,2.11,6.49,2760,8.08,1.191,1.31,14.58,12,46.8,41.2,4,1,5,HL,1
119,89.221,22.7639,0.278,1.134,6.03,1.77,7.13,39.1,274.8,106.5,9.5,0.895,15.2,5.09,10.2,2770,8.12,1.413,1.27,15.36,12.2,46.4,41.4,4,11,3,HL,1
120,89.2212,22.7684,0.209,1.148,2.52,1.32,7.02,38.3,250.3,92.8,9.3,0.804,13.2,3.16,5.41,2780,8.07,1.358,1.3,15.12,12.4,46.4,41.2,4,4,5,HL,1
121,89.2361,22.7905,0.198,1.358,6.41,0.73,6.84,31.1,20.3,92.2,6,0.719,19.5,6,11.4,2790,8.02,0.566,1.31,15.36,12.4,46.1,41.5,4,12,4,HL,1
122,89.2364,22.7752,0.115,1.382,3.63,0.59,6.85,25.2,14.1,84.6,3.7,0.654,21.5,5.408,8.92,2800,7.96,0.84,1.34,15.89,11.9,46.2,41.9,4,1,5,HL,1
123,89.2392,22.7915,0.044,1.165,3.25,0.5,6.9,15.7,16.6,68.4,2.6,0.924,14.4,3.485,7.432,2800,7.86,0.517,1.26,13.45,11.9,47.8,40.3,4,11,4,HL,1
124,89.2491,22.8029,0.048,1.27,3.91,0.51,6.92,18.1,17.1,70.4,3.1,0.55,16,3.04,10.1,2800,7.51,0.442,1.39,14.27,11.8,52.2,36,5,2,5,HL,1
125,89.2599,22.8064,0.064,1.229,3.77,0.53,6.91,19.1,19.3,72.2,3.1,0.696,12.36,1.65,10.31,2800,7.29,0.549,1.39,14.27,11.8,52.2,36,5,10,5,HL,1
126,89.2629,22.8051,0.042,0.993,4.23,0.54,6.9,16.1,15.6,81.3,2.5,0.839,11.4,2.672,6.49,2230,7.48,0.569,1.41,13.88,11.1,51.7,37.2,6,7,22,HL,1
127,89.2513,22.7944,0.016,0.318,2.35,0.56,7.01,16.2,15.3,85,3.1,1.913,9.7,1.65,5.7,2170,7.46,0.435,1.57,15.1,12.3,47.6,40.1,4,8,8,HL,1
128,89.2501,22.7646,0.011,0.271,1.92,0.45,7.09,13.6,10.1,76.7,1.7,1.132,8.9,1.995,4.41,2800,7.42,0.701,1.41,13.88,11.1,51.7,37.2,6,4,12,HL,1
129,89.2618,22.7576,0.035,0.737,2.54,0.49,6.79,15.3,11.7,73.4,2,0.572,14.1,2.8,9.8,2800,7.57,0.864,1.42,17.17,11.1,49.8,39.2,8,9,5,HL,1
130,89.2662,22.761,0.02,0.791,2.31,0.47,6.77,16.8,8.9,69.2,3.3,0.546,8.3,1.832,4.7,2800,7.43,0.886,1.34,14.26,11.4,51.6,37,7,8,6,HL,1
131,89.2705,22.7624,0.017,1.138,2.91,1.23,6.87,19.8,8.9,65.1,9.4,0.538,8.6,1.914,5.26,2820,7.58,0.966,1.39,14.27,11.8,52.2,36,5,2,15,HL,1
132,89.2796,22.7691,0.12,1.017,5.34,0.76,6.86,40.7,15.2,99.9,4.9,0.751,22.1,6.92,12.7,2820,7.73,1.094,1.38,14.27,12.3,52.1,35.6,5,15,3,HL,1
133,89.2676,22.7811,0.027,0.609,6.4,0.78,6.82,20,22.7,125.5,1.8,1.47,13.7,2.34,7.047,2340,8.12,0.628,1.27,15.36,12.2,46.4,41.4,4,4,12,HL,1
134,89.2648,22.7887,0.024,0.874,1.98,0.39,6.94,11,11.1,57.5,1.7,0.437,8.5,1.886,4.19,2820,7.9,0.539,1.24,15.97,10.4,49.7,39.9,6,2,15,HL,1
