"id.layer_local_c","dataset.code_ascii_txt","id.layer_uuid_txt","acidity_usda.a795_cmolc.kg","aggstb_usda.a1_w.pct","al.dith_usda.a65_w.pct","al.ext_aquaregia_g.kg","al.ext_usda.a1056_mg.kg","al.ext_usda.a69_cmolc.kg","al.ox_usda.a59_w.pct","awc.33.1500kPa_usda.c80_w.frac","b.ext_mel3_mg.kg","bd_usda.a4_g.cm3","c.tot_usda.a622_w.pct","ca.ext_aquaregia_mg.kg","ca.ext_usda.a1059_mg.kg","ca.ext_usda.a722_cmolc.kg","caco3_usda.a54_w.pct","cec_usda.a723_cmolc.kg","cf_usda.c236_w.pct","clay.tot_usda.a334_w.pct","cu.ext_usda.a1063_mg.kg","ec_usda.a364_ds.m","efferv_usda.a479_class","fe.dith_usda.a66_w.pct","fe.ext_aquaregia_g.kg","fe.ext_usda.a1064_mg.kg","fe.ox_usda.a60_w.pct","k.ext_aquaregia_mg.kg","k.ext_usda.a1065_mg.kg","k.ext_usda.a725_cmolc.kg","mg.ext_aquaregia_mg.kg","mg.ext_usda.a1066_mg.kg","mg.ext_usda.a724_cmolc.kg","mn.ext_aquaregia_mg.kg","mn.ext_usda.a1067_mg.kg","mn.ext_usda.a70_mg.kg","n.tot_usda.a623_w.pct","na.ext_aquaregia_mg.kg","na.ext_usda.a1068_mg.kg","na.ext_usda.a726_cmolc.kg","oc_usda.c729_w.pct","p.ext_aquaregia_mg.kg","p.ext_usda.a1070_mg.kg","p.ext_usda.a270_mg.kg","p.ext_usda.a274_mg.kg","ph.cacl2_usda.a481_index","ph.h2o_usda.a268_index","s.ext_mel3_mg.kg","s.tot_usda.a624_w.pct","sand.tot_usda.c60_w.pct","silt.tot_usda.c62_w.pct","wr.10kPa_usda.a414_w.pct","wr.1500kPa_usda.a417_w.pct","wr.33kPa_usda.a415_w.pct","zn.ext_usda.a1073_mg.kg","p.ext_usda.a652_mg.kg"
"49601","KSSL.SSL","7da6e3cf4fb46e54ba4a00fdd338ebb8",7.56435,NA,0.51774,NA,966.42603,0.69332,NA,NA,NA,NA,0.0761,NA,44.91372,0.07712,NA,3.93228,0.24598,31.70924,0.57816,NA,"none",5.97995,NA,21.82799,NA,NA,20.2558,0.11568,NA,24.54634,0.19281,NA,11.91816,0.52327,0.03653,NA,6.72489,0.07712,0.08,NA,0.50716,NA,NA,4.695,5.66,NA,0.02131,34.9,33.4,NA,17.09007,NA,0.21301,NA
"68348","KSSL.SSL","7deeef2301eaa2a5052eddb2e8962ebe",9.56952,NA,0.07843,NA,996.03956,NA,0.13112,0.13923,NA,1.53046,1.29357,NA,2049.95845,11.35428,NA,17.45969,0.10425,24.63141,2.12709,0.072,"none",0.71391,NA,156.71286,0.14453,NA,369.27973,1.05646,NA,320.30569,2.6275,NA,78.36661,NA,0.13343,NA,20.25319,0,1.29,NA,18.67568,5.76602,NA,5.17,6.02,NA,0,17.7,57.7,NA,11.45114,20.62924,1.7607,NA
"49683","KSSL.SSL","7e2e37708bcb67f237af2dfb28781374",5.86373,NA,0.25065,NA,1142.03228,0.53926,NA,NA,NA,NA,0.83517,NA,80.99877,0.08221,NA,2.64537,2,19.5119,0.68506,NA,"none",2.31684,NA,48.7806,NA,NA,21.39818,0.08221,NA,7.78757,0,NA,30.72715,0.45327,0.05951,NA,3.29435,0,0.84,NA,15.90759,NA,NA,4.53,5.2,NA,0,59.2,21.3,NA,8.63477,NA,0.66492,NA
"49512","KSSL.SSL","7e3c956734f036137d778eeb4fdfa10e",20.18957,NA,0.54316,NA,1928.88847,10.17524,0.28113,NA,NA,NA,0.39376,NA,986.49064,3.94061,NA,19.20885,0.42113,64.40814,1.21806,NA,"none",5.09864,NA,27.93518,0.21402,NA,96.6754,0.25423,NA,222.98003,1.65251,NA,18.94257,1.65616,0.02415,NA,19.59081,0,0.39,NA,0,NA,NA,4.31,5.05,NA,0.01995,9.5,26.1,NA,28.75817,NA,0.79852,NA
"36314","KSSL.SSL","7ed2c7688a46957c5af1bd286a485157",NA,NA,0.01744,NA,0.86799,NA,NA,0.28832,NA,1.35937,0.92625,NA,26374.63498,299.46894,7.26138,0.94613,73,9.82406,0.18655,5.395,"violent",0.23819,NA,2.69301,NA,NA,50.30086,0.19972,NA,1210.0119,4.43889,NA,0.63423,NA,0.0159,NA,1671.57452,5.77598,0.0792,NA,27.59021,NA,NA,8.565,8.64,NA,16.13763,40.4,50.5,NA,7.41289,29.02287,0.65913,NA
"197290","KSSL.SSL","7f55e4bb75b05303437d606914eaf458",15.54923,32,0.25348,NA,1899.19536,1.66282,0.33158,0.13872,NA,1.02438,1.8546,NA,1831.62154,10.32017,NA,22.26062,27,19.74549,0.79779,NA,"none",1.77285,NA,278.64618,0.41419,NA,341.92023,1.00417,NA,334.64688,2.78062,NA,81.26058,36.39073,0.16577,NA,26.95908,0.05958,1.85,NA,8.68244,NA,NA,4.69,4.91,NA,0.02072,47.6,32.7,NA,13.99023,27.62752,1.25367,NA
"49690","KSSL.SSL","7f89d6ea4ff3c7c869be50d5f69e889b",6.16101,NA,0.40182,NA,1106.8853,NA,NA,NA,NA,NA,0.15169,NA,443.29317,1.84851,NA,6.17592,0.32351,50.42407,0.30519,NA,"none",3.56131,NA,28.07619,NA,NA,101.26684,0.29815,NA,58.45601,0.29815,NA,42.31279,NA,0.0112,NA,0.18309,0,0.15,NA,0.69192,NA,NA,6.13,6.62,NA,0.00509,33,16.6,NA,19.81982,NA,0.2797,NA
"49622","KSSL.SSL","80017e192e5f955759d7acaeb97f4bc8",7.35286,NA,0.4725,NA,969.77978,NA,NA,NA,NA,NA,0.42406,NA,416.533,1.97574,NA,5.91825,0.49718,74.58252,0.91163,NA,"none",6.85565,NA,21.87912,NA,NA,90.74304,0.1795,NA,141.39485,1.09094,NA,16.07132,NA,0.02151,NA,6.69894,0.03011,0.42,NA,0.76823,NA,NA,5.49,6.05,NA,0.0041,13.6,11.8,NA,24.96195,NA,0.24583,NA
"193730","KSSL.SSL","811bf02e73877a745c25c6d40042b5a8",9.45821,NA,0.11079,NA,942.98757,0.58576,0.06778,0.17125,NA,1.36663,0.72886,NA,846.08501,4.96036,NA,12.35945,0,10.51703,1.89959,0.23876,"none",0.97139,NA,421.94504,0.20414,NA,1073.61419,2.80796,NA,230.81361,1.70957,NA,90.66386,35.16202,0.11135,NA,25.46484,0.06454,0.73,NA,75.12764,NA,NA,4.39,4.99,NA,0.00304,23.5,66,NA,7.89404,20.44419,1.60071,NA
"36295","KSSL.SSL","81eb49a36a25f1911f30ed9e489c7db2",NA,NA,0.00332,NA,5.16475,NA,NA,0.1703,NA,1.29909,0.63094,NA,15075.65295,269.65659,2.36578,1.155,49,6.34152,1.28022,2.5,"slight",0,NA,5.83214,NA,NA,39.25041,0.29196,NA,107.42835,0.38198,NA,10.74198,NA,0.02085,NA,0,0,0.3572,NA,29.2734,NA,NA,7.65,7.745,NA,15.71575,47.9,39.4,NA,4.88675,17.41173,0.77992,NA
