FIPS,REGION_ID,STATE,County,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,1998,21,7.7,10.64,3.07,0.038,56.85
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,1999,20.9,6.5,10.3,3.69,0.037,55.27
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2000,21,6.2,9.42,3.48,0.039,55.05
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2001,20.4,6.2,12.18,4.75,0.035,53.79
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2002,19.6,7,11.3,3.12,0.031,53.7
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2003,19.6,7.3,11.53,5.02,0.041,52.12
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2004,19.1,8.5,11.07,5.05,0.043,50.61
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2005,18.6,7.3,10.7,3.58,0.036,49.62
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2006,17.7,6.8,10.13,5.63,0.02,47.91
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2007,17.1,6.7,9.66,3.4,0.018,45.56
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2008,16.6,8.2,8.06,2.58,0.011,45.19
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2009,15.9,8.2,8.22,3.08,0.008,43.01
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2010,15.1,9.3,7.25,1.6,0.005,42.45
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2011,15.4,9.4,9.27,2.57,0.004,41.98
9001,1,Connecticut,Fairfield County,1861863.825,2251708.214,2012,14.9,7.61,9.86,3.54,0.001,41.05
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,1998,22.9,10.1,10.47,2.99,0.017,61.03
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,1999,23.4,8.7,10.56,2.5,0.016,62.3
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2000,23,8.4,9.73,3.04,0.017,59.06
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2001,22.7,8,11.87,2.5,0.015,59.42
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2002,22.6,8.8,12.17,2.26,0.013,57.31
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2003,22.1,9.2,11.44,4.81,0.016,57.73
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2004,21.6,10.7,10.12,3.66,0.017,55.74
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2005,21.1,9.3,10.15,2.1,0.014,55.93
