FIPS,REGION_ID,STATE,County,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2006,20.8,9.8,9.03,2.96,0.009,54.74
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2007,19.9,9.3,9.5,1.75,0.009,53.14
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2008,19.2,10.4,7.53,1.79,0.006,52.47
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2009,18.6,10.1,7.68,1.59,0.005,51.88
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2010,18.1,11.3,7.05,1.21,0.004,49.9
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2011,18.5,12.4,8.82,1.54,0.003,51.02
9003,1,Connecticut,Hartford County,1900269.968,2323058.093,2012,17.9,9.91,9.58,2.41,0.001,48.88
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,1998,22.6,5.3,9.73,2.67,0.022,57.99
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,1999,22.8,4.8,10.08,2.42,0.022,57.6
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2000,23.2,4.8,9.14,3.17,0.021,57.13
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2001,23.3,5,12.01,2.54,0.019,57.63
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2002,22.9,5.3,11.55,2.39,0.016,57
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2003,22.8,5.5,11.04,4.19,0.022,56.07
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2004,22.4,6.1,9.7,4.05,0.023,54.89
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2005,21.8,4.6,9.77,2.11,0.019,54.76
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2006,21.4,6,9.07,2.12,0.01,54.11
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2007,21.9,5.4,8.92,1.43,0.01,52
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2008,20.8,5.6,7.16,1.49,0.007,51.05
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2009,20.7,6.5,7.56,1.45,0.005,51
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2010,20.1,6.7,6.83,1,0.004,49.62
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2011,19.8,7.8,8.93,0.98,0.002,49.7
9005,1,Connecticut,Litchfield County,1859618.764,2311363.344,2012,19.2,5.76,9.25,2.23,0.001,49.1
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,1998,23.9,5,10.7,2.77,0.022,63.6
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,1999,23.5,4.6,10.75,2.31,0.02,62.73
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2000,22.6,4.7,10.02,2.95,0.022,63.55
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2001,23,4.7,11.42,2.62,0.019,61.02
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2002,22.4,4.9,11.37,2.31,0.018,61.85
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2003,21.8,5.1,10.77,5.16,0.021,59.97
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2004,20.7,5.6,10.21,3.78,0.021,57.64
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2005,20.6,5.3,10.26,2.73,0.019,56.13
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2006,20.1,6.5,8.93,2.88,0.012,56.1
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2007,20,5.2,9.34,1.74,0.012,54.51
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2008,19.6,5.5,7.35,1.89,0.008,54.06
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2009,18.8,5.7,7.41,2.06,0.006,51.93
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2010,18.9,6.8,6.51,1.09,0.006,51.5
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2011,18,6.7,8.52,1.67,0.004,50.6
9007,1,Connecticut,Middlesex County,1925466.445,2289801.725,2012,17.4,5.51,9.41,2.5,0.001,49.67
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,1998,24,10.4,10.71,3.1,0.026,64.18
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,1999,24.6,8.9,10.96,2.91,0.025,61.97
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2000,24.5,8.8,9.93,3.29,0.026,63.75
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2001,24.1,8.6,12.09,3.46,0.024,62.49
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2002,24.1,9.6,11.58,2.83,0.022,63.1
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2003,24,9.4,11.19,5.27,0.028,60.94
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2004,23.4,10.7,10.75,4.81,0.029,60.95
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2005,22.8,10.9,10.55,3.07,0.024,59.13
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2006,22.7,9.9,9.52,3.54,0.013,59.54
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2007,22.5,9.5,9.5,2.43,0.013,57.09
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2008,22.2,11,7.68,2.29,0.008,55.09
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2009,21.3,11.9,7.83,2.35,0.006,55.19
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2010,20.9,11.6,7.09,1.44,0.005,54.96
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2011,19.8,12.9,9.05,1.83,0.003,53.56
9009,1,Connecticut,New Haven County,1894969.234,2276090.852,2012,19.1,10.49,9.76,2.97,0.001,53.18
9011,1,Connecticut,New London County,1959597.493,2301208.01,1998,25.3,8,10.26,2.1,0.028,65.8
9011,1,Connecticut,New London County,1959597.493,2301208.01,1999,25.5,6.7,10.21,1.85,0.027,64.38
9011,1,Connecticut,New London County,1959597.493,2301208.01,2000,25,6.4,9.53,2.26,0.026,67.34
9011,1,Connecticut,New London County,1959597.493,2301208.01,2001,25.3,6.3,11.01,1.95,0.023,66.78
9011,1,Connecticut,New London County,1959597.493,2301208.01,2002,24.9,6.6,10.97,1.92,0.022,66.9
9011,1,Connecticut,New London County,1959597.493,2301208.01,2003,23.9,6.6,10.61,4.55,0.023,64.87
9011,1,Connecticut,New London County,1959597.493,2301208.01,2004,23,7.5,10.2,2.42,0.021,63.37
9011,1,Connecticut,New London County,1959597.493,2301208.01,2005,22.3,6.3,10.13,2.19,0.021,61.61
9011,1,Connecticut,New London County,1959597.493,2301208.01,2006,21.8,6.7,9.08,2.41,0.014,61.28
9011,1,Connecticut,New London County,1959597.493,2301208.01,2007,21,6.9,9.19,1.5,0.015,59.07
9011,1,Connecticut,New London County,1959597.493,2301208.01,2008,21,6.9,7.23,1.56,0.013,57.79
9011,1,Connecticut,New London County,1959597.493,2301208.01,2009,20,7.9,7.23,1.54,0.01,57.1
9011,1,Connecticut,New London County,1959597.493,2301208.01,2010,20,8.9,7,0.9,0.011,54.84
9011,1,Connecticut,New London County,1959597.493,2301208.01,2011,19.5,9,8.28,1.28,0.007,54.87
9011,1,Connecticut,New London County,1959597.493,2301208.01,2012,18.8,7.33,9.23,1.97,0.003,54.46
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,1998,21.5,5,10.05,2.77,0.021,62.35
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,1999,22.1,4.6,10.06,2.46,0.019,61.54
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2000,21.8,4.6,9.11,2.65,0.019,60.95
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2001,21.9,4.7,11.06,2.47,0.017,60.46
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2002,21.6,5.1,11.71,2.16,0.015,59.39
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2003,20.9,5.3,11.03,4.22,0.017,58.7
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2004,19.8,5.8,9.61,2.1,0.016,56.69
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2005,19.3,5.7,9.66,2.02,0.015,55.75
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2006,19.1,5.9,8.78,2.77,0.011,54.24
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2007,18.2,6.3,9.06,1.67,0.011,52.57
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2008,17.2,6.8,7.05,1.66,0.009,51.61
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2009,16.5,6.7,7.05,1.35,0.007,50.77
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2010,16.5,6.4,6.88,1.08,0.007,50.57
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2011,16.8,8,8.04,1.5,0.005,49.07
9013,1,Connecticut,Tolland County,1930655.593,2336303.275,2012,16.2,5.88,9.09,2.15,0.002,48.05
9015,1,Connecticut,Windham County,1959231.225,2340738.908,1998,26.7,9.8,9.74,2.86,0.036,70.33
9015,1,Connecticut,Windham County,1959231.225,2340738.908,1999,27.1,8.3,9.54,2.63,0.032,70.83
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2000,27.2,8.2,8.96,2.77,0.03,70.77
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2001,27.4,7.9,10.58,2.59,0.027,72.51
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2002,27.2,8.2,10.99,2.31,0.024,70.67
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2003,26.7,8.1,10.85,4.05,0.024,70.15
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2004,25.9,9.4,9.35,1.94,0.022,67.74
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2005,25.4,9,9.37,1.79,0.022,66.33
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2006,24.8,9.3,8.84,2.65,0.016,65.32
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2007,23.3,8.5,9.02,1.71,0.018,64.35
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2008,22.5,11.7,7.01,1.23,0.015,63.34
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2009,21.2,9.8,7.08,1.26,0.012,62.83
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2010,21.3,11.8,7.01,1,0.014,62.03
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2011,21.8,10.6,8.23,1.4,0.009,61.29
9015,1,Connecticut,Windham County,1959231.225,2340738.908,2012,21.1,9.51,8.94,2.09,0.004,60.61
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,1998,27.2,10.6,7.84,2.01,0.005,76.76
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,1999,27.2,10.8,7.03,1.98,0.004,76.66
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2000,27.7,10.4,6.98,1.58,0.004,76.55
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2001,28.2,10.8,8.11,1.83,0.004,77.76
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2002,27.6,11.9,8.08,1.46,0.003,76.77
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2003,28.2,11.5,8.27,0.95,0.003,76.74
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2004,26.8,12.3,8.02,1.01,0.003,73.95
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2005,25.9,12,7.93,1.1,0.003,73.75
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2006,25.3,15.7,6.96,0.96,0.002,73.45
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2007,25.2,14.1,6.94,0.68,0.003,72.48
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2008,23.5,13.1,5.63,1.08,0.002,70.93
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2009,23.7,15,5.22,0.88,0.002,70.36
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2010,23.7,14.6,5.81,0.5,0.002,70.98
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2011,24.2,16.1,6.68,0.85,0.001,70.67
23001,1,Maine,Androscoggin County,2031239.325,2630106.589,2012,23.5,12.99,7.03,1.19,0,69.47
23003,1,Maine,Aroostook County,2075853.79,2931078.617,1998,26.5,14.1,7.13,0.54,0.001,73.42
23003,1,Maine,Aroostook County,2075853.79,2931078.617,1999,26.9,13.8,4.76,0.63,0.001,73.59
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2000,27.2,13.4,4.32,0.6,0.001,73.13
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2001,28,14.1,5.13,0.61,0.001,73.92
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2002,28.8,15.3,5.89,0.49,0.001,74.8
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2003,27.6,14.3,6.1,0.51,0.001,74
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2004,27.8,15.1,4.99,0.41,0,71.61
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2005,27.5,16.6,4.98,0.56,0,72.72
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2006,27,16.8,6.51,0.58,0,70.49
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2007,26.4,17.4,4.23,0.49,0,70.46
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2008,26.3,15.2,4,0.44,0,69.91
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2009,25.5,16.4,4.04,0.61,0,68.42
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2010,25.5,14,4.14,0.29,0,67.8
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2011,26,18.3,4.22,0.38,0,68.94
23003,1,Maine,Aroostook County,2075853.79,2931078.617,2012,25.3,15.42,4.97,0.51,0,67.48
23005,1,Maine,Cumberland County,2027795.168,2591394.763,1998,22.5,7.8,7.75,1.72,0.008,67.94
23005,1,Maine,Cumberland County,2027795.168,2591394.763,1999,22.1,8.1,7.6,1.46,0.007,68.27
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2000,22.8,7.3,7.08,1.27,0.007,69.36
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2001,23,7.5,8.66,1.48,0.007,68.7
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2002,22.2,8,8.02,1.02,0.005,68.7
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2003,21.9,8.3,8.74,1.21,0.005,67.1
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2004,21,9.2,8.74,1.2,0.005,64.94
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2005,20.8,10,8.69,0.93,0.005,64.7
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2006,19.9,9.9,7.42,1.08,0.004,63.36
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2007,19.4,9.7,7.53,0.85,0.005,61.13
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2008,18.7,10.4,6.08,1.07,0.004,59.85
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2009,18.2,9.3,5.84,0.96,0.004,58.54
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2010,17.8,10.3,6.06,0.65,0.004,57.55
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2011,17.9,12.1,7.24,0.71,0.003,57.64
23005,1,Maine,Cumberland County,2027795.168,2591394.763,2012,17.4,9.29,7.45,1.11,0,56.98
23007,1,Maine,Franklin County,1989058.799,2711809.875,1998,21.9,12.1,7.38,0.51,0.002,66.18
23007,1,Maine,Franklin County,1989058.799,2711809.875,1999,22.6,12.8,6.05,0.88,0.002,66.83
23007,1,Maine,Franklin County,1989058.799,2711809.875,2000,23,12.6,6.09,0.74,0.002,67.02
23007,1,Maine,Franklin County,1989058.799,2711809.875,2001,23.4,13.2,7.04,0.79,0.001,66.66
23007,1,Maine,Franklin County,1989058.799,2711809.875,2002,23.8,13.6,7.19,0.83,0.001,65.79
23007,1,Maine,Franklin County,1989058.799,2711809.875,2003,24.2,12.5,7.31,1.14,0.001,65.72
23007,1,Maine,Franklin County,1989058.799,2711809.875,2004,23.1,13.6,6.72,0.66,0.001,64.34
23007,1,Maine,Franklin County,1989058.799,2711809.875,2005,23.5,16.9,6.7,0.62,0.001,63.96
23007,1,Maine,Franklin County,1989058.799,2711809.875,2006,23.1,13.9,6.06,0.71,0.001,63.38
23007,1,Maine,Franklin County,1989058.799,2711809.875,2007,22.7,16,5.81,0.47,0.001,62.27
23007,1,Maine,Franklin County,1989058.799,2711809.875,2008,22.5,17.5,4.59,0.72,0.001,61.97
23007,1,Maine,Franklin County,1989058.799,2711809.875,2009,23,16.2,4.99,0.71,0.001,61.02
23007,1,Maine,Franklin County,1989058.799,2711809.875,2010,22.8,15.6,4.98,0.56,0.001,59.99
23007,1,Maine,Franklin County,1989058.799,2711809.875,2011,23.2,17.4,5.69,0.63,0.001,60.18
23007,1,Maine,Franklin County,1989058.799,2711809.875,2012,22.6,14.85,6.11,0.71,0,59.4
23009,1,Maine,Hancock County,2157356.825,2721899.997,1998,23.8,9.8,7.31,0.56,0.003,70.01
23009,1,Maine,Hancock County,2157356.825,2721899.997,1999,22.9,10.2,5.84,0.95,0.003,69.28
23009,1,Maine,Hancock County,2157356.825,2721899.997,2000,22.8,9.8,5.83,0.65,0.003,69.11
23009,1,Maine,Hancock County,2157356.825,2721899.997,2001,23.6,10.6,6.1,0.76,0.003,69.82
23009,1,Maine,Hancock County,2157356.825,2721899.997,2002,23.8,10.7,6.43,0.7,0.003,69.67
23009,1,Maine,Hancock County,2157356.825,2721899.997,2003,23.1,9.9,7.23,0.65,0.002,67.27
23009,1,Maine,Hancock County,2157356.825,2721899.997,2004,23.2,9.9,6.2,0.71,0.002,66.13
23009,1,Maine,Hancock County,2157356.825,2721899.997,2005,23.1,10.4,6.25,0.81,0.002,66.23
23009,1,Maine,Hancock County,2157356.825,2721899.997,2006,22.3,12.4,6.04,0.79,0.001,64.21
23009,1,Maine,Hancock County,2157356.825,2721899.997,2007,21.9,9.9,5.34,0.51,0.001,62.2
23009,1,Maine,Hancock County,2157356.825,2721899.997,2008,21.3,10.8,4.49,0.59,0.001,61.73
23009,1,Maine,Hancock County,2157356.825,2721899.997,2009,21.5,11.9,4.88,0.46,0.001,60.09
23009,1,Maine,Hancock County,2157356.825,2721899.997,2010,21.7,14,5.01,0.44,0.001,58.99
23009,1,Maine,Hancock County,2157356.825,2721899.997,2011,22.5,13.8,5.26,0.46,0,57.8
23009,1,Maine,Hancock County,2157356.825,2721899.997,2012,21.8,11.15,5.8,0.63,0,57.42
23011,1,Maine,Kennebec County,2057410.389,2665661.284,1998,25.7,10.3,7.98,1.05,0.004,75.19
23011,1,Maine,Kennebec County,2057410.389,2665661.284,1999,24.8,10.7,7.1,1.39,0.003,74.63
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2000,24.3,10,6.99,0.92,0.003,73.02
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2001,24.7,10.4,7.88,1.25,0.003,73.96
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2002,24.3,11.4,8.33,1,0.002,74.09
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2003,23.7,11.2,8,0.91,0.002,73.12
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2004,23.3,12.2,7.17,0.88,0.002,70.9
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2005,25,13,7.15,1.12,0.002,71.15
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2006,24.6,12.5,7.01,1.09,0.002,70.16
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2007,23.9,13,6.63,1.01,0.002,68.37
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2008,24.4,11.8,5.18,0.99,0.002,67.7
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2009,24.2,12.9,5.01,0.55,0.001,67.59
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2010,23.5,11.7,5.33,0.43,0.002,67.52
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2011,23.4,12.8,6.08,0.66,0.001,65.66
23011,1,Maine,Kennebec County,2057410.389,2665661.284,2012,22.7,11.91,6.77,0.94,0,64.86
23013,1,Maine,Knox County,2113231.391,2648682.727,1998,24.1,10.6,7.58,0.82,0.005,62.26
23013,1,Maine,Knox County,2113231.391,2648682.727,1999,23.2,10.2,7.03,1.05,0.004,63.2
23013,1,Maine,Knox County,2113231.391,2648682.727,2000,22.6,9.9,6.42,0.63,0.004,63.38
23013,1,Maine,Knox County,2113231.391,2648682.727,2001,23.4,10.3,7.12,1.24,0.003,63.01
23013,1,Maine,Knox County,2113231.391,2648682.727,2002,23.4,11,7.44,0.63,0.003,62.44
23013,1,Maine,Knox County,2113231.391,2648682.727,2003,24,10.5,7.26,1.01,0.003,61.33
23013,1,Maine,Knox County,2113231.391,2648682.727,2004,23.5,11,6.71,0.62,0.003,58.51
23013,1,Maine,Knox County,2113231.391,2648682.727,2005,24.2,11.9,6.75,0.82,0.003,58.15
23013,1,Maine,Knox County,2113231.391,2648682.727,2006,23.2,12.6,6.28,0.78,0.002,57.34
23013,1,Maine,Knox County,2113231.391,2648682.727,2007,22.2,10.6,6.01,0.59,0.002,55.65
23013,1,Maine,Knox County,2113231.391,2648682.727,2008,22.2,13.4,5.01,0.83,0.002,55.46
23013,1,Maine,Knox County,2113231.391,2648682.727,2009,21.9,13.6,5,0.4,0.001,53.87
23013,1,Maine,Knox County,2113231.391,2648682.727,2010,21,13.7,5.43,0.43,0.002,53.27
23013,1,Maine,Knox County,2113231.391,2648682.727,2011,21.9,13,6.09,0.62,0.001,53.21
23013,1,Maine,Knox County,2113231.391,2648682.727,2012,21.3,11.69,6.36,0.73,0,52.2
23015,1,Maine,Lincoln County,2085251.75,2633523.819,1998,24.2,9.7,7.88,1.57,0.005,70.22
23015,1,Maine,Lincoln County,2085251.75,2633523.819,1999,23.5,9.7,7.21,1.59,0.004,70.82
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2000,22.7,9.4,7,1.09,0.004,69.74
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2001,22.8,10,7.61,1.37,0.004,69.93
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2002,22.2,10.1,7.97,1.05,0.003,68.12
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2003,21.6,9.8,7.85,0.97,0.003,66.29
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2004,21.4,10.2,7.09,0.8,0.003,65.14
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2005,23.5,11,7.06,1,0.003,64.39
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2006,22.8,11.7,6.68,0.78,0.002,62.19
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2007,21.7,10.8,6.38,0.76,0.002,61.41
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2008,21.4,10.9,5.07,1.08,0.002,59.7
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2009,21.5,12.4,5.02,0.6,0.002,58.29
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2010,20.5,12.7,5.48,0.5,0.002,57.08
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2011,20.8,12.1,6.21,0.69,0.001,56.33
23015,1,Maine,Lincoln County,2085251.75,2633523.819,2012,20.2,10.99,6.68,0.97,0,56.02
23017,1,Maine,Oxford County,1979241.944,2654172.908,1998,27,12,7.27,1.28,0.004,77.32
23017,1,Maine,Oxford County,1979241.944,2654172.908,1999,27.3,12.2,6.11,1.36,0.003,78.09
23017,1,Maine,Oxford County,1979241.944,2654172.908,2000,27.7,12,6.95,1.09,0.003,77.15
23017,1,Maine,Oxford County,1979241.944,2654172.908,2001,27.9,12.2,7.16,1.35,0.003,78.45
23017,1,Maine,Oxford County,1979241.944,2654172.908,2002,27.4,13.2,7.79,1.15,0.002,77.94
23017,1,Maine,Oxford County,1979241.944,2654172.908,2003,28.3,11.8,7.86,0.85,0.002,78.07
23017,1,Maine,Oxford County,1979241.944,2654172.908,2004,26.8,12.6,7.8,0.93,0.002,75.88
23017,1,Maine,Oxford County,1979241.944,2654172.908,2005,27.6,14.6,7.78,0.85,0.002,75.61
23017,1,Maine,Oxford County,1979241.944,2654172.908,2006,27.2,14.9,6.29,0.92,0.002,74.29
23017,1,Maine,Oxford County,1979241.944,2654172.908,2007,26.9,14.4,6.47,0.54,0.002,73.52
23017,1,Maine,Oxford County,1979241.944,2654172.908,2008,26.5,14.1,5.09,0.94,0.002,71.73
23017,1,Maine,Oxford County,1979241.944,2654172.908,2009,26.6,13.9,5.1,0.75,0.002,71.1
23017,1,Maine,Oxford County,1979241.944,2654172.908,2010,26.3,15,5.16,0.54,0.002,69.78
23017,1,Maine,Oxford County,1979241.944,2654172.908,2011,25.8,16.5,6.09,0.5,0.001,69.85
