SEASON,ENV,SOWING,GEN,N_RATE,DATE_SOW,Optimum_date,DAYS, GY ,STY,Maturity_days,Weeding,Weeding_No,Irrigation,Irrigation_No,FARMER
Rabi 12-13,KALAPARA,EARLY,BG 25,100,12/2/2012,12/15/2012,-13,2.333,2.691,108,2,2 weeding,1,1 irrigation,90
Rabi 12-13,KALAPARA,EARLY,BG 21,100,12/2/2012,12/15/2012,-13,2.064,2.8482,108,2,2 weeding,1,1 irrigation,90
Rabi 12-13,KALAPARA,EARLY,BG 27,133,12/2/2012,12/15/2012,-13,2.405,2.4885,107,2,2 weeding,1,1 irrigation,90
Rabi 12-13,KALAPARA,EARLY,BG 25,133,12/2/2012,12/15/2012,-13,2.553,2.88385,107,2,2 weeding,1,1 irrigation,90
Rabi 12-13,KALAPARA,EARLY,BG 21,133,12/2/2012,12/15/2012,-13,2.696,3.4826,108,2,2 weeding,1,1 irrigation,90
Rabi 12-13,KALAPARA,EARLY,BG 27,0,11/25/2012,12/15/2012,-20,1.142,1.37335,107,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 25,0,11/25/2012,12/15/2012,-20,1.002,1.1468,105,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 21,0,11/25/2012,12/15/2012,-20,1.469,1.6512,106,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 27,100,11/25/2012,12/15/2012,-20,2.705,2.140016667,108,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 25,100,11/25/2012,12/15/2012,-20,2.647,1.9,109,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 21,100,11/25/2012,12/15/2012,-20,2.633,2.30505,109,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 27,133,11/25/2012,12/15/2012,-20,2.996,4.10625,108,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 25,133,11/25/2012,12/15/2012,-20,3.046,3.603783333,108,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 21,133,11/25/2012,12/15/2012,-20,2.955,3.9402,109,2,2 weeding,2,2 irrigation,89
Rabi 12-13,KALAPARA,EARLY,BG 27,0,11/24/2012,12/15/2012,-21,0.933,1.572266667,107,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 25,0,11/24/2012,12/15/2012,-21,1.442,1.637533333,105,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 21,0,11/24/2012,12/15/2012,-21,1.241,1.57235,106,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 27,100,11/24/2012,12/15/2012,-21,2.988,3.8442,108,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 25,100,11/24/2012,12/15/2012,-21,2.87,3.421166667,109,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 21,100,11/24/2012,12/15/2012,-21,3.046,3.694,109,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 27,133,11/24/2012,12/15/2012,-21,2.985,3.330133333,108,2,2 weeding,2,2 irrigation,88
Rabi 12-13,KALAPARA,EARLY,BG 21,133,11/24/2012,12/15/2012,-21,2.991,3.23,109,2,2 weeding,2,2 irrigation,88
Rabi 12-13,UJIRPUR,LATE,BG 27,0,12/25/2012,12/15/2012,10,0.369,0.3465,94,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 25,0,12/25/2012,12/15/2012,10,0.33,0.335666667,92,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 21,0,12/25/2012,12/15/2012,10,0.27,0.2905,93,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 27,67,12/25/2012,12/15/2012,10,1.48,0.9324,95,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 25,67,12/25/2012,12/15/2012,10,1.629,1.35,96,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 21,67,12/25/2012,12/15/2012,10,1.31,1.244533333,96,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 27,100,12/25/2012,12/15/2012,10,1.695,1.2495,95,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 25,100,12/25/2012,12/15/2012,10,1.871,1.526533333,95,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 21,100,12/25/2012,12/15/2012,10,1.92,0.7854,96,1,1 weeding,1,1 irrigation,87
Rabi 12-13,UJIRPUR,LATE,BG 27,0,12/25/2012,12/15/2012,10,0.385,0.3498,93,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 25,0,12/25/2012,12/15/2012,10,0.523,0.469333333,91,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 21,0,12/25/2012,12/15/2012,10,0.633,0.613333333,92,1,1 weeding,1,1 irrigation,86
