ID,A_LabID,SiteID,StateID,Longitude,Latitude,Landcover,Tota_C,Organic_C,BD,Clay,Sand,pH
56,C-328055,160,GA,-81.3716,32.2704,Developed,2.12,2.12,1497.75,15.92,72.71,49.00
57,C-300468,161,NY,-75.096,42.5057,Forested Upland,1.03,1.03,1270.64,18.06,27.22,52.70
58,C-338330,168,MN,-93.4684,44.5285,Planted/Cultivated,2.04,2.04,1290.79,27.02,31.83,58.76
59,C-310100,171,KS,-101.6219,39.4386,Herbaceous Upland,2.08,1.60,1310.62,27.12,17.59,73.35
60,C-350370,172,KY,-84.2233,37.1,Forested Upland,33.30,33.30,1358.82,22.45,31.83,49.51
61,C-337082,174,MT,-108.0806,48.9824,Herbaceous Upland,1.27,1.27,1393.84,36.00,39.00,73.00
62,C-351798,175,AZ,-113.2629,35.4173,Shrubland,2.13,1.20,1374.84,25.00,47.38,76.00
63,C-357267,184,TX,-97.9638,31.3447,Planted/Cultivated,9.03,2.60,1427.12,39.97,18.79,74.81
64,C-318460,187,WY,-107.4446,43.6402,Shrubland,3.67,3.67,1349.98,25.72,41.06,75.00
65,C-350692,188,VA,-78.1369,39.1325,Forested Upland,17.70,17.70,1398.70,29.66,27.16,56.18
66,C-322988,190,ND,-102.7869,46.1901,Planted/Cultivated,2.51,2.51,1390.00,28.03,32.98,75.97
67,C-342934,191,TX,-101.268,34.2365,Planted/Cultivated,0.71,0.71,1459.70,32.34,27.96,75.00
68,C-359191,196,TX,-102.654,30.193,Herbaceous Upland,8.45,2.30,1228.96,34.06,25.36,79.00
69,C-323343,200,SD,-97.9949,44.7545,Herbaceous Upland,3.11,3.11,1341.12,29.98,24.90,73.00
70,C-338704,203,SD,-101.9038,43.2522,Planted/Cultivated,1.61,1.61,1324.51,24.21,22.66,69.69
71,C-314058,204,LA,-90.773,30.5129,Herbaceous Upland,2.03,1.90,1461.87,20.27,17.05,51.97
72,C-353190,206,OR,-116.9166,45.7001,Forested Upland,1.65,1.65,1139.31,19.00,23.73,64.64
73,C-355877,207,CA,-119.154,38.006,Shrubland,0.88,0.88,1203.91,6.96,70.87,66.28
74,C-328929,208,AL,-86.9041,33.8523,Developed,0.88,0.88,1410.46,27.66,30.84,55.74
75,C-351799,212,AZ,-109.137,33.6922,Shrubland,1.53,1.53,1292.18,39.62,33.33,67.80
76,C-310117,216,KS,-98.6952,39.1624,Herbaceous Upland,2.76,1.80,1359.14,39.57,8.85,76.00
77,C-338331,217,MN,-96.4951,46.6019,Planted/Cultivated,3.90,2.60,1375.25,23.67,56.38,77.03
78,C-319711,219,CO,-106.3259,39.2962,Shrubland,4.32,4.32,1289.93,17.41,50.88,57.94
79,C-350693,220,VA,-80.9092,36.6213,Planted/Cultivated,1.75,1.75,1366.35,27.98,34.58,56.18
80,C-334779,222,ID,-116.4303,48.6726,Planted/Cultivated,4.28,4.28,1070.05,10.78,42.35,62.01
81,C-355878,223,CA,-121.6317,40.485,Forested Upland,5.02,4.90,1133.31,11.58,62.17,59.42
82,C-328452,224,SC,-80.4425,32.613,Herbaceous Upland,0.54,0.54,1352.47,30.59,37.25,54.45
83,C-311269,232,MO,-91.8148,40.4452,Planted/Cultivated,1.56,1.56,1404.22,36.47,4.44,56.53
84,C-300018,233,ME,-69.1171,47.0121,Forested Upland,10.20,10.20,1163.15,12.00,37.84,51.00
85,C-319680,235,CO,-104.7334,38.6507,Planted/Cultivated,3.28,3.28,1377.93,27.06,40.49,77.94
86,C-350371,236,KY,-86.7538,37.6536,Forested Upland,11.40,11.40,1420.44,25.27,8.27,50.73
87,C-337083,238,MT,-112.5846,45.0667,Herbaceous Upland,4.52,2.00,1264.62,17.61,54.93,79.53
88,C-359192,239,TX,-103.0472,32.6677,Planted/Cultivated,0.75,0.30,1497.36,19.15,67.76,78.00
89,C-300013,244,CT,-73.0257,41.2768,Planted/Cultivated,3.68,3.68,1464.72,9.00,52.65,52.53
90,C-343410,247,AZ,-113.3945,34.65,Shrubland,0.35,0.35,1367.35,19.00,63.99,74.00
91,C-357269,248,TX,-95.348,33.5372,Planted/Cultivated,2.06,2.06,1410.59,32.23,38.98,60.60
92,C-353191,250,OR,-121.5282,45.566,Forested Upland,0.77,0.70,1142.65,18.74,38.60,59.17
93,C-319946,251,WY,-107.637,41.6089,Shrubland,2.17,2.17,1449.26,17.08,67.55,79.51
94,C-364450,252,PA,-75.7392,40.1828,Forested Upland,4.14,4.14,1417.41,12.73,44.72,55.89
95,C-348829,264,IL,-89.6857,38.8895,Planted/Cultivated,2.66,2.66,1446.63,24.06,2.47,63.53
96,C-357270,268,TX,-95.8097,31.3387,Planted/Cultivated,0.76,0.76,1485.54,22.24,58.86,53.48
97,C-353192,270,OR,-122.8913,44.5394,Developed,2.21,2.21,1271.64,27.30,33.81,55.87
98,C-320350,271,NV,-115.0775,39.3984,Shrubland,3.04,2.70,1139.09,30.74,32.26,78.59
