ID,A_LabID,SiteID,StateID,Longitude,Latitude,Landcover,Tota_C,Organic_C,BD,Clay,Sand,pH
1420,C-319535,3995,CO,-107.1585,39.8011,Forested Upland,0.51,0.51,1235.96,31.16,26.09,69.53
1421,C-350905,3996,NC,-80.0996,36.0925,Forested Upland,20.70,20.70,1464.41,35.02,31.71,53.00
1422,C-355926,3999,CA,-121.5968,41.5112,Forested Upland,2.91,2.80,885.60,6.00,63.18,62.74
1423,C-328470,4000,SC,-79.7478,33.3944,Planted/Cultivated,1.11,1.11,1431.65,18.16,61.47,48.84
1424,C-348648,4008,IL,-90.197,41.211,Planted/Cultivated,2.17,2.17,1439.66,29.00,5.00,61.00
1425,C-319665,4011,CO,-104.4216,39.6125,Herbaceous Upland,0.51,0.51,1416.22,25.06,40.45,75.00
1426,C-350390,4012,KY,-86.1165,37.3689,Herbaceous Upland,1.25,1.25,1472.70,25.13,12.14,54.08
1427,C-335458,4014,MT,-112.5419,45.2192,Planted/Cultivated,1.77,1.10,1366.66,19.00,39.42,78.47
1428,C-359215,4015,TX,-104.7296,30.7373,Shrubland,1.68,0.60,1386.93,45.43,29.09,81.00
1429,C-350712,4020,VA,-75.9763,36.782,Developed,2.20,2.20,1388.01,18.30,39.46,47.73
1430,C-351579,4023,AZ,-112.9377,33.466,Shrubland,0.69,0.40,1415.20,11.51,69.94,83.99
1431,C-326448,4024,OK,-95.5012,34.3365,Planted/Cultivated,2.05,2.05,1465.78,26.46,24.00,57.46
1432,C-354194,4026,WA,-120.4793,46.539,Planted/Cultivated,2.21,2.21,1366.73,11.90,41.14,77.16
1433,C-318487,4027,WY,-106.8938,42.2482,Shrubland,0.32,0.32,1346.32,24.95,35.04,81.05
1434,C-341235,4028,PA,-76.7159,40.2195,Planted/Cultivated,0.45,0.45,1408.61,25.91,22.65,60.65
1435,C-338294,4040,MN,-95.8906,44.7269,Planted/Cultivated,2.22,2.22,1251.00,29.25,29.25,71.00
1436,C-318532,4043,WY,-104.722,44.4495,Shrubland,1.87,1.87,1295.73,36.73,14.29,74.75
1437,C-357310,4044,TX,-97.5053,28.5693,Planted/Cultivated,0.59,0.59,1500.75,18.31,62.25,65.42
1438,C-355927,4047,CA,-118.059,36.24,Shrubland,0.55,0.55,1332.67,12.56,66.52,70.31
1439,C-328644,4048,FL,-85.4005,30.3467,Planted/Cultivated,0.59,0.59,1411.96,7.00,68.79,53.08
1440,C-326383,4056,OK,-99.9234,36.0489,Herbaceous Upland,1.76,1.30,1451.33,12.80,62.62,73.97
1441,C-313082,4059,UT,-109.851,37.1759,Barren,3.48,0.50,1345.73,17.63,59.66,84.20
1442,C-352040,4060,NC,-79.1988,35.0295,Forested Upland,17.20,17.00,1511.00,14.48,61.49,49.00
1443,C-313298,4063,UT,-112.4363,38.7001,Forested Upland,4.89,4.80,1235.87,25.38,36.55,65.47
1444,C-326166,4064,FL,-80.8999,25.7615,Herbaceous Upland,11.60,3.70,947.72,24.19,39.37,70.00
1445,C-355112,4072,WI,-90.2205,42.7492,Forested Upland,3.35,3.35,1331.60,29.00,7.20,60.83
1446,C-326148,4075,NM,-104.545,35.9173,Shrubland,4.14,1.10,1352.64,28.30,32.73,78.79
1447,C-352633,4076,TN,-87.5218,35.6109,Forested Upland,9.41,9.41,1350.48,25.30,25.66,51.42
1448,C-326160,4079,NM,-104.098,33.9242,Shrubland,0.79,0.30,1435.12,19.03,64.85,81.00
1449,C-348816,4084,IL,-89.1244,38.7366,Planted/Cultivated,2.58,2.58,1467.48,28.59,6.04,64.99
1450,C-357311,4088,TX,-96.0364,32.4215,Herbaceous Upland,0.26,0.26,1476.60,32.40,33.56,58.00
1451,C-353231,4090,OR,-121.7331,43.765,Forested Upland,1.63,1.50,913.65,8.00,65.60,61.97
1452,C-320485,4091,NV,-114.5108,40.9545,Shrubland,5.14,1.00,1260.09,13.98,34.02,82.00
1453,C-349956,4092,OH,-84.503,40.4983,Planted/Cultivated,1.54,1.54,1493.50,33.36,22.28,64.29
1454,C-348827,4104,IL,-89.756,38.506,Planted/Cultivated,2.98,2.90,1449.69,26.96,0.00,66.51
1455,C-353232,4110,OR,-122.9432,43.5776,Forested Upland,2.91,2.80,901.16,23.15,39.15,55.00
1456,C-320397,4111,NV,-115.7191,41.2941,Shrubland,1.11,1.11,1202.03,25.00,20.30,75.70
1457,C-349957,4112,OH,-83.7985,40.2972,Planted/Cultivated,1.25,1.25,1520.90,26.28,27.41,61.10
1458,C-338295,4120,MN,-96.295,43.9356,Planted/Cultivated,2.55,2.55,1286.91,30.89,17.41,67.47
1459,C-338722,4123,SD,-104.0175,43.9332,Forested Upland,4.92,4.92,1439.52,25.74,34.35,63.00
1460,C-357312,4124,TX,-98.376,29.0497,Planted/Cultivated,0.92,0.92,1404.49,33.44,39.62,70.13
1461,C-355928,4127,CA,-117.37,35.619,Barren,3.11,0.40,1480.61,13.93,67.85,89.97
1462,C-328635,4128,FL,-85.2423,30.9517,Planted/Cultivated,0.23,0.23,1490.22,16.99,72.43,55.48
1463,C-326413,4136,OK,-99.2269,35.7858,Planted/Cultivated,2.12,1.60,1423.36,19.01,45.22,72.00
1464,C-339054,4139,AZ,-109.4202,36.7194,Shrubland,0.57,0.30,1369.62,23.95,59.60,81.00
1465,C-352041,4140,NC,-79.1275,35.6443,Forested Upland,35.00,35.00,1459.36,23.60,23.54,50.50
1466,C-313245,4143,UT,-113.2499,39.2703,Barren,5.65,1.00,1329.48,14.91,58.00,84.00
1467,C-328551,4144,FL,-80.2862,25.8838,Planted/Cultivated,0.11,0.11,1024.49,7.05,44.99,68.75
1468,C-355113,4152,WI,-88.6209,43.6029,Herbaceous Upland,2.61,2.61,1462.56,28.01,32.98,64.86
1469,C-319531,4155,CO,-103.9877,37.8712,Herbaceous Upland,0.64,0.64,1361.47,20.24,50.83,79.00
1470,C-352634,4156,TN,-88.4277,35.4659,Developed,2.06,2.06,1395.20,24.85,24.19,50.53
1471,C-326189,4159,NM,-103.4387,35.3379,Herbaceous Upland,0.38,0.38,1410.18,27.00,44.21,78.95
1472,C-311262,4168,MO,-92.5066,37.6597,Developed,2.35,2.35,1390.82,23.25,16.93,55.48
1473,C-314227,4172,MS,-89.9635,34.3292,Developed,1.77,1.77,1477.87,21.64,3.82,54.35
1474,C-353233,4174,OR,-119.1836,44.5456,Forested Upland,3.55,3.55,1079.21,16.17,34.49,61.00
1475,C-348435,4175,OR,-117.0941,43.2379,Herbaceous Upland,1.95,1.95,1228.48,23.38,30.72,71.93
1476,C-351230,4176,IN,-86.7739,40.9256,Planted/Cultivated,1.42,1.42,1524.55,5.10,69.64,61.10
1477,C-351821,4180,AZ,-109.5721,32.3599,Shrubland,0.63,0.50,1399.89,33.94,45.72,79.32
1478,C-300981,4184,NE,-96.0376,40.6511,Planted/Cultivated,1.88,1.88,1335.48,41.63,3.29,63.65
1479,C-338690,4185,SD,-98.2208,45.5608,Planted/Cultivated,3.89,3.89,1330.10,33.17,10.81,74.42
1480,C-319583,4187,CO,-104.4418,40.916,Herbaceous Upland,1.83,1.83,1306.04,32.28,44.75,78.84
1481,C-355929,4191,CA,-124.132,40.467,Herbaceous Upland,4.42,4.42,1217.27,31.45,27.29,55.90
1482,C-328982,4192,AL,-87.061,31.0277,Developed,0.71,0.71,1458.18,13.86,66.32,50.28
1483,C-326453,4200,OK,-95.8745,36.8974,Planted/Cultivated,2.15,2.15,1374.07,34.70,15.78,62.05
1484,C-299990,4201,ME,-68.9256,45.0141,Forested Upland,4.29,4.29,1258.62,10.75,50.15,55.99
1485,C-326394,4203,OK,-102.8321,36.9707,Herbaceous Upland,1.72,0.90,1364.12,31.55,28.15,80.00
1486,C-353754,4204,TN,-82.2633,36.3407,Planted/Cultivated,3.35,3.35,1392.65,38.97,24.03,55.92
1487,C-337934,4206,MT,-107.3243,46.4975,Shrubland,0.90,0.90,1423.24,41.40,17.16,77.35
1488,C-343219,4207,CA,-114.806,34.825,Barren,0.48,0.10,1559.95,22.31,54.06,83.00
1489,C-354795,4213,MI,-87.8319,45.9736,Forested Upland,4.62,4.62,1373.67,4.90,70.87,56.00
1490,C-314130,4216,LA,-90.7726,29.9105,Planted/Cultivated,2.06,2.06,1173.85,56.17,13.86,64.61
1491,C-318571,4219,WY,-109.5071,41.3813,Shrubland,0.96,0.96,1296.59,17.78,55.15,81.18
1492,C-364460,4220,PA,-78.6028,41.3711,Forested Upland,1.18,1.18,1393.49,21.82,27.79,47.82
1493,C-359216,4223,TX,-102.5337,33.1288,Herbaceous Upland,0.10,0.10,1544.49,20.00,72.60,77.54
1494,C-354796,4225,MI,-84.7836,44.0757,Forested Upland,0.56,0.56,1315.00,6.17,80.04,53.87
1495,C-311234,4232,MO,-92.1988,38.7692,Planted/Cultivated,3.53,3.53,1409.01,32.79,10.85,57.35
1496,C-314066,4236,LA,-93.3918,32.0799,Developed,1.22,1.22,1460.47,24.04,35.90,59.00
1497,C-354195,4238,WA,-119.5036,47.9558,Shrubland,0.89,0.89,1190.47,9.73,42.24,69.00
1498,C-334806,4239,ID,-113.4723,42.2811,Herbaceous Upland,1.43,1.30,1291.29,19.34,27.65,79.01
1499,C-354797,4240,MI,-85.9107,43.7201,Forested Upland,1.00,1.00,1533.87,2.11,92.00,54.24
1500,C-323844,4244,NM,-107.6573,34.4334,Forested Upland,1.27,1.27,1306.17,19.88,60.92,79.55
1501,C-301008,4248,NE,-98.4456,41.625,Planted/Cultivated,1.43,0.80,1334.95,17.06,25.15,72.87
1502,C-339501,4249,ND,-97.7849,48.37,Planted/Cultivated,2.38,2.00,1293.39,29.01,36.83,78.62
1503,C-313255,4251,UT,-111.1226,37.3659,Shrubland,0.19,0.19,1404.70,12.56,65.79,82.72
1504,C-357313,4252,TX,-97.0565,29.6455,Planted/Cultivated,2.06,1.20,1516.90,22.36,50.72,65.09
1505,C-320323,4255,NV,-118.3645,38.8385,Shrubland,1.57,1.00,1312.93,12.79,68.00,86.00
1506,C-328471,4256,SC,-80.9005,32.351,Forested Upland,3.85,3.85,1400.51,16.85,56.08,52.62
1507,C-300481,4257,NY,-74.4942,42.1458,Forested Upland,7.62,7.62,1374.14,12.58,34.52,47.58
1508,C-338296,4264,MN,-93.2024,44.1761,Planted/Cultivated,1.76,1.76,1320.30,22.02,34.85,62.65
1509,C-310044,4267,KS,-101.8796,39.5804,Planted/Cultivated,0.90,0.90,1298.40,31.05,16.91,75.04
1510,C-350391,4268,KY,-84.5194,36.8698,Forested Upland,6.16,6.16,1417.66,23.30,24.86,51.01
1511,C-343408,4271,AZ,-113.6456,35.0858,Shrubland,0.33,0.33,1418.78,15.87,55.81,82.96
1512,C-357314,4280,TX,-97.9431,31.0435,Planted/Cultivated,1.57,1.57,1496.73,42.15,22.44,75.00
1513,C-318495,4283,WY,-108.0239,43.8817,Shrubland,0.37,0.37,1468.01,29.00,35.01,80.93
1514,C-350713,4284,VA,-78.4705,38.7766,Forested Upland,19.70,19.70,1312.77,26.52,30.99,52.97
1515,C-322997,4286,ND,-101.828,46.264,Planted/Cultivated,1.85,1.85,1293.88,30.61,23.99,71.61
1516,C-342935,4287,TX,-100.9394,34.3073,Planted/Cultivated,0.29,0.29,1528.76,18.02,58.70,73.99
1517,C-359113,4292,TX,-102.3648,30.0225,Shrubland,7.57,2.10,1328.50,31.59,32.02,78.81
1518,C-340776,4296,SD,-98.2764,43.1117,Planted/Cultivated,1.59,1.59,1374.28,29.83,27.57,69.78
1519,C-338716,4299,SD,-101.7259,43.7226,Herbaceous Upland,1.51,1.51,1302.49,46.00,12.63,79.00
1520,C-314071,4300,LA,-91.8724,31.2291,Forested Upland,2.55,2.55,1295.22,44.09,7.75,58.23
1521,C-334807,4302,ID,-116.2483,45.8259,Herbaceous Upland,4.31,4.31,1209.67,26.50,15.00,66.68
1522,C-355930,4303,CA,-119.4566,38.4479,Forested Upland,0.51,0.51,1239.93,5.61,80.45,64.74
1523,C-328971,4304,AL,-87.2118,34.0374,Forested Upland,0.94,0.94,1438.93,28.03,33.21,50.83
1524,C-325696,4308,NM,-108.5125,33.9205,Shrubland,2.89,2.89,1307.59,36.24,37.31,73.40
1525,C-310145,4312,KS,-99.0043,39.6406,Planted/Cultivated,3.72,2.10,1377.18,23.18,18.15,74.63
1526,C-338298,4313,MN,-95.4746,47.1916,Forested Upland,4.80,4.80,1437.88,9.52,39.46,61.88
1527,C-319622,4315,CO,-106.2517,39.234,Herbaceous Upland,7.63,7.63,1203.99,9.92,72.01,56.55
1528,C-350906,4316,NC,-80.9549,36.3404,Forested Upland,20.30,20.30,1378.07,37.35,35.18,54.26
1529,C-355931,4319,CA,-120.739,41.745,Forested Upland,1.91,1.91,1144.11,41.31,36.36,65.32
1530,C-328301,4320,SC,-79.4881,33.1227,Forested Upland,2.01,2.01,1320.17,16.80,53.30,48.35
1531,C-311152,4328,MO,-91.9724,40.0088,Planted/Cultivated,1.23,1.23,1409.78,35.00,12.25,57.46
1532,C-299985,4329,ME,-68.622,46.9987,Forested Upland,5.00,5.00,1117.47,8.75,43.57,52.57
1533,C-319593,4331,CO,-105.1003,38.7441,Forested Upland,4.09,4.09,1198.87,13.32,62.06,63.73
1534,C-350392,4332,KY,-86.8794,37.8871,Planted/Cultivated,2.66,2.50,1448.03,21.59,12.18,54.80
1535,C-335459,4334,MT,-113.0326,45.2797,Herbaceous Upland,8.51,1.90,1192.76,19.70,49.39,72.69
1536,C-324017,4335,NM,-103.2477,33.0819,Shrubland,0.93,0.93,1435.92,24.79,50.43,78.00
1537,C-351822,4343,AZ,-113.1592,34.3823,Shrubland,0.90,0.40,1460.17,17.36,64.89,79.33
1538,C-357315,4344,TX,-95.5674,33.6227,Planted/Cultivated,1.79,1.79,1391.75,32.37,34.56,63.02
1539,C-353235,4346,OR,-121.5712,45.3393,Forested Upland,0.10,0.10,992.47,4.44,70.62,57.51
1540,C-319935,4347,WY,-106.5152,41.3766,Forested Upland,3.07,3.07,1312.81,15.88,54.81,62.32
1541,C-341238,4348,PA,-75.3877,39.9869,Planted/Cultivated,0.58,0.58,1389.16,18.65,37.08,53.01
1542,C-311172,4360,MO,-90.5502,38.7712,Planted/Cultivated,1.80,1.80,1385.75,23.79,7.11,61.39
1543,C-357316,4364,TX,-94.8428,31.6229,Planted/Cultivated,1.47,1.47,1456.34,23.01,51.20,55.15
1544,C-353236,4366,OR,-123.8255,45.5185,Forested Upland,4.36,4.36,867.86,24.99,32.80,51.63
1545,C-320377,4367,NV,-114.5369,39.5843,Shrubland,5.37,5.37,1345.54,15.69,42.06,81.25
1546,C-349958,4368,OH,-83.1536,40.1551,Forested Upland,3.24,3.24,1392.97,33.12,19.91,57.13
1547,C-348944,4376,IA,-95.9785,42.7105,Planted/Cultivated,1.67,1.67,1289.65,35.01,10.06,67.00
1548,C-322883,4379,NE,-102.1972,41.2042,Planted/Cultivated,1.18,1.18,1340.03,23.77,35.64,70.01
1549,C-357317,4380,TX,-97.5375,29.8885,Planted/Cultivated,1.58,1.50,1472.77,33.49,41.25,62.34
1550,C-355934,4383,CA,-117.435,34.806,Barren,0.17,0.10,1516.16,17.53,69.00,83.00
1551,C-329036,4384,AL,-86.1309,31.4932,Planted/Cultivated,0.22,0.22,1500.82,29.00,60.61,52.87
1552,C-309924,4392,KS,-99.6399,37.5881,Herbaceous Upland,1.89,1.89,1439.88,23.36,39.49,68.41
1553,C-300044,4393,ME,-70.462,43.6446,Forested Upland,13.40,13.40,1241.71,5.96,44.07,52.15
1554,C-326146,4395,NM,-108.3213,36.071,Shrubland,0.56,0.50,1395.10,31.27,41.98,83.63
1555,C-328302,4396,SC,-79.6173,34.4244,Planted/Cultivated,0.40,0.40,1576.87,21.56,57.00,51.56
1556,C-354196,4398,WA,-119.7516,48.5554,Planted/Cultivated,1.01,1.01,1170.95,11.00,46.19,66.09
1557,C-313280,4399,UT,-112.9488,38.2371,Shrubland,1.63,0.90,1303.27,22.00,41.96,81.98
1558,C-355114,4405,WI,-91.5243,45.4498,Planted/Cultivated,1.92,1.92,1489.98,7.98,29.89,55.95
1559,C-355115,4408,WI,-88.9259,44.1429,Forested Upland,8.57,8.57,1328.73,33.45,26.58,61.97
1560,C-313243,4411,UT,-110.0626,40.212,Shrubland,0.31,0.20,1414.93,25.67,33.61,81.97
1561,C-350393,4412,KY,-86.7741,36.6935,Planted/Cultivated,1.39,1.39,1425.37,22.00,14.03,56.48
1562,C-340110,4414,ND,-100.8277,48.341,Herbaceous Upland,1.44,1.44,1420.83,7.64,75.51,75.30
1563,C-326069,4415,NM,-105.4414,33.9039,Shrubland,4.23,0.80,1293.27,22.93,47.99,79.91
1564,C-352635,4424,TN,-89.2244,35.0622,Planted/Cultivated,3.98,3.98,1407.77,19.94,15.13,51.74
1565,C-314059,4428,LA,-93.306,31.2071,Planted/Cultivated,1.34,1.34,1585.11,30.08,29.83,53.07
1566,C-335460,4430,MT,-114.7983,47.3077,Forested Upland,2.76,2.76,1234.68,14.12,35.82,62.67
1567,C-320352,4431,NV,-116.5262,40.422,Shrubland,1.47,0.90,1279.17,34.00,11.85,87.00
1568,C-354798,4432,MI,-83.156,42.6642,Forested Upland,4.11,2.90,1407.86,19.36,41.33,63.36
1569,C-301023,4440,NE,-97.6411,42.2981,Planted/Cultivated,0.69,0.60,1411.35,16.70,65.40,63.20
1570,C-323096,4441,ND,-99.4402,46.6208,Herbaceous Upland,3.95,3.95,1399.55,23.68,49.94,73.00
1571,C-318597,4443,WY,-104.5961,42.0031,Herbaceous Upland,1.67,1.50,1323.39,24.07,43.32,80.00
1572,C-357318,4444,TX,-98.2932,28.404,Shrubland,2.52,2.20,1384.33,30.64,41.40,75.88
1573,C-355935,4447,CA,-123.514,41.487,Forested Upland,1.51,1.51,1320.85,21.52,34.39,57.27
1574,C-315077,4448,MS,-88.4854,32.5794,Forested Upland,1.17,1.17,1432.82,37.39,27.56,54.08
1575,C-326416,4456,OK,-94.8072,36.9573,Planted/Cultivated,1.42,1.42,1400.42,26.79,14.54,59.72
1576,C-300410,4457,NY,-73.3469,42.851,Forested Upland,8.46,8.46,1455.18,7.72,43.51,53.57
1577,C-342341,4459,TX,-100.4729,36.2155,Herbaceous Upland,0.90,0.90,1405.77,21.00,41.67,77.98
1578,C-350908,4460,NC,-83.8144,35.1682,Forested Upland,10.60,10.60,1274.29,25.34,43.89,52.00
1579,C-337981,4462,MT,-107.9043,47.1604,Herbaceous Upland,2.38,1.60,1305.00,30.19,29.93,74.81
1580,C-320327,4463,NV,-116.017,38.7298,Shrubland,0.15,0.15,1314.31,12.06,58.42,84.00
1581,C-355116,4469,WI,-89.2807,45.475,Forested Upland,1.86,1.80,1380.38,6.62,56.46,50.23
1582,C-327832,4472,OK,-98.2814,34.5549,Planted/Cultivated,1.45,1.45,1426.98,30.99,27.32,70.28
1583,C-318462,4475,WY,-110.4833,43.0986,Shrubland,7.43,6.90,1211.84,19.22,35.08,62.16
1584,C-349961,4476,OH,-81.3467,39.5995,Forested Upland,18.20,18.20,1353.07,29.41,16.53,50.97
1585,C-335461,4478,MT,-106.3435,48.5464,Herbaceous Upland,1.87,1.87,1348.74,23.99,48.19,73.89
1586,C-359114,4479,TX,-102.241,33.2478,Herbaceous Upland,0.27,0.27,1513.78,19.96,65.54,78.18
1587,C-359115,4484,TX,-103.0211,29.6175,Shrubland,9.27,0.90,1361.98,34.56,34.02,79.00
1588,C-311313,4488,MO,-91.8391,39.0913,Planted/Cultivated,1.18,1.18,1374.22,33.94,9.07,56.01
1589,C-314049,4492,LA,-91.8236,32.9871,Forested Upland,2.60,2.60,1472.36,20.00,16.47,49.00
1590,C-354800,4496,MI,-85.1509,43.967,Planted/Cultivated,0.86,0.86,1585.66,15.01,65.55,60.51
1591,C-325750,4500,NM,-106.167,34.3622,Shrubland,1.28,0.80,1396.05,28.98,37.98,79.00
1592,C-310303,4504,KS,-96.1755,39.2708,Herbaceous Upland,1.79,1.79,1347.30,36.39,15.70,68.00
1593,C-339499,4505,ND,-99.1185,48.9194,Planted/Cultivated,3.49,1.70,1283.05,24.16,36.04,76.46
1594,C-313229,4507,UT,-110.185,38.0338,Forested Upland,0.50,0.40,1392.85,9.66,69.84,82.59
1595,C-364322,4508,VA,-78.3365,36.8759,Forested Upland,1.13,1.13,1418.31,43.92,24.10,50.90
1596,C-355936,4511,CA,-120.2288,38.714,Forested Upland,2.82,2.82,1109.86,8.00,73.24,57.67
1597,C-328626,4512,FL,-82.8258,30.5057,Planted/Cultivated,0.59,0.59,1413.03,11.53,80.04,49.06
1598,C-300401,4513,NY,-75.8344,43.8026,Forested Upland,7.31,7.31,1096.92,7.46,40.46,51.57
1599,C-348666,4520,IL,-88.0166,40.9678,Planted/Cultivated,3.29,3.29,1471.42,34.00,15.18,62.91
1600,C-310023,4523,KS,-101.1577,37.9253,Herbaceous Upland,1.78,1.78,1372.76,25.94,38.63,77.00
1601,C-350396,4524,KY,-84.9192,38.637,Planted/Cultivated,1.62,1.62,1450.60,35.76,5.61,58.56
1602,C-335462,4526,MT,-111.7388,46.6835,Forested Upland,4.81,4.81,1320.78,15.29,43.34,70.00
1603,C-343396,4527,AZ,-113.504,36.1222,Shrubland,1.24,1.24,1284.20,31.95,28.89,77.00
1604,C-358476,4535,CA,-118.063,34.045,Planted/Cultivated,3.41,2.60,1347.34,19.09,35.27,74.11
1605,C-357319,4536,TX,-98.8885,31.6183,Planted/Cultivated,2.02,2.02,1475.01,31.67,41.56,71.62
1606,C-318541,4539,WY,-108.8886,43.6887,Herbaceous Upland,1.59,1.50,1272.66,24.61,46.51,77.13
1607,C-320883,4540,MD,-76.9614,39.1807,Planted/Cultivated,2.79,2.79,1451.94,24.30,32.27,55.13
1608,C-338680,4542,SD,-103.4657,45.6883,Herbaceous Upland,1.26,1.26,1390.23,24.35,39.40,77.32
1609,C-338661,4552,SD,-99.1233,43.1469,Herbaceous Upland,1.91,1.91,1389.44,23.18,45.39,69.92
1610,C-318554,4555,WY,-105.7103,43.2898,Herbaceous Upland,1.45,1.45,1458.37,24.14,51.33,77.14
1611,C-314214,4556,MS,-89.5515,32.3753,Forested Upland,1.22,1.22,1424.44,47.43,16.11,50.18
1612,C-334809,4558,ID,-113.9466,45.0989,Herbaceous Upland,0.96,0.96,1176.46,22.58,38.82,76.42
1613,C-355937,4559,CA,-117.964,37.089,Barren,4.76,0.90,1373.93,18.68,59.19,80.37
1614,C-328188,4560,GA,-84.037,33.6865,Developed,0.71,0.71,1463.34,26.03,48.84,51.97
1615,C-351823,4564,AZ,-111.0694,34.2831,Forested Upland,1.04,0.90,1398.56,31.05,44.34,62.40
1616,C-338299,4569,MN,-93.6915,47.5014,Planted/Cultivated,3.58,3.58,1485.93,20.33,25.82,53.05
1617,C-319683,4571,CO,-106.5724,38.2135,Forested Upland,0.89,0.89,1257.30,11.01,55.14,60.12
1618,C-350909,4572,NC,-81.4276,36.4879,Forested Upland,3.85,3.85,1322.35,21.15,45.77,50.08
1619,C-353237,4575,OR,-119.8005,42.2033,Shrubland,0.75,0.60,1245.60,36.17,25.95,79.00
1620,C-326170,4576,FL,-81.5479,28.5959,Planted/Cultivated,1.03,1.03,1313.38,4.47,88.09,53.90
1621,C-348532,4584,IA,-92.5369,40.7257,Planted/Cultivated,2.74,2.74,1358.06,37.07,7.11,55.99
1622,C-319587,4587,CO,-104.1809,38.3052,Herbaceous Upland,0.42,0.42,1425.71,24.60,48.91,79.46
1623,C-348841,4588,IL,-87.8667,39.2952,Planted/Cultivated,1.32,1.32,1512.46,25.64,10.29,58.16
1624,C-335463,4590,MT,-113.5134,46.4095,Forested Upland,4.07,4.07,1293.84,11.78,62.59,63.00
1625,C-326188,4591,NM,-105.1518,32.8827,Shrubland,4.16,2.90,1340.84,31.00,33.81,78.00
1626,C-320953,4596,NJ,-74.0312,40.9813,Forested Upland,4.58,4.58,1479.01,10.05,41.54,54.85
1627,C-351826,4599,AZ,-114.2117,33.9415,Shrubland,0.32,0.10,1530.60,10.72,71.21,83.98
1628,C-327823,4600,OK,-96.6416,33.9376,Planted/Cultivated,2.04,2.04,1449.55,29.98,27.39,61.37
1629,C-353238,4602,OR,-123.5245,43.0965,Forested Upland,2.47,2.47,1312.82,34.83,33.78,57.78
1630,C-313308,4603,UT,-109.1021,40.2648,Herbaceous Upland,0.47,0.47,1362.08,25.07,33.18,79.82
1631,C-312429,4616,AR,-93.6828,36.3851,Developed,2.89,2.89,1403.99,18.73,17.64,50.76
1632,C-351827,4619,AZ,-111.1335,32.1282,Shrubland,0.13,0.13,1418.30,24.09,47.42,79.09
1633,C-312873,4620,AR,-91.1763,34.1463,Forested Upland,2.33,2.33,1436.50,23.92,6.93,59.00
1634,C-348432,4622,OR,-118.4077,44.0468,Forested Upland,8.36,8.36,1088.39,15.80,47.86,59.97
1635,C-334810,4623,ID,-116.0286,42.2447,Shrubland,1.26,1.26,1260.45,30.58,28.90,69.07
1636,C-351231,4624,IN,-85.4121,40.7275,Planted/Cultivated,1.59,1.59,1537.94,32.51,18.46,65.87
1637,C-351828,4628,AZ,-109.7487,32.5569,Shrubland,0.57,0.57,1312.78,27.19,56.55,71.08
1638,C-348949,4632,IA,-95.7795,41.6897,Planted/Cultivated,2.22,1.10,1303.03,24.66,5.75,65.90
1639,C-306799,4635,NE,-101.1364,41.1737,Shrubland,0.73,0.73,1374.42,10.20,70.47,73.87
1640,C-357371,4636,TX,-97.151,27.9561,Planted/Cultivated,0.83,0.70,1422.78,14.77,58.16,70.88
1641,C-355939,4639,CA,-121.139,35.995,Herbaceous Upland,2.06,2.06,1432.22,21.08,34.93,66.00
1642,C-328143,4640,GA,-84.6235,31.7366,Planted/Cultivated,1.59,1.59,1572.64,24.00,63.38,53.38
1643,C-337071,4648,OK,-96.1086,36.5505,Planted/Cultivated,1.91,1.91,1419.72,20.50,56.59,56.40
1644,C-299966,4649,ME,-70.2528,45.5975,Planted/Cultivated,3.20,3.20,1028.00,7.65,51.59,53.80
1645,C-323841,4651,NM,-107.2091,36.7694,Forested Upland,0.40,0.40,1371.40,36.78,35.00,76.00
1646,C-328303,4652,SC,-82.8762,34.7495,Forested Upland,2.84,2.84,1383.35,41.00,32.00,51.41
1647,C-337982,4654,MT,-108.0048,45.4663,Shrubland,1.83,1.60,1391.14,31.14,29.00,76.57
1648,C-355940,4655,CA,-116.808,35.082,Barren,0.07,0.07,1430.96,11.75,74.82,85.82
1649,C-355117,4661,WI,-92.6451,44.7976,Planted/Cultivated,2.77,2.77,1401.43,11.00,41.86,58.40
1650,C-314032,4664,LA,-93.4536,29.7718,Developed,1.14,0.10,1286.70,50.96,25.07,59.91
1651,C-313080,4667,UT,-112.2336,40.1163,Shrubland,2.56,1.60,1247.29,18.00,32.06,81.88
1652,C-349962,4668,OH,-81.1693,41.7714,Developed,1.99,1.99,1490.08,7.41,61.28,60.29
1653,C-335464,4670,MT,-106.3654,48.0314,Shrubland,1.23,1.23,1253.54,30.71,26.28,75.00
1654,C-357372,4671,TX,-100.4422,32.8117,Planted/Cultivated,0.48,0.48,1491.73,31.34,44.85,76.96
1655,C-311286,4680,MO,-90.321,37.1774,Developed,2.07,2.07,1415.99,20.01,20.06,54.95
1656,C-314109,4684,LA,-92.9088,32.8516,Forested Upland,0.81,0.81,1468.74,26.18,39.33,50.09
1657,C-334811,4686,ID,-116.5112,46.7867,Forested Upland,3.45,3.45,1279.77,20.40,14.82,61.00
1658,C-320516,4687,NV,-117.8946,40.7149,Shrubland,2.21,2.21,1250.30,24.57,31.08,76.94
1659,C-327701,4692,NM,-106.9257,32.1932,Shrubland,0.55,0.40,1384.71,48.03,44.97,82.02
1660,C-306818,4696,NE,-99.8514,40.2772,Planted/Cultivated,0.83,0.83,1338.18,27.42,24.49,74.11
