A_LabID,SiteID,StateID,Latitude,Longitude,Landcover,Developed,Agriculture,As,Cd,Cr,Pb,Se,Zn,Fe,Mn
C-320801,10716,MT,47.1078,-108.3572,Shrubland,No,No,23.3,0.3,21,17.6,0.7,91,3.8,652
C-320775,10364,AZ,34.4979,-112.2633,Shrubland,No,No,23.3,0.2,43,24.3,0.2,112,7.93,1530
C-320773,10876,SD,43.7226,-101.7259,Herbaceous ,No,Yes,23.3,0.2,51,17.8,1.5,136,7.94,369
C-320798,9948,NV,39.5694,-119.7486,Shrubland,No,No,23.1,0.2,20,49.3,2.6,64,5.51,663
C-320792,9692,NV,39.7075,-115.3513,Shrubland,No,No,22.9,0.7,27,8.6,0.4,50,1.11,302
C-320924,9660,ME,46.1246,-68.5642,Forested,No,No,22.8,0.4,68,25.2,0.6,94,4.07,694
C-320763,8876,NV,39.2738,-119.0605,Shrubland,No,No,22.5,0.2,23,21.7,0.2,104,4.06,970
C-320779,8572,UT,41.58,-112.254,Shrubland,No,No,22.2,0.5,46,45.5,0.2,99,2.09,651
C-320787,7804,WA,48.8134,-119.5346,Herbaceous ,No,Yes,22,0.3,59,13,0.4,107,3.87,617
C-320777,7644,PA,41.3062,-77.6669,Forested,No,No,21.8,0.9,62,84.6,1.4,149,3.27,5260
C-320797,7548,AZ,34.4146,-111.789,Shrubland,No,No,21.6,0.3,199,12.5,0.3,76,5.33,1100
C-320803,7388,MT,46.6835,-111.7388,Forested,No,No,21.3,0.8,46,35.4,0.3,77,2.39,714
C-320765,6620,NV,38.4131,-118.823,Shrubland,No,No,20.7,0.05,7,14.9,0.1,34,2.18,455
C-320766,7292,NY,43.0937,-75.3974,Planted/Cultivated,No,Yes,20.7,0.2,51,34.1,0.3,142,5.76,2010
C-320920,6588,TX,31.8245,-95.2025,Planted/Cultivated,No,Yes,20.6,0.05,27,13.7,0.1,44,2.97,328
C-320785,6268,NE,41.9695,-96.1636,Planted/Cultivated,No,Yes,20.6,0.6,44,22,0.7,88,2.57,737
C-320791,5852,OH,39.1618,-83.1032,Developed,Yes,No,20.4,0.2,44,44.9,0.6,101,2.64,1660
C-320764,5756,MT,46.2119,-105.6772,Herbaceous ,No,Yes,20.3,0.3,44,18.6,0.6,80,6.55,1060
C-320778,5596,CA,34.045,-118.063,Planted/Cultivated,No,Yes,20.3,1,49,212,0.2,193,4.82,1220
C-320788,5500,PA,41.0529,-79.967,Forested,No,No,20.2,0.4,44,40.8,0.9,74,4.24,910
C-320800,3804,TX,31.7846,-97.5259,Planted/Cultivated,No,Yes,20.1,0.3,34,15.4,0.5,42,2.3,922
C-320767,3196,CA,35.6399,-116.6472,Barren,No,No,20.1,0.1,50,31.5,0.1,107,3.39,795
C-320804,3548,KS,37.8362,-95.806,Herbaceous ,No,Yes,20.1,0.5,60,32.2,0.4,125,3.89,492
C-320780,3708,ME,45.6972,-68.1177,Forested,No,No,20.1,0.3,64,20.7,0.9,97,3.6,798
C-320802,2684,UT,40.6473,-112.3082,Developed,Yes,No,20,1.4,32,108,0.8,102,1.59,478
C-320794,2524,MT,47.7469,-110.6991,Shrubland,No,No,19.6,0.05,74,18.1,0.4,109,2.59,74
C-320796,1660,AZ,35.9776,-112.8662,Shrubland,No,No,19.5,0.4,32,17.7,0.4,55,2.11,713
C-320762,1756,ME,44.92,-70.8685,Forested,No,No,19.5,0.3,45,24,0.4,51,3.61,737
C-320770,1500,AR,34.4603,-91.341,Developed,Yes,No,19.4,0.2,30,25.9,0.6,56,1.51,1390
C-320769,1404,KY,37.5477,-84.4306,Planted/Cultivated,No,Yes,19.2,0.3,68,36.7,2.1,139,4.29,1330
C-355177,12661,CA,35.619,-117.37,Barren,No,No,19.1,0.05,4,9.7,0.1,22,1.09,265
C-355178,13109,PA,39.9869,-79.8567,Planted/Cultivated,No,Yes,19.1,0.3,53,36.6,0.8,106,3.83,1330
C-355175,12597,NV,39.7231,-118.7655,Shrubland,No,No,18.8,0.2,26,12.7,0.1,49,2.73,568
C-355176,12600,OK,35.8119,-94.965,Herbaceous ,No,Yes,18.8,0.2,65,23.7,0.6,64,3.1,1990
C-355174,12405,OK,36.8939,-95.3409,Planted/Cultivated,No,Yes,18.7,0.6,58,29.6,0.7,86,4.8,2450
C-355173,12344,UT,39.9406,-109.1695,Shrubland,No,No,18.6,0.2,50,19.6,0.2,57,2.44,455
C-355170,11880,CO,37.8284,-107.6216,Shrubland,No,No,18.4,5.1,24,865,0.4,977,3.63,4040
C-355172,12264,MT,46.2797,-111.5931,Shrubland,No,No,18.4,0.6,42,41.9,0.1,105,3.65,728
C-355169,11829,MO,39.0913,-91.8391,Planted/Cultivated,No,Yes,18.3,0.2,52,41.7,1,48,3.07,1840
C-355167,11381,LA,32.4642,-91.1176,Planted/Cultivated,No,Yes,18,0.2,22,13.2,0.1,36,1.26,231
C-355168,11637,WY,44.7795,-109.1621,Shrubland,No,No,18,0.4,48,19.1,0.1,63,2.68,598
C-355166,11320,TX,31.3374,-100.0779,Planted/Cultivated,No,Yes,17.9,0.3,26,17.5,0.3,56,2.19,462
C-355165,11240,NY,42.0428,-78.7207,Forested,No,No,17.9,0.5,60,37.6,1.2,116,3.76,5210
C-355161,10856,CA,36.3754,-117.1427,Shrubland,No,No,17.8,0.4,33,32.5,0.1,157,3.6,665
C-355160,10613,AR,35.9428,-91.565,Planted/Cultivated,No,Yes,17.8,0.05,38,17.5,0.5,44,1.89,1340
C-355162,11061,PA,40.9064,-79.2162,Planted/Cultivated,No,Yes,17.8,0.1,78,40.5,2,145,6.99,614
C-355158,10549,MT,46.4975,-107.3243,Shrubland,No,No,17.6,0.2,49,20.2,0.9,91,3.15,320
C-355157,10216,IL,40.6165,-88.8123,Planted/Cultivated,No,Yes,17.6,0.2,54,24.8,0.6,108,2.41,996
C-355156,9832,IL,41.0237,-90.0622,Planted/Cultivated,No,Yes,17.6,0.3,64,34.4,0.5,41,3.24,882
C-355159,10552,WY,42.5287,-108.6802,Herbaceous ,No,Yes,17.6,0.4,85,20.5,0.3,98,3.51,814
C-355151,9525,MS,32.367,-90.7335,Developed,Yes,No,17.5,0.2,33,19,0.3,58,1.85,592
C-355153,9589,NM,34.7796,-106.9873,Shrubland,No,No,17.5,0.1,33,12.2,0.1,40,2.22,429
C-355155,9781,WV,37.8467,-80.4847,Planted/Cultivated,No,Yes,17.5,0.3,71,32.8,0.8,63,3.85,2510
C-355152,9528,MT,45.8823,-111.8553,Forested,No,No,17.5,0.4,108,23.6,0.3,78,5.59,566
C-355150,9384,MT,47.2578,-111.0411,Herbaceous ,No,Yes,17.2,0.6,44,18.4,0.4,77,2.02,412
C-355149,9272,WY,43.8005,-104.4242,Herbaceous ,No,Yes,17,0.2,47,24.9,0.6,95,3.5,367
C-355148,9269,OK,34.3365,-95.5012,Planted/Cultivated,No,Yes,17,0.1,59,20.8,0.7,63,2.51,544
C-355147,9013,PA,41.1772,-76.2105,Planted/Cultivated,No,Yes,16.9,0.4,51,43.8,0.7,153,3.01,844
C-355146,8565,CO,38.4688,-106.6093,Shrubland,No,No,16.8,0.3,23,28,0.2,70,2.31,496
C-355143,8501,AR,35.7335,-90.6424,Planted/Cultivated,No,Yes,16.8,0.1,39,26.8,1.3,53,2.3,466
C-355145,8504,CA,39.33,-120.571,Forested,No,No,16.8,0.3,47,26.9,0.2,150,3.4,813
C-355142,8248,WY,44.2794,-107.7948,Herbaceous ,No,Yes,16.7,0.2,37,21.3,1.1,74,3.42,527
C-355139,7285,CA,35.3084,-118.8592,Planted/Cultivated,No,Yes,16.6,0.4,21,16.1,0.1,72,2.24,412
C-355140,7733,SD,44.9645,-103.4371,Planted/Cultivated,No,Yes,16.6,0.2,47,20.5,0.6,88,3.03,557
C-355141,7784,WA,48.6065,-121.3984,Forested,No,No,16.6,0.05,117,11.2,0.4,53,3.21,498
C-355138,7224,OR,43.5776,-122.9432,Forested,No,No,16.5,0.05,34,8.8,0.3,106,6.42,1030
C-355137,7144,IL,41.6414,-87.8563,Forested,No,No,16.5,0.2,42,30.4,0.3,75,2.01,530
C-355133,6760,CA,37.936,-119.251,Forested,No,No,16.4,1.1,11,42.1,0.3,144,1.42,457
C-355136,6965,NV,39.0393,-114.6889,Shrubland,No,No,16.4,0.6,31,19.5,0.6,81,1.96,451
C-355132,6709,NV,39.5136,-118.5087,Shrubland,No,No,16.3,0.2,22,19.4,0.1,99,4.25,844
C-355129,6456,ID,47.4853,-116.0632,Forested,No,No,16.3,4.6,25,178,0.2,324,2.86,1670
C-355131,6517,MO,39.0619,-91.1441,Planted/Cultivated,No,Yes,16.3,0.2,52,35.3,0.7,52,3.1,1580
C-355130,6504,ME,44.5741,-68.9675,Planted/Cultivated,No,Yes,16.3,0.2,54,36.4,0.6,73,2.66,508
C-355127,6197,UT,40.3389,-112.5366,Shrubland,No,No,16.2,0.7,44,19.8,0.5,88,2.26,564
C-355125,6120,SD,44.0216,-99.9646,Planted/Cultivated,No,Yes,16.2,1.9,66,19.4,1.5,111,3.31,1240
C-355124,5736,MT,46.2193,-110.5254,Herbaceous ,No,Yes,16.2,1.2,78,27.1,0.1,151,3.59,2320
C-355128,6453,WA,48.6613,-121.239,Forested,No,No,16.2,0.7,92,19.4,0.3,161,4.48,1030
C-355123,5685,CA,41.8772,-121.7266,Herbaceous ,No,Yes,16.1,0.05,11,3.2,0.1,19,0.65,391
C-355121,5432,CA,34.825,-114.806,Barren,No,No,16,0.05,26,26.2,0.1,70,3.56,745
C-355122,5493,ME,44.2692,-69.6979,Planted/Cultivated,No,Yes,16,0.05,91,24.3,0.2,79,4.26,693
C-355120,5429,PA,41.3983,-78.2875,Forested,No,No,15.9,0.5,39,41.2,0.6,97,2.99,1250
C-355118,4917,NY,42.1694,-77.7535,Planted/Cultivated,No,Yes,15.9,0.3,43,27,0.6,80,2.89,2080
C-355119,5176,OK,34.0326,-95.554,Planted/Cultivated,No,Yes,15.9,0.05,48,29.2,0.4,30,4.67,1340
C-355117,4661,MS,34.0736,-90.6605,Planted/Cultivated,No,Yes,15.9,1,69,31.4,1.3,131,4.56,3120
C-355116,4469,TX,30.9338,-98.9386,Herbaceous ,No,Yes,15.8,0.05,8,9.5,0.1,13,3.02,305
C-355114,4405,AR,34.8762,-90.8773,Planted/Cultivated,No,Yes,15.8,0.2,35,27.4,0.2,57,1.59,1930
C-355115,4408,MO,39.6013,-93.8723,Planted/Cultivated,No,Yes,15.8,1.9,94,45.4,1.1,197,3.31,819
C-355110,3893,NV,39.7961,-118.0699,Shrubland,No,No,15.7,0.2,23,15.2,0.1,51,2.49,499
C-355113,4152,WY,41.4224,-108.0398,Shrubland,No,No,15.7,0.2,27,14.1,0.5,47,2.18,1100
C-355112,4072,SD,44.0276,-100.1271,Planted/Cultivated,No,Yes,15.7,2.8,78,22.3,3.1,136,3.23,935
C-355109,3688,MD,39.3912,-76.829,Forested,No,No,15.7,0.5,3060,164,0.6,213,8.88,1870
C-355108,3637,NV,36.0544,-114.8096,Shrubland,No,No,15.6,0.1,11,17.9,1.9,55,2.02,574
C-355107,3445,MT,47.0947,-112.3641,Forested,No,No,15.6,1.1,36,32,0.1,112,2.86,632
C-355104,3384,NV,36.7373,-114.7308,Shrubland,No,No,15.5,0.2,26,17.7,0.1,72,2.34,401
C-355103,3189,MO,40.2129,-92.1197,Planted/Cultivated,No,Yes,15.5,0.2,51,35.1,0.7,68,2.77,1240
C-355102,3128,MT,45.8933,-109.862,Shrubland,No,No,15.4,0.3,135,26.1,0.1,91,4.52,976
C-355099,2664,OH,39.3215,-82.6723,Forested,No,No,15.3,0.3,30,27,0.5,56,1.56,1460
C-355101,3048,SD,43.357,-99.7872,Planted/Cultivated,No,Yes,15.3,1.1,53,19.2,2,116,3.07,875
C-355100,2869,OR,45.1875,-123.8082,Forested,No,No,15.3,0.1,65,17,1.4,113,7.36,1690
C-355098,2613,CO,38.4333,-104.5716,Herbaceous ,No,Yes,15.2,0.3,46,37,1.3,116,4.54,474
C-355097,2421,TX,28.7896,-98.9927,Shrubland,No,No,15.1,0.05,15,15.5,0.2,89,4.55,262
C-355095,2360,ID,47.641,-116.272,Forested,No,No,15.1,0.6,35,32.1,0.1,92,3.02,887
C-355096,2408,NY,42.0468,-79.3681,Forested,No,No,15.1,0.2,37,26.1,0.8,71,2.62,697
C-355093,2357,CA,39.426,-122.514,Herbaceous ,No,Yes,15.1,0.2,198,11.1,0.4,156,5.33,714
C-355092,2024,MT,47.634,-108.6667,Herbaceous ,No,Yes,15,0.3,65,20.3,1.3,110,3.59,242
C-355091,1640,OR,43.2379,-117.0941,Herbaceous ,No,Yes,14.9,0.4,38,17.7,0.1,82,3.61,1300
C-355090,1397,KS,37.2824,-94.9144,Herbaceous ,No,Yes,14.9,0.2,61,37,1,73,4.33,762
C-355089,1336,MT,47.0667,-110.4047,Forested,No,No,14.8,0.4,55,36.2,0.4,71,2.5,444
C-355088,1333,PA,41.6871,-78.3779,Planted/Cultivated,No,Yes,14.7,0.05,52,19.4,0.5,66,2.71,464
C-355087,1080,CA,40.813,-123.303,Forested,No,No,14.7,0.3,182,20.9,0.1,156,5.56,2310
C-355086,821,PA,42.2138,-79.8115,Forested,No,No,14.6,0.3,37,45.7,0.9,135,2.92,740
C-355085,629,AZ,33.8607,-111.7032,Shrubland,No,No,14.6,0.2,52,33.6,0.1,106,4.64,958
C-355083,565,TX,31.837,-99.349,Planted/Cultivated,No,Yes,14.5,0.6,38,22.9,0.5,65,2.72,2400
C-355082,373,SD,44.5763,-102.8614,Herbaceous ,No,Yes,14.5,0.2,46,20.1,1.2,98,3.31,458
C-355081,312,OK,34.0263,-95.684,Planted/Cultivated,No,Yes,14.5,0.3,57,46.6,0.2,269,4.66,708
C-354253,12942,ID,43.3078,-116.6552,Shrubland,No,No,14.4,0.2,22,24.3,0.1,74,2.56,640
C-354255,13086,NV,39.6891,-119.0659,Shrubland,No,No,14.4,0.2,34,12.9,0.1,83,4.83,778
C-355078,56,PA,40.026,-78.6582,Herbaceous ,No,Yes,14.4,0.3,49,44.6,0.6,141,3.81,326
C-354254,12986,MT,46.6265,-107.8342,Shrubland,No,No,14.4,0.3,51,19.5,0.8,93,3.43,641
C-355079,181,PA,40.628,-79.0956,Planted/Cultivated,No,Yes,14.4,0.7,56,54.5,1.2,129,2.67,2570
C-355080,309,SD,45.2466,-100.9896,Herbaceous ,No,Yes,14.4,0.8,72,19,2.6,125,3.74,517
C-354251,12590,MT,47.8674,-115.4395,Forested,No,No,14.3,0.4,33,34.4,0.1,156,3.52,759
