A_LabID,SiteID,StateID,Latitude,Longitude,Landcover,Developed,Agriculture,As,Cd,Cr,Pb,Se,Zn,Fe,Mn
C-357380,4984,KS,39.2033,-98.1242,Herbaceous ,No,Yes,9.2,0.8,40,22.5,0.6,100,1.68,336
C-359123,5316,TX,33.1842,-97.4431,Planted/Cultivated,No,Yes,9.2,0.3,42,20.6,0.5,52,2.54,511
C-357378,4940,IL,40.9678,-88.0166,Planted/Cultivated,No,Yes,9.2,0.2,46,33.5,0.5,89,2.42,467
C-357391,5388,WY,43.639,-108.2849,Shrubland,No,No,9.2,0.3,46,20.9,0.1,63,2.47,452
C-357383,5112,ND,48.071,-97.277,Herbaceous ,No,Yes,9.2,0.9,47,17.1,0.5,100,2.31,1310
C-359122,5252,OR,43.6457,-118.3886,Shrubland,No,No,9.2,0.4,50,18.1,0.1,69,3.3,1360
C-357392,5404,WY,44.4082,-105.3666,Herbaceous ,No,Yes,9.2,0.4,51,27.3,0.4,99,2.73,386
C-342917,4991,MO,38.563,-90.9588,Planted/Cultivated,No,Yes,9.2,0.4,53,22.7,0.5,78,2.55,868
C-357379,4956,KS,39.1405,-95.4841,Herbaceous ,No,Yes,9.2,0.4,61,31.9,0.5,96,2.7,645
C-359119,4847,CA,37.836,-120.053,Forested,No,No,9.2,0.2,105,17,0.1,107,4.49,1200
C-359120,4927,CA,40.6926,-123.0587,Forested,No,No,9.2,0.4,265,11.8,0.1,182,7.26,1700
C-357373,4700,TX,28.5238,-98.3872,Shrubland,No,No,9.1,0.4,16,20.9,0.6,42,2.09,280
C-357311,4088,CA,34.501,-119.723,Forested,No,No,9.1,0.05,19,20.7,0.2,42,2.15,296
C-359116,4735,TX,28.844,-98.774,Planted/Cultivated,No,Yes,9.1,0.05,19,16.7,0.1,49,1.83,156
C-364524,4715,TX,30.6378,-102.6688,Herbaceous ,No,Yes,9.1,0.4,25,13.3,0.4,49,1.94,516
C-357375,4804,WA,47.6288,-117.7387,Planted/Cultivated,No,Yes,9.1,0.3,33,17.8,0.1,111,4.67,851
C-342341,4459,MT,47.062,-106.289,Herbaceous ,No,Yes,9.1,0.3,38,17.5,0.3,59,2.25,462
C-357314,4280,ID,42.2996,-114.8107,Shrubland,No,No,9.1,0.4,39,18.9,0.2,79,2.96,903
C-359115,4484,ND,46.9816,-98.818,Herbaceous ,No,Yes,9.1,0.2,39,13.1,0.7,66,2.16,745
N.S.,4548,OH,39.3409,-83.7015,Herbaceous ,No,Yes,9.1,0.1,39,26.4,0.5,54,2.24,1270
C-357371,4636,SD,45.3672,-97.4101,Planted/Cultivated,No,Yes,9.1,0.5,39,13.4,0.4,53,1.82,1010
C-359215,4015,AR,35.0471,-90.4446,Planted/Cultivated,No,Yes,9.1,0.7,40,25.1,0.5,71,1.95,1050
C-342935,4287,IN,39.2839,-86.6262,Planted/Cultivated,No,Yes,9.1,0.3,40,26,0.6,67,2.27,1370
C-357374,4792,UT,39.9841,-112.4757,Herbaceous ,No,Yes,9.1,0.7,40,35.4,0.3,90,2.53,784
C-359113,4292,KS,37.9312,-95.189,Herbaceous ,No,Yes,9.1,0.3,41,43.5,0.5,76,1.83,722
C-357319,4536,ND,48.5772,-102.8204,Planted/Cultivated,No,Yes,9.1,0.4,41,17,0.5,70,2.28,811
C-359216,4223,IA,40.8783,-95.603,Planted/Cultivated,No,Yes,9.1,0.4,45,19.2,0.6,109,2.6,738
C-357315,4344,KS,38.2136,-95.2915,Herbaceous ,No,Yes,9.1,0.3,45,34.3,0.4,73,2.05,753
C-357316,4364,KS,39.6105,-96.9758,Planted/Cultivated,No,Yes,9.1,0.9,45,33.8,0.5,146,2.18,450
C-359114,4479,MT,48.6672,-112.0643,Planted/Cultivated,No,Yes,9.1,0.4,45,17.3,0.3,88,2.45,389
C-357372,4671,TN,36.0324,-86.0188,Planted/Cultivated,No,Yes,9.1,0.2,45,23.8,0.3,93,3.44,1110
C-357317,4380,KY,38.637,-84.9192,Planted/Cultivated,No,Yes,9.1,0.05,46,24.3,0.5,56,3.65,1850
C-357312,4124,IA,41.2588,-95.2893,Planted/Cultivated,No,Yes,9.1,0.5,50,19.1,0.5,77,2.66,917
C-359117,4740,TX,30.2633,-99.4813,Herbaceous ,No,Yes,9.1,0.2,50,22.1,0.5,88,3.72,253
C-357313,4252,IA,43.448,-96.0558,Planted/Cultivated,No,Yes,9.1,0.5,54,23,0.7,124,2.66,955
N.S.,4108,IA,41.808,-95.3095,Planted/Cultivated,No,Yes,9.1,0.6,60,29.1,0.5,124,2.79,1240
C-357318,4444,MO,38.111,-94.5866,Herbaceous ,No,Yes,9.1,0.3,60,23.7,0.9,78,3.44,1490
C-357310,4044,CA,35.7319,-119.8198,Herbaceous ,No,Yes,9.1,1.4,63,13.2,0.6,99,3.11,403
C-357306,3932,WA,47.9346,-118.937,Planted/Cultivated,No,Yes,9,0.1,24,15,0.1,62,2.46,462
C-357305,3916,TX,27.8418,-99.7346,Herbaceous ,No,Yes,9,0.3,26,13.3,0.4,58,2.32,416
C-357300,3788,PA,41.3275,-76.4601,Forested,No,No,9,5,29,186,3.2,304,1.56,6850
C-342927,3711,NY,42.1089,-77.369,Planted/Cultivated,No,Yes,9,0.2,30,18.6,0.3,59,1.91,678
C-359213,3567,MD,39.339,-79.3862,Forested,No,No,9,0.05,32,18.1,0.3,52,2.37,187
C-357297,3676,MS,33.1902,-90.8648,Developed,Yes,No,9,0.6,35,34.1,0.4,138,1.76,397
C-357298,3704,NE,41.8135,-96.1535,Planted/Cultivated,No,Yes,9,0.4,36,24,0.5,78,2.1,478
C-357303,3903,SD,43.5123,-98.5657,Planted/Cultivated,No,Yes,9,0.3,37,15.4,0.6,61,2.04,841
C-359212,3460,IN,39.6553,-85.8339,Planted/Cultivated,No,Yes,9,0.7,38,35.6,0.3,119,2.2,729
C-357301,3832,SD,45.3112,-102.2093,Planted/Cultivated,No,Yes,9,0.2,38,13.4,0.5,61,2.29,465
C-342352,3435,IN,39.4848,-86.8849,Forested,No,No,9,0.2,39,29.1,0.6,64,1.67,1910
C-342345,3455,IN,40.7275,-85.4121,Planted/Cultivated,No,Yes,9,0.3,39,19.4,0.5,63,2.23,381
C-357302,3868,SD,45.4486,-99.8428,Herbaceous ,No,Yes,9,0.3,40,16,0.6,60,1.99,1580
N.S.,3396,GA,31.7366,-84.6235,Planted/Cultivated,No,Yes,9,0.05,41,22.9,0.6,31,3.38,508
C-357293,3512,IN,38.961,-86.6193,Planted/Cultivated,No,Yes,9,0.2,45,23.6,0.6,63,2.09,1930
C-357307,3960,WY,42.7606,-106.1335,Shrubland,No,No,9,0.6,50,23.3,0.6,88,2.43,500
C-357299,3768,OK,36.981,-98.8807,Planted/Cultivated,No,Yes,9,0.1,51,13.9,0.4,69,2.85,493
C-357343,3420,IA,41.0053,-93.4825,Forested,No,No,9,0.3,52,24.3,0.7,64,2.33,1680
C-357294,3524,KS,38.0841,-95.7159,Planted/Cultivated,No,Yes,9,0.3,52,31.9,0.6,71,2.95,829
C-359214,3647,MO,38.751,-93.894,Planted/Cultivated,No,Yes,9,0.3,53,26.4,0.5,61,2.39,1030
C-359211,3391,CO,40.2595,-106.4502,Shrubland,No,No,9,0.9,55,27,2.7,116,2.83,250
C-357295,3660,MO,36.9401,-93.7245,Herbaceous ,No,Yes,9,1.4,56,52.6,0.6,518,2.4,894
C-357304,3908,SD,44.9068,-100.4715,Planted/Cultivated,No,Yes,9,0.3,57,19.3,1.1,141,3.49,863
C-357309,3967,WY,41.3842,-106.1376,Forested,No,No,9,1.9,64,22.1,1,109,2.96,775
C-300462,3612,ME,46.3507,-67.9118,Forested,No,No,9,0.4,69,23,0.1,99,4.11,1040
C-357341,3320,AZ,33.697,-112.1444,Planted/Cultivated,No,Yes,9,0.1,83,16.6,0.1,61,3.34,634
C-357342,3356,AZ,34.3397,-112.6308,Shrubland,No,No,9,0.2,250,19.3,0.1,95,4.7,1020
C-357331,2808,NV,38.4924,-116.9417,Shrubland,No,No,8.9,0.2,9,20.2,0.1,52,1.58,480
C-359210,3199,TX,29.3294,-103.6022,Shrubland,No,No,8.9,0.4,20,12,1.7,77,2.3,293
C-342923,2687,MT,48.2915,-115.5857,Forested,No,No,8.9,0.1,25,22.6,0.1,131,3.04,759
C-357333,2936,OH,41.0968,-80.8135,Forested,No,No,8.9,0.2,29,38.1,0.4,70,1.71,612
C-357325,2500,MI,42.2371,-83.7828,Herbaceous ,No,Yes,8.9,0.3,30,16.8,0.4,73,2.31,561
C-357329,2680,MT,48.6785,-105.3635,Planted/Cultivated,No,Yes,8.9,0.3,34,15.8,0.5,55,1.96,411
N.S.,3164,SD,45.3242,-97.0221,Herbaceous ,No,Yes,8.9,0.4,34,15.6,0.5,49,1.96,827
C-357339,3100,SD,44.0166,-101.5749,Planted/Cultivated,No,Yes,8.9,0.4,35,20.7,0.7,65,2.49,640
C-359205,2436,IL,38.9603,-87.9149,Planted/Cultivated,No,Yes,8.9,0.2,36,25,0.5,71,1.97,1170
C-342339,3179,SD,45.7448,-99.1895,Herbaceous ,No,Yes,8.9,0.3,36,13.5,0.3,49,2.07,1080
C-357340,3256,UT,41.8637,-111.5755,Herbaceous ,No,Yes,8.9,1.1,41,23.4,0.2,107,2.46,813
C-359209,2943,OK,35.9448,-95.5934,Planted/Cultivated,No,Yes,8.9,0.1,43,22,0.7,31,2.94,482
C-357330,2744,ND,48.1075,-103.3851,Planted/Cultivated,No,Yes,8.9,0.3,44,14.8,0.4,66,2.18,598
C-357338,3084,SD,43.3147,-103.004,Herbaceous ,No,Yes,8.9,0.2,44,22.2,0.6,91,2.9,449
C-359206,2623,MO,37.1178,-93.9477,Developed,Yes,No,8.9,0.2,45,33.6,0.4,39,2.19,1390
C-359208,2879,NV,41.4147,-117.6355,Shrubland,No,No,8.9,0.6,46,20.7,0.1,98,3.39,913
C-357334,2991,OK,36.4193,-96.9928,Planted/Cultivated,No,Yes,8.9,0.3,47,30.2,0.4,82,2.71,1120
C-357336,3020,OK,35.4845,-96.2134,Planted/Cultivated,No,Yes,8.9,0.1,49,16.9,0.5,31,2.07,463
C-357332,2908,OH,39.4586,-82.1883,Forested,No,No,8.9,0.2,50,29.8,1,91,3.35,756
C-357327,2616,MO,38.6013,-94.595,Planted/Cultivated,No,Yes,8.9,0.1,59,27,0.4,51,3.02,823
C-357328,2652,MO,40.0677,-94.2567,Herbaceous ,No,Yes,8.9,0.1,59,23.2,0.4,49,2.74,583
C-357324,2488,LA,31.594,-91.6293,Herbaceous ,No,Yes,8.9,0.3,60,24.5,1,117,3.72,623
C-300431,2588,MO,36.9353,-89.241,Planted/Cultivated,No,Yes,8.9,0.6,61,26.6,0.5,89,2.98,704
C-357337,3064,OR,43.5234,-123.2146,Forested,No,No,8.9,0.05,129,12.9,0.5,139,6.12,2120
C-359204,2431,CA,38.517,-121.694,Herbaceous ,No,Yes,8.9,0.1,335,11.9,0.3,85,3.88,700
C-357261,2232,NV,41.8072,-118.8395,Shrubland,No,No,8.8,0.5,17,18.8,0.1,90,2.65,1180
C-342929,1919,MT,48.4922,-107.5283,Herbaceous ,No,Yes,8.8,0.1,27,14.2,0.6,59,1.96,411
C-357255,1884,MT,48.0099,-112.7084,Forested,No,No,8.8,0.2,29,17.9,0.2,79,2.96,369
C-359202,2175,NM,35.9173,-104.545,Shrubland,No,No,8.8,0.3,32,16.2,0.6,57,2.26,356
C-359203,2244,NV,38.6759,-114.8352,Shrubland,No,No,8.8,0.3,32,19.8,0.1,62,2.54,576
C-357257,1967,MT,47.6099,-109.5263,Planted/Cultivated,No,Yes,8.8,0.4,33,16.7,0.4,69,2.09,414
C-357323,2332,SD,45.5862,-102.6729,Planted/Cultivated,No,Yes,8.8,0.2,34,13.9,0.6,54,1.84,379
C-357254,1868,LA,32.1939,-91.6399,Developed,Yes,No,8.8,0.05,35,16.1,0.3,32,1.32,1720
N.S.,2396,TN,36.313,-86.0692,Planted/Cultivated,No,Yes,8.8,0.1,36,16.5,0.2,59,3.04,1280
C-357250,1720,IA,40.6203,-92.4559,Planted/Cultivated,No,Yes,8.8,0.2,37,24.8,0.5,91,2.24,576
C-357259,2040,ND,48.2466,-103.0883,Planted/Cultivated,No,Yes,8.8,0.3,40,14.3,0.4,61,2.08,623
C-357251,1820,IN,39.7451,-87.2797,Planted/Cultivated,No,Yes,8.8,0.1,41,21.6,0.7,54,1.92,789
N.S.,2076,NE,42.2031,-96.4352,Planted/Cultivated,No,Yes,8.8,0.6,42,21,0.4,75,2.27,755
C-357260,2060,NE,40.1528,-97.8686,Planted/Cultivated,No,Yes,8.8,0.4,43,24.2,0.3,72,2.61,422
C-342354,2411,TX,29.839,-99.7893,Herbaceous ,No,Yes,8.8,0.4,43,25.7,0.5,77,2.91,828
C-342918,1663,IA,42.5216,-90.9764,Planted/Cultivated,No,Yes,8.8,0.2,44,20.8,0.7,66,2.43,1110
C-357252,1855,KS,39.1534,-97.5373,Herbaceous ,No,Yes,8.8,0.2,46,21.1,0.3,66,2.48,401
C-359201,1775,IL,42.241,-89.6503,Planted/Cultivated,No,Yes,8.8,0.2,49,22.7,0.5,72,2.27,1160
C-357256,1912,MT,47.9968,-105.9939,Planted/Cultivated,No,Yes,8.8,0.3,49,14.6,0.4,77,2.77,377
C-357249,1628,IA,41.4439,-91.9454,Planted/Cultivated,No,Yes,8.8,0.3,51,37.6,0.4,127,2.63,1060
C-357247,1592,IA,41.4357,-91.8686,Planted/Cultivated,No,Yes,8.8,0.2,54,20.2,0.6,94,2.42,948
C-357248,1599,IA,41.7914,-92.7582,Planted/Cultivated,No,Yes,8.8,0.5,54,43.3,0.6,155,2.5,1270
C-357258,1996,ND,47.2991,-102.2056,Planted/Cultivated,No,Yes,8.8,0.4,64,15.6,0.6,96,3.87,973
C-357322,2316,SD,44.9098,-100.6264,Herbaceous ,No,Yes,8.8,0.2,64,22.3,1.2,125,3.85,942
C-357239,1292,NC,34.947,-78.1911,Planted/Cultivated,No,Yes,8.7,0.05,6,4.9,0.1,35,0.13,47
C-342919,895,CA,34.9717,-118.0225,Shrubland,No,No,8.7,0.2,14,20.2,0.1,84,3.06,549
C-357245,1528,TX,29.3127,-100.4241,Planted/Cultivated,No,Yes,8.7,0.8,18,275,0.6,155,1.35,252
C-357287,972,ID,44.5103,-115.0716,Forested,No,No,8.7,0.9,19,20,0.1,96,1.57,987
C-357241,1364,NV,40.9817,-115.0047,Shrubland,No,No,8.7,0.4,25,18.4,0.1,62,2.02,607
C-357238,1208,MT,47.6215,-113.806,Forested,No,No,8.7,0.05,29,16.9,0.1,65,2.2,573
C-357240,1308,ND,46.0772,-100.4426,Herbaceous ,No,Yes,8.7,0.2,37,11.8,0.3,54,2.05,371
C-357244,1476,TN,35.1232,-85.0457,Planted/Cultivated,No,Yes,8.7,0.1,37,31.4,0.7,55,2.6,3720
C-357288,1016,IL,38.817,-89.522,Planted/Cultivated,No,Yes,8.7,0.1,40,21.1,0.5,58,2.07,1020
C-357246,1564,UT,41.5937,-112.6657,Herbaceous ,No,Yes,8.7,0.5,41,14.8,0.1,55,1.59,364
C-357290,1052,IN,38.2085,-86.8537,Planted/Cultivated,No,Yes,8.7,1.9,43,29,0.5,198,2.46,762
C-342353,1387,NY,42.856,-75.616,Planted/Cultivated,No,Yes,8.7,0.3,43,26.8,0.5,116,3.29,1030
C-359198,1220,MT,45.9898,-111.5531,Shrubland,No,No,8.7,0.6,44,26.9,0.1,79,2.54,706
C-357242,1464,TN,35.3384,-87.6763,Forested,No,No,8.7,1.3,44,20.1,0.7,252,10.1,4450
C-357237,1180,MO,40.395,-95.4657,Planted/Cultivated,No,Yes,8.7,0.4,47,20,0.5,68,2.32,710
C-342925,1087,KY,37.5931,-84.8045,Developed,Yes,No,8.7,0.1,50,23.4,0.6,130,3.25,763
C-357289,1036,IL,41.1382,-88.5769,Planted/Cultivated,No,Yes,8.7,0.5,54,23.2,0.6,117,2.46,570
N.S.,1372,NV,35.7038,-114.7098,Shrubland,No,No,8.7,0.1,54,20.7,0.1,53,2.51,442
C-359200,1407,NY,42.3737,-74.2319,Forested,No,No,8.7,0.4,54,57.6,1.3,108,3.03,3300
C-359197,1156,MO,38.8518,-94.4907,Planted/Cultivated,No,Yes,8.7,0.3,55,23.6,0.4,72,2.97,522
C-359196,1151,MI,42.8,-82.8578,Developed,Yes,No,8.7,0.4,56,19.2,0.4,73,3.38,472
C-357286,952,IA,43.3001,-95.7426,Planted/Cultivated,No,Yes,8.7,0.4,57,22.5,0.6,88,2.67,965
C-357236,1116,LA,31.0826,-91.692,Forested,No,No,8.7,0.4,79,33.3,0.6,114,4.1,605
C-359199,1263,MT,45.8632,-110.6821,Herbaceous ,No,Yes,8.7,0.3,98,17,0.3,90,4.36,861
C-357282,831,TX,29.5276,-103.125,Shrubland,No,No,8.6,0.5,10,8.8,1.5,117,5.94,971
C-342933,639,NV,38.0923,-117.0136,Shrubland,No,No,8.6,0.2,12,21.5,0.1,54,1.81,498
N.S.,348,AZ,32.8819,-113.0651,Shrubland,No,No,8.6,0.1,22,17.7,0.1,37,2.05,396
C-342356,619,ND,46.103,-102.486,Herbaceous ,No,Yes,8.6,0.2,29,13.3,0.4,53,1.64,255
C-357283,844,TX,31.5958,-106.2387,Planted/Cultivated,No,Yes,8.6,0.3,29,21.3,0.3,76,2.36,444
C-300482,796,SD,44.7929,-103.8871,Herbaceous ,No,Yes,8.6,0.1,34,16.3,0.4,61,1.74,149
C-357285,888,TX,30.5572,-100.8193,Planted/Cultivated,No,Yes,8.6,0.5,35,20,0.4,82,2.63,729
C-359194,751,SD,44.8047,-96.5613,Herbaceous ,No,Yes,8.6,0.4,37,15.7,0.4,49,2.11,636
C-357280,708,SD,43.733,-103.3392,Herbaceous ,No,Yes,8.6,0.3,39,16.7,0.5,66,1.93,693
C-357275,568,IN,39.6882,-86.6468,Planted/Cultivated,No,Yes,8.6,0.3,40,54.3,0.5,79,2.08,1030
C-357276,575,KY,37.3689,-86.1165,Herbaceous ,No,Yes,8.6,0.05,40,17.8,0.5,42,2.03,1150
C-357272,440,ID,43.1721,-111.3576,Forested,No,No,8.6,1.1,41,21.5,0.1,96,1.8,668
C-357274,540,IN,41.3535,-87.3287,Planted/Cultivated,No,Yes,8.6,0.2,41,22.7,0.6,62,2.05,766
C-357279,696,PA,40.7021,-79.8145,Forested,No,No,8.6,0.6,41,32.1,0.9,109,2.88,1720
C-357284,860,TX,29.9009,-98.1121,Planted/Cultivated,No,Yes,8.6,0.3,41,27.3,0.7,55,2.14,887
C-357273,452,IL,40.9175,-89.6396,Planted/Cultivated,No,Yes,8.6,0.4,46,41.3,0.6,97,2.25,988
C-357278,644,OH,40.4983,-84.503,Planted/Cultivated,No,Yes,8.6,0.4,47,23.8,0.4,82,2.72,429
C-359193,388,IA,42.3839,-95.3421,Planted/Cultivated,No,Yes,8.6,0.4,50,21.2,0.6,88,2.72,1040
C-357277,604,LA,30.2593,-91.2837,Herbaceous ,No,Yes,8.6,0.5,63,23.9,0.6,93,2.93,598
C-342931,383,CA,37.1653,-121.639,Planted/Cultivated,No,Yes,8.6,0.1,113,20.7,0.1,78,3.06,516
C-342355,363,CA,39.8035,-121.4492,Forested,No,No,8.6,0.3,146,10.9,0.2,110,5.17,961
C-357269,248,TX,30.6357,-103.8519,Non-Natural Woody,No,No,8.5,0.2,9,68.7,0.2,88,2.59,631
C-352648,12908,NV,38.6908,-116.917,Shrubland,No,No,8.5,0.3,13,25.2,0.1,69,1.99,730
C-342934,191,TX,31.523,-101.4749,Planted/Cultivated,No,Yes,8.5,0.2,27,14,0.3,51,1.76,307
C-353844,12604,ND,46.8772,-98.6434,Herbaceous ,No,Yes,8.5,0.3,28,12.7,0.5,55,1.81,1300
C-357270,268,UT,38.831,-113.1348,Shrubland,No,No,8.5,0.2,30,13.7,0.1,35,1.38,278
C-353839,11884,MT,47.7048,-115.242,Forested,No,No,8.5,0.3,33,23.7,0.2,107,3.59,1690
C-357267,184,TN,36.1129,-88.8286,Planted/Cultivated,No,Yes,8.5,0.05,33,19.5,0.4,42,1.79,560
C-359192,239,TX,32.2937,-100.1685,Planted/Cultivated,No,Yes,8.5,0.2,33,17.8,0.3,51,2.31,338
C-359191,196,TX,34.0995,-100.1418,Planted/Cultivated,No,Yes,8.5,0.2,34,16.8,0.2,51,2.38,385
C-353845,12616,NM,36.4757,-106.8278,Forested,No,No,8.5,0.1,35,19,0.6,83,2.24,152
C-353832,9836,CA,38.278,-120.311,Forested,No,No,8.5,0.1,37,33.1,0.2,96,6.05,914
C-353843,12348,ND,47.1041,-100.7755,Herbaceous ,No,Yes,8.5,0.2,38,14,0.4,61,2.06,465
C-357265,28,OR,44.0249,-117.1462,Herbaceous ,No,Yes,8.5,0.5,38,18.5,0.3,98,3.72,659
C-359190,127,SD,44.7714,-98.4193,Planted/Cultivated,No,Yes,8.5,0.5,38,14.5,0.3,68,1.93,820
C-357266,156,SD,45.9101,-103.0521,Planted/Cultivated,No,Yes,8.5,0.2,38,15.5,0.4,69,2.33,526
C-353829,9532,AR,36.4643,-90.8315,Planted/Cultivated,No,Yes,8.5,0.05,40,23.4,0.5,29,1.64,1180
C-300435,92,SD,45.0624,-98.0856,Planted/Cultivated,No,Yes,8.5,0.5,40,15.5,0.4,72,1.92,2520
C-357264,12,NV,41.7103,-116.8065,Shrubland,No,No,8.5,0.6,41,18.3,0.1,92,3.23,1030
C-353835,10988,KY,37.0382,-84.8151,Planted/Cultivated,No,Yes,8.5,0.2,42,26.3,0.4,63,1.68,334
C-353836,11080,KY,38.3886,-83.0903,Herbaceous ,No,Yes,8.5,0.1,43,20.9,0.4,94,2.83,567
C-353837,11116,KY,37.0186,-88.8423,Developed,Yes,No,8.5,0.1,43,21.7,0.4,60,1.96,1570
C-352646,11628,MS,34.5186,-88.5341,Forested,No,No,8.5,0.2,43,26.2,0.5,96,3.31,170
C-352644,11244,MN,43.7492,-95.6129,Planted/Cultivated,No,Yes,8.5,0.3,45,15.3,0.6,59,2.38,672
C-353833,10092,IA,41.2947,-95.7986,Planted/Cultivated,No,Yes,8.5,0.6,46,22.6,0.5,92,2.36,781
C-353828,8812,AR,34.1463,-91.1763,Forested,No,No,8.5,0.2,47,26.8,0.5,64,2.66,582
C-353846,13164,NV,41.7547,-117.1434,Shrubland,No,No,8.5,0.6,47,18.8,0.1,84,3.14,1250
C-357271,284,VA,37.3306,-82.2145,Forested,No,No,8.5,0.2,47,28.5,0.5,230,3.24,1140
C-353842,12268,ND,46.6208,-99.4402,Herbaceous ,No,Yes,8.5,0.4,48,16.8,0.7,87,2.23,1670
C-353834,10860,IL,41.8348,-88.3703,Herbaceous ,No,Yes,8.5,0.8,49,30.1,0.5,139,2.1,1120
C-353838,11324,MO,39.0412,-93.2665,Planted/Cultivated,No,Yes,8.5,0.2,49,21.4,0.3,70,2.28,789
C-352643,10220,IA,43.1556,-96.3566,Planted/Cultivated,No,Yes,8.5,0.6,50,21,0.7,123,2.47,1000
C-352647,12012,MT,44.8784,-113.2571,Shrubland,No,No,8.5,0.4,55,26.8,0.3,119,3.42,771
C-352645,11336,MO,37.8199,-94.5658,Planted/Cultivated,No,Yes,8.5,0.2,56,27.2,0.6,69,2.45,560
C-353841,12140,MT,47.8875,-112.7047,Forested,No,No,8.5,0.2,69,19.4,0.4,96,4.4,699
C-353831,9544,CA,41.569,-124.0546,Forested,No,No,8.5,0.05,180,15,0.7,98,4.31,756
C-353753,3948,CO,38.9771,-105.008,Forested,No,No,8.4,1.1,19,69.3,0.4,133,2.23,2830
C-353826,8172,TX,32.6175,-94.338,Planted/Cultivated,No,Yes,8.4,0.05,22,11,0.3,20,2.87,111
C-353825,8044,PA,41.4006,-79.3129,Forested,No,No,8.4,0.3,29,36.7,0.9,81,1.79,2780
C-353758,5448,MT,47.3346,-108.7381,Planted/Cultivated,No,Yes,8.4,0.3,30,16.5,0.7,78,2.01,390
C-353757,5436,MT,48.1885,-111.3753,Herbaceous ,No,Yes,8.4,0.4,31,13.9,0.5,69,1.79,489
C-353827,8520,UT,40.5139,-112.796,Shrubland,No,No,8.4,0.4,31,15,0.1,47,1.44,356
C-353762,7148,NV,41.2435,-114.6057,Shrubland,No,No,8.4,0.5,35,20.9,0.3,85,2.42,846
C-352631,3820,CO,40.7539,-104.8988,Herbaceous ,No,Yes,8.4,0.5,36,21.6,0.4,91,2.34,403
C-352635,4424,MO,40.0088,-91.9724,Planted/Cultivated,No,Yes,8.4,0.1,36,29.9,0.4,33,1.83,1100
C-353756,4972,MS,32.6318,-90.13,Planted/Cultivated,No,Yes,8.4,0.05,36,20.5,0.2,54,2.25,408
C-352642,8252,TX,31.0435,-97.9431,Planted/Cultivated,No,Yes,8.4,0.3,36,19.3,0.3,59,2.56,543
C-353761,6892,NE,41.2656,-98.7558,Planted/Cultivated,No,Yes,8.4,0.4,38,20.4,0.1,67,2.33,418
C-353824,7788,PA,40.4839,-79.2966,Planted/Cultivated,No,Yes,8.4,0.2,38,31.5,0.6,72,2.9,1210
C-353754,4204,MN,43.6524,-93.6734,Planted/Cultivated,No,Yes,8.4,0.3,39,19.6,0.6,70,2.09,818
C-352638,5740,NC,35.3869,-81.7389,Planted/Cultivated,No,Yes,8.4,0.05,39,20.6,0.7,45,4.34,137
C-353759,5996,ND,48.5628,-102.4796,Planted/Cultivated,No,Yes,8.4,0.3,40,14.1,0.4,59,1.87,651
C-352639,6124,ND,48.1108,-103.9941,Planted/Cultivated,No,Yes,8.4,0.4,40,13.9,0.3,56,2.02,562
C-353823,7228,OH,41.1699,-82.2517,Developed,Yes,No,8.4,0.5,40,54.3,0.6,118,2.29,611
C-353760,6460,NE,40.4754,-96.7608,Planted/Cultivated,No,Yes,8.4,0.3,42,26.3,0.4,59,2.52,706
C-352636,4716,MO,37.6597,-90.2285,Forested,No,No,8.4,0.2,43,61.7,0.4,44,1.95,973
C-353751,3388,AZ,36.5298,-112.2219,Forested,No,No,8.4,0.2,47,18.5,0.3,43,1.44,461
C-352634,4156,LA,29.431,-89.615,Developed,Yes,No,8.4,0.3,47,27,0.7,93,2.63,630
C-353750,3292,AL,34.0777,-85.9159,Forested,No,No,8.4,0.05,48,21,0.5,34,2.23,372
C-352633,4076,KY,38.2419,-84.4185,Developed,Yes,No,8.4,0.5,51,86.8,0.6,239,3.91,1800
C-352640,7240,OH,41.3719,-83.1374,Planted/Cultivated,No,Yes,8.4,0.5,53,30.4,0.7,93,3.25,347
C-352637,5100,MT,45.3146,-106.2675,Shrubland,No,No,8.4,0.6,65,15.7,0.3,102,3.8,917
C-353752,3692,CA,39.889,-121.36,Forested,No,No,8.4,0.1,133,24.6,0.1,119,3.33,551
C-352625,60,NM,36.2599,-107.7373,Shrubland,No,No,8.3,0.2,15,22.5,0.1,43,1.62,540
C-353740,876,NV,41.0763,-116.5644,Shrubland,No,No,8.3,0.4,18,23.1,0.1,82,2.33,745
C-323413,11144,AZ,36.1275,-111.6719,Shrubland,No,No,8.3,0.1,21,12.1,0.1,38,1.48,286
C-340791,12744,MT,47.5359,-105.0388,Herbaceous ,No,Yes,8.3,0.2,22,11.3,0.3,40,1.83,297
C-340793,13000,ND,47.871,-97.554,Planted/Cultivated,No,Yes,8.3,0.4,22,12.6,0.3,63,1.3,1080
C-353746,2796,TX,30.6012,-103.303,Shrubland,No,No,8.3,0.5,23,16,0.3,82,2.25,617
C-323420,13081,NM,35.5307,-107.2038,Shrubland,No,No,8.3,0.2,26,16.6,0.3,66,2.27,238
C-353744,2364,TX,30.629,-99.3643,Herbaceous ,No,Yes,8.3,0.7,27,22.7,0.3,55,1.9,1210
C-352630,2376,TX,31.4813,-101.5998,Planted/Cultivated,No,Yes,8.3,0.3,27,15.7,0.3,56,2.01,422
