A_LabID,SiteID,StateID,Latitude,Longitude,LandCover,Al,As,Ba,Cd,Ce,Co,Cr,Cs,Cu,Fe,Hg,Li,Mg,Mn,Mo,Ni,Pb,Rb,Sb,Se,Sn,Zn
C-320500,847,NV,38.8486,-117.5824,Shrubland,7.43,195,496,16.1,42,11.1,42,26,87.9,4.17,8.24,128,1.62,740,9.16,25.4,2200,110,32.3,3.1,3.2,2130
C-299963,7209,ME,44.2417,-70.4833,Forested Upland,5.35,2.7,352,0.5,43,5.2,63,2.5,16.5,1.59,0.04,23,0.31,635,1.06,34.8,34,79,1.6,0.2,2.5,1440
C-319572,6811,CO,37.8284,-107.6216,Shrubland,5.82,18.4,686,5.1,67.9,14.4,24,12,141,3.63,0.07,51,0.77,4040,9.41,9.8,865,143,6.04,0.4,2.1,977
C-355112,4072,WI,42.7492,-90.2205,Forested Upland,4.61,7.7,610,0.6,51.9,9.5,38,2.5,35.4,2.26,0.04,19,0.57,719,0.87,20.3,49.1,72.5,1.21,0.5,1.3,943
C-319622,4315,CO,39.234,-106.2517,Herbaceous Upland,6.24,25.1,1030,3.2,48.9,6.8,9,2.5,147,7.39,1.32,11,0.34,812,4.23,4,1510,89.1,6.26,0.7,66.9,770
C-337642,12782,MT,46.3279,-112.9026,Forested Upland,3.76,565,399,2.6,28,8.9,20,5,232,13,0.44,28,0.62,6580,70.3,7.2,62.5,46.6,20.8,0.4,32.6,689
C-354233,10830,WA,46.4991,-117.0799,Planted/Cultivated,6.99,4.2,706,0.6,67.9,13.3,48,5,34.7,3.44,0.03,24,0.8,713,0.72,21.1,83,64.7,0.77,0.1,2,612
C-364450,252,PA,40.1828,-75.7392,Forested Upland,7.53,10.5,466,0.2,75.5,21.1,81,2.5,79.8,5.29,0.08,37,0.65,879,2.1,31.9,268,88.6,1.19,0.9,2.5,541
C-351220,1964,IN,38.2089,-86.3363,Forested Upland,9.06,94.5,414,1.4,104,56.8,217,7,98.7,8.28,0.32,71,0.39,480,5.02,217,259,69.8,9.84,1.3,82.4,536
C-311241,6920,MO,36.9401,-93.7245,Herbaceous Upland,3.02,9,317,1.4,47.6,11.7,56,2.5,13.3,2.4,0.06,16,0.16,894,1.33,11.1,52.6,51.6,1.13,0.6,1.8,518
C-357450,7928,TX,32.4671,-94.7756,Forested Upland,1.54,5.8,372,1.1,46.2,4.8,24,2.5,33.6,1.24,0.17,14,0.08,430,0.7,9.1,111,27.7,1.82,0.4,9.7,491
C-319612,2267,CO,38.505,-106.3282,Forested Upland,6.19,4.2,654,1.2,187,9.6,16,2.5,38.6,3.32,0.07,57,1.02,2330,1.31,8.7,174,161,0.97,0.1,5.2,491
C-349950,3068,OH,39.7327,-83.4265,Developed,4.93,12.9,531,0.8,54.8,11.8,59,2.5,39,2.77,0.18,29,1.21,738,3.74,25.1,174,49.1,1.65,0.8,8.2,464
C-325794,2859,NM,35.4259,-106.2848,Shrubland,5.38,6.4,1030,0.2,50.1,7.1,13,2.5,197,2.16,0.01,29,0.84,396,0.64,11.4,16.4,64.6,0.67,0.2,1.9,425
C-358638,12639,CA,41.4516,-122.6448,Forested Upland,7.64,12.6,1910,3.8,65.1,13.7,54,2.5,62.5,3.87,0.07,23,0.7,1210,5.2,71.1,24.2,97.2,4.34,1.7,2.5,406
C-326409,360,OK,36.7692,-94.9279,Planted/Cultivated,3.12,10.5,332,1.8,53.5,7.1,55,2.5,12.8,2.13,0.04,25,0.19,372,0.93,14.7,122,45.5,0.85,0.7,1.9,390
C-319682,2715,CO,38.0546,-107.6892,Forested Upland,6.67,13.4,885,1.5,70.2,14.8,14,10,95.3,4.5,0.03,34,0.92,1950,3.53,6.5,188,97.4,5.96,0.1,1.4,354
C-334783,590,ID,47.4853,-116.0632,Forested Upland,7.07,16.3,748,4.6,53.5,11,25,7,36.8,2.86,0.38,35,0.55,1670,1.24,14.3,178,63.8,10.5,0.2,2.1,324
C-319627,12507,CO,39.5774,-106.4094,Shrubland,5.29,12.9,639,1.9,46.6,5.2,33,2.5,16.6,1.78,0.02,22,0.58,315,0.52,10.8,78.9,113,0.43,0.1,1.6,318
C-357275,568,TX,30.0043,-94.2698,Planted/Cultivated,2.86,4.8,240,0.9,41.8,3.6,37,2.5,5090,1.89,0.04,19,0.18,175,1.07,11.8,90,28.2,3.78,0.4,8.2,311
C-364457,3324,PA,41.3275,-76.4601,Forested Upland,2.77,9,419,5,33.6,9.2,29,2.5,52,1.56,0.46,20,0.29,6850,1.7,24.4,186,60,2.13,3.2,6.4,304
C-358569,10527,CA,36.362,-121.823,Forested Upland,7.98,1.1,741,0.2,74.4,22.6,34,2.5,133,6.46,0.02,34,2.05,946,0.86,9.2,22.4,87.9,0.21,0.1,3.7,295
C-348837,6132,IL,39.5482,-89.3165,Planted/Cultivated,5.79,11.9,658,0.9,51.6,15.4,75,6,46.2,8.46,0.04,23,0.39,495,22.3,40.5,20.3,74.8,0.82,2.8,1.1,288
C-358541,7583,CA,40.402,-121.0357,Forested Upland,9.8,2.6,478,0.2,39.9,43.9,163,2.5,124,6.79,0.03,21,2.59,1720,1.13,112,22.7,28.8,0.38,0.3,1.5,286
C-358559,8543,CA,41.7351,-122.8065,Forested Upland,6.54,14.2,862,0.6,58.3,24.9,90,2.5,170,4.77,0.03,23,1.28,1620,3.78,72.1,21.2,77.2,1.5,0.7,1.8,285
C-334834,2990,ID,44.3101,-112.9184,Forested Upland,4.73,8.1,581,1.1,45.6,6.7,40,5,17.2,2.14,0.03,38,0.8,1100,0.92,17.8,200,67.1,0.76,0.3,1.2,283
C-310091,3176,KS,37.1265,-95.3593,Planted/Cultivated,4.57,10.2,452,0.9,62.9,11.6,70,2.5,26,2.64,0.05,25,0.3,869,1.29,32.3,72.3,80.3,1.67,0.7,2.8,279
C-358549,7967,CA,40.7998,-122.3165,Forested Upland,9.92,13.4,748,0.4,48.6,23.8,78,2.5,135,5.99,0.07,38,0.71,1570,2.51,53.2,36.2,61.7,5.74,1,2.7,271
C-350683,7324,VA,37.8662,-79.1468,Forested Upland,5.68,3,2200,0.2,221,13.7,12,2.5,12.7,5.9,0.09,15,0.23,1200,3.31,4.6,28.6,82.4,0.27,0.7,1.4,270
C-327834,2296,OK,34.0263,-95.684,Planted/Cultivated,5.95,14.5,336,0.3,90.9,16.8,57,5,280,4.66,0.12,61,0.44,708,0.77,29.8,46.6,95,0.91,0.2,16.6,269
C-350425,9388,KY,37.7134,-85.0197,Planted/Cultivated,5.01,8.3,402,0.3,59.8,11,51,2.5,21.5,3.67,0.09,32,0.44,585,1.13,20.8,81.5,55.3,0.96,0.5,2.3,267
C-337578,9902,MT,48.2502,-113.7925,Forested Upland,7.7,5.8,732,0.1,75.8,9.4,32,7,26.1,2.86,0.05,59,0.79,1270,0.71,19,21,93.8,0.69,0.1,1.9,253
C-352643,10220,TN,35.3384,-87.6763,Forested Upland,2.61,8.7,708,1.3,43.6,15.9,44,2.5,19.8,10.1,0.12,15,0.21,4450,2.21,57.2,20.1,26.9,0.67,0.7,0.8,252
C-343209,7415,CA,34.4363,-114.8364,Barren,6.62,3.3,526,0.4,487,18.1,10,2.5,24.9,11.5,0.02,28,0.95,2010,1.6,5.5,17.2,89.6,0.025,0.1,4,250
C-335223,5582,ID,44.3844,-113.1879,Shrubland,5.9,7.5,846,0.9,64.7,9.8,44,5,32.5,2.59,0.02,34,1.34,904,0.81,32.2,110,84.5,1.36,0.1,1.5,248
C-358545,7711,CA,37.3289,-121.4806,Shrubland,7.63,4.2,771,0.05,51.6,13.5,39,2.5,85.1,2.6,0.05,32,0.93,776,0.5,35.5,17.5,87.4,0.56,0.1,1.8,247
C-350384,2476,KY,38.2419,-84.4185,Developed,4.78,8.4,435,0.5,91.5,19.4,51,2.5,24.4,3.91,0.06,32,0.36,1800,0.91,19.3,86.8,96.1,0.82,0.6,4.4,239
C-358552,8143,CA,36.3779,-117.8884,Shrubland,7.44,28.5,736,0.2,50.8,12.2,29,6,72.5,2.38,0.91,165,1.39,617,2.4,22.3,19.8,99.6,8.05,0.1,1.5,238
C-320368,8815,NV,38.5345,-117.0568,Shrubland,4.54,1110,1340,1.7,56.8,7.9,34,8,53.8,2.62,4.34,62,1.03,828,5.55,26.2,76.4,88.7,630,0.1,1.8,237
C-358544,7647,CA,41.2595,-120.0848,Herbaceous Upland,9.26,3,864,0.2,46.8,27.2,110,2.5,97.5,5.66,0.02,16,1.12,1390,0.97,45.8,12.8,47.3,0.34,0.1,1.4,233
C-358563,8799,CA,39.647,-123.614,Forested Upland,8.45,6.8,937,0.1,44,17.7,59,2.5,90,4.4,0.04,36,0.84,1640,0.73,42.1,18.9,68.6,0.65,0.3,1.5,232
C-358547,7839,CA,41.7349,-121.2438,Forested Upland,9.7,2.6,504,0.2,37.1,29.9,56,2.5,113,5.78,0.02,25,1.47,1110,0.96,45.8,14.5,48.9,0.42,0.1,1.8,231
C-358640,12703,CA,39.8644,-120.159,Forested Upland,10.3,3.1,473,0.05,26.5,14.9,20,2.5,78.3,3.36,0.01,12,0.93,637,1.24,12.2,11.7,26.8,0.96,0.1,1.2,231
C-350648,9436,VA,37.3306,-82.2145,Forested Upland,7.28,8.5,656,0.2,78.1,15.3,47,5,21.8,3.24,0.06,56,0.64,1140,0.68,40.3,28.5,102,0.87,0.5,2.8,230
C-314082,1072,LA,29.3383,-89.4096,Developed,4.69,6.8,474,0.6,45,9.3,57,2.5,23.4,2.67,0.04,28,0.7,488,0.86,20.3,35.7,77.1,0.76,0.4,2.4,228
C-353754,4204,TN,36.3407,-82.2633,Planted/Cultivated,5.67,7.1,726,0.5,92.2,27,42,2.5,34.9,2.54,0.05,18,0.34,3150,0.89,19.4,151,87.1,0.49,0.5,1.4,228
C-355976,6559,CA,40.1117,-120.8038,Forested Upland,8.71,217,839,1,49.2,33.7,311,13,69.5,5.32,0.04,43,1.43,1230,1.28,149,64.3,80.1,3.57,0.1,1.6,224
C-314099,11064,LA,29.7593,-90.0918,Developed,6.22,13.9,654,0.8,61.7,15.2,56,6,34.3,3.01,0.09,34,0.8,1800,1.33,31.8,38,93.7,1.09,0.6,2.3,220
C-348660,6056,IL,41.3196,-89.3313,Forested Upland,3.63,6.1,470,2.8,40.3,9,31,2.5,16.7,1.7,0.03,22,2.06,516,1.63,17.7,20.9,57.3,0.56,0.3,1,220
C-355091,1640,WI,43.9282,-91.26,Forested Upland,2.92,48.5,334,1,26.7,7.4,27,2.5,38.7,2.38,0.19,10,1.03,522,1.79,18.2,182,40.7,11.8,0.5,9.7,216
C-358540,7519,CA,38.635,-121.971,Planted/Cultivated,7.89,11.5,820,0.2,42.2,19.7,66,6,119,4.19,0.03,50,1.08,827,0.75,48.9,24.3,89,1.46,0.3,1.6,215
C-320882,444,MD,39.3912,-76.829,Forested Upland,4.47,15.7,302,0.5,56.6,184,3060,2.5,27.8,8.88,0.18,21,4.59,1870,1.26,1980,164,43.8,1.81,0.6,6.8,213
C-351214,528,IN,40.8654,-85.1391,Planted/Cultivated,4.92,9.5,448,0.6,55.5,10.4,46,2.5,28,2.44,0.06,27,1.56,620,3.72,21.9,31.5,80.4,0.82,0.5,2.4,213
C-354253,12942,WA,47.4143,-118.9835,Planted/Cultivated,6.86,3.1,602,0.4,51.5,26.8,34,2.5,28.9,7.15,0.19,16,1.51,1330,1.11,16.8,61.9,39.4,0.93,0.1,2.6,204
C-351216,1260,IN,38.2085,-86.8537,Planted/Cultivated,4.37,8.7,360,1.9,64.4,21.2,43,2.5,48.4,2.46,0.03,26,0.45,762,1.34,265,29,61.2,0.94,0.5,2.3,198
C-351264,11024,IN,40.4167,-85.6041,Planted/Cultivated,4.42,9.6,385,0.9,48.1,9.3,45,2.5,38.2,2.51,0.11,28,0.58,372,5.18,29.7,40.3,57.8,0.98,1.6,2.2,198
C-311277,13192,MO,39.6013,-93.8723,Planted/Cultivated,6.32,15.8,499,1.9,91.4,20,94,7,31.2,3.31,0.05,35,0.62,819,9.13,48,45.4,108,4,1.1,2.2,197
C-358551,8095,CA,41.0041,-121.6407,Forested Upland,12.1,3.2,473,0.1,33.9,50.4,160,2.5,145,8.31,0.02,19,1.49,1690,0.84,125,31.7,37.7,0.38,0.1,1.7,197
C-334792,1294,ID,44.6799,-116.8528,Forested Upland,7.98,3.3,1040,0.5,50.4,30.6,34,2.5,62.7,7.91,0.03,21,0.66,2140,1.39,19.8,13.7,53.9,0.29,0.1,2.1,196
C-358476,4535,CA,34.045,-118.063,Planted/Cultivated,7.64,20.3,982,1,57.9,19.2,49,2.5,169,4.82,0.1,30,1.54,1220,1.13,30.8,212,82.9,4.6,0.2,98,193
C-300438,500,NY,41.1616,-73.8869,Forested Upland,5.33,2.2,329,0.4,41.7,22.2,65,2.5,131,5.25,0.05,14,1.55,832,1.68,24.3,167,41.1,1.16,0.1,2.8,193
C-358560,8607,CA,38.3962,-120.1749,Forested Upland,7.08,4.1,725,0.2,61.3,15.1,42,2.5,155,3.59,0.06,16,1.23,1280,12.6,22.3,23,68.3,1.46,0.1,1.4,186
C-319585,9131,CO,39.4752,-105.6852,Forested Upland,6.33,3.3,850,0.5,145,12.8,44,2.5,24.2,3.56,0.03,24,0.56,952,2.83,23.3,42.7,135,0.32,0.3,3.4,185
C-351819,3540,AZ,32.8545,-110.3405,Shrubland,6.27,3.9,373,0.5,72.1,6.9,17,7,33.1,2.76,0.01,27,0.32,923,2.51,9.4,92.1,200,1,0.1,3.2,183
C-337089,494,MT,46.0301,-112.8237,Herbaceous Upland,6.78,163,876,3.4,62.5,10.8,35,5,182,2.66,0.09,22,0.57,909,0.98,17.8,83.3,68.6,7.01,0.2,2.8,183
C-358629,12063,CA,40.6926,-123.0587,Forested Upland,6.93,9.2,846,0.4,77.2,42.7,265,2.5,111,7.26,0.05,35,1.6,1700,1.32,160,11.8,53.8,1.83,0.1,2,182
C-355941,4703,CA,39.3164,-121.5093,Herbaceous Upland,8.68,10.7,250,0.4,22.7,26.7,75,2.5,53.6,5.87,0.07,14,1.3,1380,0.85,30.6,35.9,23.9,0.56,0.1,2.8,180
C-318455,9918,WY,44.8399,-105.5324,Shrubland,7.37,10,661,0.7,95.4,21.8,62,8,27.1,3.53,0.03,37,0.56,664,1.23,30.5,36.5,113,1.08,0.4,2.6,178
C-326416,4456,OK,36.9573,-94.8072,Planted/Cultivated,2.81,5.7,361,1,59.3,4.9,39,2.5,11,1.32,0.03,21,0.15,365,0.68,9.4,39.7,41.1,0.76,0.5,2.5,178
C-358556,8399,CA,38.3599,-119.1387,Shrubland,8.48,6.5,1210,0.3,62.4,12.4,17,6,87.8,2.99,0.07,27,0.59,846,1.85,12.4,31.5,120,1.62,0.6,1.8,178
C-335490,3566,MT,45.7346,-112.8628,Forested Upland,5.44,35.7,497,4.2,56,8.7,56,7,22.6,2.45,0.08,43,0.68,1620,2.58,26.3,45.2,83.4,2.29,0.8,1.6,178
C-358555,8287,CA,40.491,-123.586,Forested Upland,7.42,7.4,489,0.05,35.1,18.4,104,2.5,90,3.77,0.05,34,0.9,1270,0.8,71.4,15,67.8,0.75,0.3,1.5,176
C-357325,2500,TX,30.8255,-100.1077,Planted/Cultivated,4.58,9.5,352,0.6,61,8.6,31,5,30.6,2.08,0.07,20,0.86,616,1.13,16.6,38.2,72,1.07,0.6,3.5,175
C-358637,12575,CA,35.58,-120.855,Non-Natural Woody,7.08,6.9,660,0.3,42.8,13.8,67,2.5,47.1,2.83,0.09,34,0.81,559,1.02,56.1,19.3,102,1.65,0.2,2,175
C-341263,10492,PA,41.317,-75.8531,Developed,3.73,8.3,296,0.4,40.5,9,37,2.5,35,1.96,0.14,37,0.32,568,1.14,21.6,113,45,0.86,1.3,3.2,174
C-335219,5390,ID,44.6663,-116.8756,Forested Upland,6.82,3.5,931,0.4,45.9,22.3,24,2.5,81.7,7.33,0.05,22,0.7,1640,1.37,18.7,14,48.7,0.33,0.1,1.8,174
C-318525,7803,WY,44.0912,-110.6619,Herbaceous Upland,5.37,4.6,1040,0.5,82.1,5.8,28,5,15.4,2.26,0.02,33,0.38,886,1.67,11.1,26.5,117,0.5,0.1,2.3,173
C-300446,7585,NY,43.9696,-74.2136,Forested Upland,5.99,4.4,366,0.5,143,15.2,19,2.5,8,2.97,0.14,18,0.64,1380,2.71,9.3,20,50.1,0.26,1.1,2,172
C-357274,540,TX,28.3619,-97.3012,Planted/Cultivated,2,3.9,240,0.1,33.7,3.3,14,2.5,10,0.9,0.02,12,0.2,202,0.41,6.2,11.8,31,0.62,0.2,0.8,172
C-300465,5620,NY,41.4234,-74.0015,Planted/Cultivated,4.28,4,335,0.5,45.2,8.9,36,2.5,24.3,2.96,0.09,29,0.75,750,0.8,22.9,273,75,0.65,0.3,2.5,171
C-335260,12687,ID,43.1813,-114.7123,Shrubland,7.78,4.1,582,0.3,53,61,50,2.5,50.6,12.6,0.02,21,1.76,2010,1.29,46.9,9,51.5,0.46,0.1,2,171
C-328194,10080,GA,32.651,-82.4204,Developed,0.58,1,111,0.2,46.3,0.6,2,2.5,3.2,0.19,0.005,3,0.02,45,0.1,2.3,115,10,0.4,0.1,0.8,171
C-364453,1596,PA,41.627,-80.1763,Forested Upland,4.06,12.9,303,0.7,64.8,11.4,50,2.5,92.6,2.26,0.12,28,0.27,1360,3.69,28,73.8,76.3,1.37,1.1,3.6,170
C-335221,5519,ID,44.1778,-113.8562,Shrubland,4.64,9.6,916,1,40,5.6,75,2.5,28.3,1.96,0.04,32,0.74,512,1.91,35.8,13.4,60.4,0.97,1.5,1.2,170
C-326124,8404,NM,34.5875,-108.7674,Shrubland,5.74,5.2,588,0.1,65.9,5.8,12,2.5,58,1.49,0.02,22,0.41,221,1.1,6.7,15.2,97.9,1.05,0.1,1.6,169
C-357641,10680,TX,32.6509,-99.3227,Planted/Cultivated,7.09,13.1,496,0.4,76.2,11.8,50,7,24.3,3.43,0.02,40,0.7,771,2.93,27.6,35.1,107,0.96,0.4,2.5,168
C-334822,1659,ID,42.801,-111.3519,Forested Upland,3.29,4.9,348,2.4,38.3,4.4,53,2.5,16.9,1.47,0.04,43,0.93,635,1.21,15.6,22.4,52.7,0.63,0.8,1,168
C-358475,3255,CA,33.65,-117.6009,Planted/Cultivated,7.11,13.6,880,0.8,46.2,7.4,24,2.5,84.5,3.07,0.17,26,0.61,427,2.05,13.6,28.4,79.6,1.21,0.9,7.5,167
C-334841,3534,ID,44.114,-116.1082,Forested Upland,8.04,2.3,1530,0.4,66.2,7.1,20,2.5,18.8,2.63,0.02,30,0.68,1120,0.89,12.3,21.3,73.7,0.35,0.1,1.4,166
C-358562,8735,CA,36.049,-120.477,Herbaceous Upland,7.09,5.3,675,0.2,35.7,15.6,67,2.5,133,3.47,0.02,21,1.12,503,1.11,36.1,19.4,52.2,0.62,0.1,1.2,166
C-353839,11884,TN,35.8459,-84.6312,Forested Upland,2.74,2.3,387,0.1,52.5,6.7,20,2.5,7.1,0.91,0.06,14,0.18,330,0.37,8.2,21.5,46.8,0.39,0.3,1.1,166
C-328420,11820,SC,34.2708,-80.5128,Planted/Cultivated,0.5,1.1,51,0.7,33.2,0.4,4,2.5,6.1,0.22,0.02,4,0.03,124,0.25,1.6,33.4,4.7,0.24,0.1,1.8,164
C-350930,12188,NC,36.5189,-80.1605,Planted/Cultivated,10,5.1,602,0.2,135,13.5,75,2.5,53.1,6.98,0.06,33,0.59,411,2.21,33.2,26.1,76.5,0.3,0.7,1.4,164
C-335503,1518,MT,46.4924,-112.4233,Forested Upland,6.86,43.6,858,1.1,69.4,10.8,47,7,42.5,3.29,0.02,28,0.71,1310,1.28,17.2,62.7,119,2.23,0.1,2,163
C-353751,3388,TN,36.4849,-86.0033,Forested Upland,4.06,33.7,418,1.2,69.6,33.4,51,6,51.3,3.12,0.1,27,0.41,2040,44.1,86,31.4,72,3.63,1,1.7,163
C-319948,603,WY,41.2399,-106.0807,Shrubland,3.98,14,1580,8.6,37.8,6.5,40,2.5,33.9,1.65,0.06,33,0.47,126,17.3,44.8,12.3,53.5,6.41,6.7,1.3,163
C-355957,5583,CA,37.36,-118.69,Forested Upland,4.58,6.7,1980,1.5,46.1,7.2,49,2.5,103,3.86,0.02,19,1,777,19.1,31.7,13.9,82.7,0.76,1.7,5.3,162
C-337576,9710,MT,46.5373,-112.4597,Forested Upland,6.12,30.8,638,1.2,59,5.4,13,7,56.7,1.38,0.06,29,0.21,1030,1.33,5.4,51.1,143,1.95,0.1,2.5,161
C-354258,6446,WA,48.6613,-121.239,Forested Upland,8.19,16.2,599,0.7,35.5,19.7,92,2.5,48.5,4.48,0.07,32,1.59,1030,1.61,54.8,19.4,38,2.01,0.3,1.5,161
C-353254,8974,OR,44.9436,-117.2896,Forested Upland,8.8,3.2,756,0.2,64.6,41.7,18,2.5,60.3,10.8,0.01,18,0.78,1950,1.78,15.8,12.7,41.8,0.31,0.1,2.6,160
C-358575,10783,CA,37.179,-122.219,Forested Upland,7.07,5.1,1140,0.3,88.4,18.6,32,2.5,30.2,2.96,0.05,30,0.5,1910,1.53,23.2,28.1,160,1.11,0.6,2.2,159
C-354249,12538,WA,45.9545,-120.6654,Forested Upland,9.08,3,565,0.1,45.9,30.2,31,2.5,28.6,9.58,0.02,16,0.73,1450,1.35,17.2,10.5,38.4,0.31,0.1,1.7,159
C-358568,10447,CA,36.453,-118.694,Herbaceous Upland,9.1,1,609,0.05,55.9,8.5,7,2.5,28.7,3.54,0.05,26,0.64,711,0.29,2.8,18.8,96.9,0.15,0.1,2.7,158
C-350670,5340,VA,36.9575,-80.1487,Planted/Cultivated,6.76,3.4,407,0.2,72.5,15.5,72,2.5,28.8,4.15,0.04,15,0.57,1290,0.83,24,49.9,66.4,0.3,0.8,2.7,158
C-353213,2298,OR,44.2417,-123.9529,Forested Upland,7.48,3,158,0.05,77.3,56,435,2.5,113,10.6,0.19,10,1.27,2400,0.99,244,5.7,10.5,0.22,0.3,2,158
C-357357,6156,TX,31.244,-96.0616,Forested Upland,4.69,77.3,323,0.2,259,39,120,2.5,7.7,13.9,0.04,48,0.62,1390,0.76,121,40.4,69.7,2.39,0.9,1.6,158
C-358586,11423,CA,38.932,-120.7563,Forested Upland,6.02,5.8,1500,0.2,53.5,6.2,93,5,54.6,3.4,0.05,27,0.51,216,5.26,40.2,25,84.6,0.74,0.9,3.1,157
C-358646,13103,CA,36.3754,-117.1427,Shrubland,6.5,17.8,495,0.4,95.7,13.1,33,5,43.9,3.6,0.02,36,1.54,665,4.02,24.2,32.5,129,2.18,0.1,2.2,157
C-320460,2127,NV,40.8003,-116.1906,Shrubland,6.35,62.8,855,1.7,53.9,9.8,50,12,32.5,2.58,0.13,33,1.1,612,4.57,31.1,19.2,107,10.1,1.7,1.9,157
C-335473,4942,MT,47.6358,-114.904,Forested Upland,6.7,6.6,1670,0.5,49.2,9,20,2.5,18.8,2.61,0.06,38,0.61,3190,1.2,21.7,27.8,64.2,0.63,0.1,1.8,157
C-337050,10956,MS,31.6958,-90.8531,Developed,3.39,6.1,481,0.5,55.8,6.9,33,2.5,15.4,1.67,0.06,16,0.26,1340,0.71,16.1,31.2,50.9,0.84,0.2,1.2,157
C-337650,13134,MT,47.8674,-115.4395,Forested Upland,6.67,14.3,753,0.4,79.2,11.1,33,9,20.3,3.52,0.03,38,0.54,759,0.91,25.3,34.4,120,1.09,0.1,2.1,156
C-355868,2847,CA,40.813,-123.303,Forested Upland,6.89,14.7,1030,0.3,87.8,30.2,182,2.5,67.2,5.56,0.04,44,1.88,2310,0.64,160,20.9,85.2,0.56,0.1,2.1,156
C-358546,7775,CA,39.426,-122.514,Herbaceous Upland,7.67,15.1,619,0.2,26.6,31.2,198,2.5,90.2,5.33,0.29,48,2.19,714,1.46,166,11.1,40.9,1.83,0.4,1.1,156
C-357439,7364,TX,29.3127,-100.4241,Planted/Cultivated,2.27,8.7,196,0.8,28.5,4.8,18,2.5,31.8,1.35,0.09,14,0.34,252,3.09,18.1,275,28.4,3.9,0.6,25.2,155
C-312444,3592,AR,35.392,-92.7142,Developed,1.31,3.6,216,0.8,33.8,4.8,39,2.5,10.4,1.09,0.07,10,0.08,377,0.54,9.2,31.8,30.3,0.57,0.2,5.1,155
C-348929,2536,IA,41.7914,-92.7582,Planted/Cultivated,5.84,8.8,754,0.5,55.8,13.4,54,2.5,28.3,2.5,0.08,24,0.52,1270,1.24,22.1,43.3,77.9,1.33,0.6,2.6,155
C-350693,220,VA,36.6213,-80.9092,Planted/Cultivated,5.98,2.8,613,0.3,144,12.5,41,2.5,12.9,3.06,0.03,11,0.48,819,0.76,18.9,47.7,86.5,0.25,0.6,1.7,155
C-300455,3177,NY,42.0929,-73.706,Forested Upland,5.83,6.8,452,0.2,57.9,11.9,40,6,25.2,3.03,0.08,44,0.57,1380,0.84,19,38.7,92.3,0.63,0.6,2.6,154
C-341244,5372,PA,41.1772,-76.2105,Planted/Cultivated,5.69,16.9,407,0.4,66.8,10.5,51,6,23.1,3.01,0.08,44,0.52,844,0.9,25.2,43.8,90.7,0.96,0.7,2.8,153
C-350649,9628,VA,36.735,-78.7662,Herbaceous Upland,8.02,3.7,498,0.1,41,17,37,5,36.8,4.03,0.04,35,0.89,892,0.33,24.3,33.1,85.1,0.41,0.4,2.1,152
C-358578,11039,CA,41.2828,-123.583,Forested Upland,7.57,9.3,1070,0.3,51.7,23.6,110,6,72.6,4.4,0.05,45,1.26,1710,1.39,69.3,16.7,88.5,0.84,0.1,1.5,152
C-349984,8208,OH,40.5613,-83.2094,Planted/Cultivated,6.04,10.2,534,0.4,60.8,11.2,47,2.5,30.4,3.02,0.06,30,0.67,416,2.16,26.7,33.6,64.3,0.71,0.6,2.5,151
C-337560,7406,MT,46.2193,-110.5254,Herbaceous Upland,6.98,16.2,767,1.2,72.2,14.5,78,6,44.7,3.59,0.04,22,1.04,2320,1.01,40.2,27.1,86.7,0.9,0.1,1.2,151
C-314219,10316,MS,33.4278,-90.4615,Herbaceous Upland,9.3,10.3,590,0.7,76.2,13.2,73,10,26.4,4.09,0.07,46,1.01,777,1.86,28.5,29.6,158,1.21,1.3,2.9,150
C-300457,5628,NY,42.4512,-77.0448,Planted/Cultivated,5.73,9.5,422,0.4,52.9,12.8,51,2.5,30.7,3.35,0.04,46,0.69,494,0.87,27.1,30.4,99.7,0.6,0.3,2.1,150
C-358567,10399,CA,39.33,-120.571,Forested Upland,7.02,16.8,821,0.3,29,18.9,47,2.5,101,3.4,0.04,15,1.37,813,1.76,17.7,26.9,56.3,1.66,0.2,1.2,150
C-364461,5052,PA,41.3062,-77.6669,Forested Upland,7.38,21.8,1110,0.9,106,22.7,62,11,52.9,3.27,0.12,82,0.54,5260,1.59,32,84.6,164,1.65,1.4,5.3,149
C-348829,264,IL,38.8895,-89.6857,Planted/Cultivated,3.57,7.4,611,0.5,48.5,6.4,38,2.5,166,1.85,0.04,15,0.25,551,1.03,10.6,43.5,59.8,0.95,0.5,4.5,149
C-346640,3598,OR,43.8078,-119.4912,Forested Upland,8.84,5,822,0.4,100,13.3,27,6,30.3,3.53,0.02,28,0.41,1340,1.87,17.5,23.5,79.4,0.93,0.1,3,149
C-353190,206,OR,45.7001,-116.9166,Forested Upland,7.52,2.7,754,0.3,67.7,40.7,24,2.5,36.8,8.41,0.01,16,0.68,1650,1.44,15.5,12.3,56.8,0.3,0.1,2.4,149
C-337647,13022,MT,48.6731,-115.5289,Forested Upland,7.46,4.6,690,0.5,45.8,12.5,23,7,17.4,2.78,0.04,38,0.51,2210,1.35,19.6,21.1,82.8,0.5,0.2,1.9,149
C-358615,9823,CA,39.073,-123.471,Forested Upland,6.4,4.5,968,0.05,36.2,13.8,59,2.5,137,2.78,0.04,36,0.56,1040,0.43,35,18.8,62.2,0.5,0.1,1.6,149
