A_LabID,SiteID,StateID,Latitude,Longitude,LandCover,Al,As,Ba,Cd,Ce,Co,Cr,Cs,Cu,Fe,Hg,Li,Mg,Mn,Mo,Ni,Pb,Rb,Sb,Se,Sn,Zn
C-348526,5352,IA,40.9751,-91.4096,Planted/Cultivated,4.62,7.7,681,0.3,60.8,8,42,2.5,18.7,2.01,0.03,20,0.42,810,0.82,14,28,90.1,0.81,0.7,2.8,90
C-350655,10684,VA,39.2693,-78.2193,Developed,6.26,10.8,436,0.2,68.4,15.3,49,7,22.3,2.85,0.04,50,0.36,612,0.91,24.9,22.1,80.5,1.06,0.4,2.6,90
C-346631,7439,OR,42.0617,-117.7035,Shrubland,7.64,6,861,0.4,81.9,13.8,35,9,31.1,3.69,0.04,37,0.81,848,1.41,19.5,21.2,100,1.79,0.1,2.2,90
C-358582,11215,CA,35.7048,-118.4158,Barren,8.54,6.1,601,0.1,58.5,15.3,39,2.5,40.9,3.84,0.01,25,1.13,742,0.72,22.8,18.7,72.2,0.63,0.1,2.1,90
C-353269,10490,OR,44.5381,-123.3507,Herbaceous Upland,7.49,3,545,0.2,66.1,37,163,2.5,62.6,6.38,0.03,16,0.79,1240,0.72,50.9,12.3,66.4,0.47,0.1,2,90
C-313242,6907,UT,39.9841,-112.4757,Herbaceous Upland,5.41,9.1,467,0.7,76.9,13.2,40,8,25.5,2.53,0.03,37,0.77,784,1.27,19.4,35.4,128,1.08,0.3,2,90
C-319630,6827,CO,40.0492,-106.1423,Shrubland,6.49,3.8,716,0.4,136,8.5,35,2.5,19,3.02,0.02,26,0.47,608,1.1,14.6,29.6,130,0.37,0.1,1.9,90
C-343195,8951,CA,33.6751,-115.9103,Barren,7.41,2.6,828,0.1,187,17.4,45,2.5,24.1,4.54,0.01,22,1.48,799,0.7,24.9,19.9,99.7,0.35,0.1,1.9,90
C-353212,2271,OR,42.7432,-119.9149,Shrubland,8.1,4.4,800,0.2,55.5,16.5,40,2.5,30.6,3.87,0.02,21,0.77,1410,2,21.8,12.8,52.6,0.6,0.1,1.8,90
C-350443,12716,KY,39.0971,-84.7997,Forested Upland,5.28,8.1,396,0.3,68.7,13.8,47,2.5,24.2,3.54,0.11,37,0.54,1060,1.1,27.7,27.3,52.6,0.66,0.9,1.8,90
C-355881,415,CA,38.674,-119.666,Herbaceous Upland,10.1,10.1,1520,0.2,83.2,23.9,44,5,45.4,4.39,0.09,19,0.51,1340,2.16,26.7,29.7,89.9,1.77,0.1,1.7,90
C-314103,8076,LA,30.8143,-91.6412,Planted/Cultivated,6.11,7.3,694,0.4,63.5,12.2,47,5,20.7,2.57,0.06,34,0.76,590,0.69,27.5,22.2,96.4,0.75,0.9,1.6,90
