FIPS,LBC_Rate
28137,57.7
28139,65.8
28141,73.9
28143,61.9
28147,47.8
28149,55.5
28151,66.6
28153,50.3
28155,72
28157,56.4
28159,50.6
28161,75.7
28163,75.2
29023,82.8
29069,93.8
29133,62.3
29143,65.9
29155,83.1
29201,72.2
29207,67.2
31005,31.85
31009,39.83
31017,37.36
31031,38.56
31069,38.23
31071,36.43
31075,36.41
31089,27
31091,41.1
31111,42.8
31113,38.03
31115,35.85
31117,33.85
31149,41.72
31171,31.14
31183,30.82
32003,42.2
34001,41.2
34009,44
34029,42.5
36005,29
36031,43.7
36033,52.4
36035,48.4
36041,69.7
36043,44.6
36047,27.9
36059,29.3
36061,26.5
36081,25.2
36085,39.9
36087,25.4
36103,36.6
36113,50.2
36119,28.8
37007,51.1
37013,53
37015,50.9
37017,52.2
37019,48.1
37025,42.8
37029,42.5
37031,50.1
37037,33.6
37041,51.3
37047,51.5
37049,53
37051,49.8
37053,57.4
37055,53.8
37057,59.4
37059,48.5
37061,49
37063,35.3
37065,48.5
37073,46.3
37077,53.1
37079,43.5
37081,42.3
37083,48.2
37085,55.4
37091,36.8
37093,55.1
37095,61.9
37101,56.2
37103,60.5
37105,51.8
37107,48
37117,50.5
37119,34.7
37123,44.3
37125,42.5
37127,51.7
37129,47.6
37131,48.9
37133,64.7
37135,37.4
37137,54
37139,50.1
37141,49.9
37143,41.1
37145,49.7
37147,39.3
37151,59.1
37153,47.7
37155,57.9
37159,55.4
37163,53.4
37165,64.8
37167,50.1
37177,52.55
37179,39.8
37187,50.1
37191,53.7
37195,49.6
40003,42.8
40005,59
40009,42.9
40011,35.2
40013,60.2
40015,51.2
40017,42.4
40019,57.7
40023,61.4
40027,43.6
40029,52
40031,48.5
40033,61.8
40035,66.6
40037,64.3
40039,61.4
40043,53.51
40047,48.4
40049,58.7
40051,50.2
40053,43.93
40055,73.2
40057,51.47
40059,41.88
40061,55
40063,70.8
40065,52.4
40067,66.8
40069,59.3
40071,64.2
40073,42.8
40075,68.4
40077,50.1
40079,66.1
40081,56.2
40083,49.5
40085,68.1
40087,53.3
40089,63.7
40091,54.6
40093,44.9
40095,66
40099,51.3
40101,65.7
40103,36
40105,75.1
40107,53.4
40109,50.8
40111,68.3
40113,49.8
40115,71.4
40117,63.4
40119,42.5
40121,67.2
40123,57.7
40125,62.6
40127,58.2
40129,39.98
40131,43.4
40133,52.9
40137,52.2
40141,41.6
40143,46
40145,50.8
40147,52.5
40149,38.6
40151,64.3
40153,38.4
41003,28.9
41005,35.8
41011,56.2
41015,46.6
41017,28.8
41019,49.6
41029,39.2
41033,48.8
41039,38.6
41041,41.7
41043,49.1
41047,41.2
41053,34.9
41057,43.8
41063,34.15
42101,50.1
44001,32
45003,44.4
45005,49.6
45009,56.9
45011,55.4
45013,30
45015,53.7
45017,47
45019,37.4
45023,58.8
45025,54.4
45027,44.8
45029,58.3
45031,46.7
45033,53.1
45035,43.4
45037,31.3
45039,52.7
45041,46.8
45043,43.6
45047,47.6
45049,56.7
45051,51.6
45053,34
45055,49.2
45057,45.2
45061,58.8
45063,39.9
45065,45
45067,38.4
45069,64.4
45071,44.5
45075,42.6
45079,42.9
45081,44.5
45085,51.3
45087,58
45089,47.8
47007,56.3
47013,79.3
47017,78.3
47033,48.5
47035,52.7
47045,65
47047,42.5
47051,54
47053,51.5
47061,63.3
47069,65.6
47075,44.1
47079,58.5
47095,65.1
47097,76.3
47119,60.6
47129,62.8
47131,58.5
47143,79.2
47151,82.9
47153,65.8
47157,46.9
47167,67.1
47183,58.7
48001,58.1
48003,39.5
48005,48.9
48007,48.5
48009,47
48013,29.9
48015,36.1
48019,40
48021,47.8
48023,50.7
48025,36.5
48027,50.2
48029,28.6
48031,27.2
48033,36.09
48035,58.3
48037,56.1
48039,42.1
48041,30.6
48045,40.81
48047,32.87
48049,48.9
48051,41.5
48053,42
48055,36.6
48057,47.8
48059,42.4
48061,21.7
48063,45.9
48067,55.3
48071,54.2
48073,38
48075,52.2
48077,58.5
48079,36.04
48081,45.74
48083,56.8
48085,28.1
48087,44.68
48089,33.7
48091,35.7
48093,35.7
48095,36.28
48097,45.1
48099,53.1
48101,42.92
48103,40.84
48105,34.92
48113,34.6
48115,44.2
48119,51.5
48121,31.4
48123,55.7
48125,42.05
48127,30.8
48131,33.6
48133,44.5
48135,44.2
48137,31.6
48139,40.8
48141,21.5
48143,35.5
48145,47.7
48147,53.9
48149,34.5
48151,43.69
