ID,Land_type,Longitude,Latitude,x,y,As,P,Fe,Ec,pH,Mg,Na,Ca,K,S
146,HL,89.2483,22.7824,2665969.9,558465.6,0.021,0.850,2.820,0.490,6.980,13.800,11.100,76.300,1.400,0.890
147,HL,89.2688,22.7203,2668040.071,551579.6623,0.081,1.372,6.560,0.610,6.840,20.700,12.800,94.700,2.800,0.765
148,HL,89.2751,22.7177,2668682.83,551283.1105,,0.312,3.150,0.660,6.980,16.800,15.800,99.100,1.700,1.302
149,MHL,89.2783,22.7022,2669002,549564.3,0.148,1.247,5.440,1.620,6.960,57.700,149.900,143.500,8.600,5.936
150,HL,89.2864,22.7123,2669840.071,550679.6623,0.074,0.808,2.580,0.780,7.120,48.900,22.400,89.400,6.400,1.459
151,HL,89.1632,22.7967,2657241.673,560098.4603,0.117,1.204,5.610,0.510,7.000,32.500,32.300,115.600,4.200,0.993
152,MHL,89.1364,22.784,2654478.3,558716,0.186,1.187,5.590,1.060,6.970,40.300,62.400,119.500,5.500,1.149
153,MHL,89.139,22.7855,2654746.3,558878.3,0.105,0.905,5.790,0.930,6.920,28.900,52.600,107.000,4.100,0.919
154,HL,89.1311,22.7954,2653940.071,559979.6623,0.038,0.792,5.690,0.740,6.780,26.200,26.500,98.200,4.300,0.836
155,HL,89.1134,22.8178,2652140.071,562479.6623,0.125,1.095,6.300,0.680,6.870,28.300,11.600,92.200,5.000,0.749
156,HL,89.1216,22.8175,2652976.8,562436.7,0.042,0.893,7.320,0.680,6.800,23.400,18.600,96.400,4.100,0.825
157,MHL,89.1283,22.728,2653598.2,552521.3,0.109,0.876,6.360,0.860,6.890,29.700,34.600,120.600,4.300,0.990
158,HL,89.127,22.8179,2653540.071,562479.6623,0.043,0.814,8.050,0.670,6.730,20.800,12.000,95.400,4.200,0.797
159,HL,89.1507,22.7921,2655946.446,559606.6626,0.020,0.666,6.630,0.710,6.750,20.400,14.800,99.200,2.800,0.848
159,HL,89.1507,22.7921,2655946.446,559606.6626,0.020,0.666,6.630,0.710,6.750,20.400,14.800,99.200,2.800,0.848
160,MHL,89.1498,22.7711,2655840.071,557279.6623,0.118,1.360,6.630,1.095,7.020,38.500,88.700,107.400,7.300,0.914
161,MHL,89.1478,22.773,2655644.5,557491,0.114,0.800,5.740,1.076,7.040,35.200,85.600,129.900,6.400,1.079
162,MHL,89.144,22.7818,2655256.06,558463.9102,0.094,0.790,5.790,0.979,6.980,28.600,70.200,106.000,4.900,0.971
163,MHL,89.1432,22.7798,2655170.1,558242,0.134,0.830,4.960,1.089,7.010,24.700,87.700,113.200,4.800,1.107
164,HL,89.1388,22.7912,2654731.75,559509.0625,0.123,0.720,5.850,1.044,6.990,27.800,80.500,118.100,5.600,1.204
165,MHL,89.1374,22.7825,2654576.4,558550,0.166,1.070,4.620,1.089,7.100,34.300,70.000,126.400,5.100,1.069
166,HL,89.1293,22.7923,2653757.1,559635,0.182,1.010,6.180,0.992,7.030,40.800,72.300,122.200,5.700,0.991
167,MHL,89.1247,22.7672,2653266.577,556863.6454,0.146,1.240,5.960,0.955,7.030,35.900,89.000,122.800,4.200,1.052
168,MHL,89.1434,22.7741,2655186.025,557612.1724,0.252,1.230,7.090,1.101,7.060,32.300,110.000,109.100,6.600,0.952
169,MHL,89.1451,22.7545,2655350.3,555435,0.135,1.040,4.220,1.220,7.080,39.900,108.600,110.400,7.600,0.972
170,MHL,89.1471,22.7501,2655548.338,554955.5862,0.125,0.720,5.270,1.422,7.050,32.200,211.000,149.000,5.600,2.010
171,MHL,89.1412,22.7449,2654941,554382,0.205,1.530,4.850,1.041,7.070,30.600,80.100,108.700,5.200,1.224
172,MHL,89.138,22.7629,2654622.6,556372.5,0.178,1.000,4.310,1.005,7.050,27.400,52.000,110.900,5.300,1.122
173,MHL,89.1339,22.7622,2654198.5,556301,0.052,0.920,4.400,1.539,7.030,37.800,159.400,133.700,6.100,2.771
174,MHL,89.1345,22.7536,2654263.9,555353.1,0.122,0.990,4.370,1.152,7.070,37.700,97.700,112.400,6.400,1.411
175,MHL,89.1389,22.7484,2654710.6,554767,0.119,0.430,5.320,1.418,7.130,43.200,111.000,168.800,5.200,1.416
176,HL,89.243,22.8105,2665440.071,561579.6623,0.032,0.310,2.340,0.590,7.160,16.400,8.200,81.600,2.800,1.855
177,HL,89.2469,22.8069,2665840.071,561179.6623,0.112,1.250,4.630,0.748,6.970,24.200,58.000,98.200,5.000,0.797
178,HL,89.2487,22.8046,2666026.3,560926.6246,0.095,1.210,2.890,0.531,7.160,18.800,17.000,79.200,3.800,0.836
179,MHL,89.1258,22.7626,2653368.9,556356.1,0.118,1.030,5.150,1.041,7.000,38.700,47.000,124.800,4.700,1.322
180,MHL,89.1252,22.7601,2653308.4,556074,0.099,0.970,4.410,1.076,7.220,42.800,85.600,121.000,6.200,3.766
181,MHL,89.1137,22.7571,2652129,555753.6,0.121,1.170,10.710,0.900,6.920,37.900,37.000,150.700,6.000,1.350
182,MHL,89.111,22.7567,2651848.9,555710,0.097,1.450,10.700,2.030,6.900,46.500,237.600,188.500,6.100,4.258
183,MHL,89.109,22.7591,2651640.071,555979.6623,0.115,1.120,8.650,0.891,6.940,32.900,35.000,125.400,4.000,1.140
184,MHL,89.0985,22.7801,2650575.977,558308.2258,0.099,1.050,7.870,0.844,6.920,22.900,48.700,117.600,4.000,1.176
185,MHL,89.1168,22.7529,2652440.071,555279.6623,0.105,1.040,5.170,1.016,7.040,39.900,39.000,124.000,6.200,1.109
186,MHL,89.1256,22.7534,2653341.2,555337,0.103,1.120,7.240,1.124,6.980,42.900,66.000,137.000,6.100,5.306
187,MHL,89.1253,22.7502,2653315.8,554978,0.062,1.070,3.880,2.830,6.970,66.800,405.000,182.100,7.900,11.296
188,MHL,89.1295,22.7422,2653733.9,554092.4,0.130,1.220,7.520,0.851,7.000,32.600,65.000,122.000,4.200,1.157
189,HL,89.115,22.7917,2652279.2,559582,0.171,1.640,7.010,0.874,6.960,31.200,53.500,114.300,4.700,0.939
190,HL,89.1108,22.7967,2651851.4,560133.5,0.142,1.300,7.690,0.933,6.930,31.000,62.900,130.300,5.000,1.080
191,HL,89.1203,22.8143,2652840.071,562079.6623,0.074,0.690,8.680,1.116,6.900,35.600,54.000,136.300,5.200,2.710
192,HL,89.1088,22.8219,2651670.4,562928,0.094,0.780,4.630,0.803,6.900,26.000,42.200,107.800,5.300,0.970
193,HL,89.1156,22.8246,2652371.582,563230.8338,0.121,1.400,8.920,0.843,6.970,27.500,48.500,110.400,4.500,0.936
194,HL,89.1188,22.8203,2652699.4,562745,0.145,1.030,8.020,1.051,6.970,34.500,40.000,145.800,5.100,1.195
195,HL,89.1299,22.805,2653824.4,561047,0.074,1.060,5.280,0.543,7.050,19.200,26.000,80.100,3.400,0.697
196,HL,89.1504,22.8154,2655940.071,562179.6623,0.458,1.300,9.780,0.817,7.220,23.800,70.000,117.800,4.300,0.955
197,MHL,89.1477,22.7767,2655635.376,557897.1353,0.206,1.500,9.070,2.060,6.920,42.100,242.400,116.600,10.300,1.126
198,HL,89.1809,22.7785,2659040.071,558079.6623,0.227,0.950,3.210,2.070,7.230,47.300,220.000,95.300,9.700,0.812
199,HL,89.1857,22.7876,2659540.071,559079.6623,0.207,1.190,2.840,1.540,7.230,34.500,159.500,86.500,8.900,0.783
200,HL,89.1856,22.7921,2659540.071,559579.6623,0.191,1.300,3.340,1.342,7.180,35.100,80.000,87.800,8.100,0.757
201,HL,89.1993,22.7949,2660940.071,559879.6623,0.183,1.270,3.470,1.083,7.190,30.400,146.000,89.700,6.300,0.787
202,MHL,89.2476,22.7234,2665863.8,551925,0.173,1.860,4.220,0.806,6.970,33.400,42.600,78.400,6.500,0.659
203,MHL,89.2549,22.7153,2666600.383,551030.4751,0.154,1.330,2.600,0.741,7.070,31.100,30.000,82.600,4.700,0.667
204,MHL,89.2553,22.7113,2666640.071,550579.6623,0.233,1.060,2.890,0.776,7.180,32.100,18.000,87.000,5.300,0.699
