ID,Land_type,Longitude,Latitude,x,y,As,P,Fe,Ec,pH,Mg,Na,Ca,K,S
252,MHL,89.2179,22.7083,2662795,550278,0.306,1.300,8.150,3.210,7.020,74.500,474.000,176.000,13.100,1.513
253,MHL,89.2729,22.7274,2668462.6,552357,0.068,1.180,8.090,4.080,7.040,104.400,466.000,232.300,12.900,22.780
254,MHL,89.2778,22.7258,2668968.5,552182,0.052,0.850,4.530,3.300,7.110,77.400,439.900,191.000,9.700,23.453
255,HL,89.2925,22.7247,2670474.9,552043,0.174,0.720,5.940,0.689,7.140,22.600,24.000,92.500,3.300,0.735
256,HL,89.2897,22.7352,2670192.446,553217.7878,0.040,0.990,4.160,1.338,7.090,32.000,191.000,127.200,3.800,1.014
257,HL,89.3082,22.7324,2672094.196,552895.036,0.120,0.650,6.640,1.080,6.930,43.500,74.000,69.200,8.600,0.585
258,HL,89.3096,22.731,2672240.071,552733.6628,0.100,1.390,3.190,1.060,7.140,42.000,39.000,75.700,7.500,0.619
259,HL,89.2926,22.7524,2670498.821,555122.5376,0.041,1.510,3.820,2.690,7.090,61.500,342.700,205.200,6.300,1.616
260,HL,89.248,22.7897,2665940.071,559279.6623,0.024,0.590,5.390,0.540,6.910,14.500,33.000,75.800,2.700,0.898
261,HL,89.2012,22.7886,2661140.071,559179.6623,0.193,0.450,2.190,1.157,7.250,36.100,163.000,96.200,7.000,0.806
262,HL,89.2421,22.805,2665343.524,560974.8966,0.081,0.910,1.780,0.540,7.270,16.300,66.000,77.600,2.700,0.613
263,HL,89.2396,22.8086,2665094.9,561371,0.028,1.440,4.190,0.740,7.100,14.700,86.000,78.500,1.600,0.618
