UPAZILA_ID,POVERTY_PERCENT
BD506469,19.4
BD506475,18.6
BD506479,21.7
BD506485,13.3
BD506486,21.4
BD406528,23.3
BD201547,19.9
BD406576,17.3
BD306702,34.4
BD306706,20.9
BD306758,27.9
BD306768,22.5
BD306704,21.3
BD306807,21.9
BD306852,22.7
BD306860,22.8
BD306863,22.2
BD306864,29.4
BD306876,18.9
BD506909,31.6
BD506915,36.1
BD506941,37
BD506944,35.7
BD506963,31.8
BD506991,37.8
BD457204,31.6
BD457209,35.2
BD457218,30.2
BD457240,37.6
BD457247,40.9
BD457238,37.2
BD457256,41.6
BD457263,34.3
BD457274,30.8
BD457283,35.4
BD557312,35.2
BD557315,31.3
BD557336,43.5
BD557345,30.9
BD557364,36.4
BD557385,27.7
BD207507,5.9
BD207510,4.8
BD207521,7.6
BD207536,16
BD207547,12.4
BD207580,10.2
BD207580,5.4
BD207583,5
BD207585,18.7
BD507605,31.2
BD507616,39.4
BD507619,33.5
BD507622,31.4
BD507633,31.5
BD507639,26.2
BD507655,27.8
BD507672,33.1
BD507683,35.4
BD557704,24.1
BD557725,26.6
BD557734,34.2
BD557773,24.2
BD557790,21.5
BD107838,24
BD107852,21.8
BD107855,22
BD107857,26
BD107866,20.3
BD107876,17.8
BD107895,36.9
BD107914,42
BD107947,52.2
BD107958,38
BD107976,51.5
BD107987,43.3
BD107980,42.7
BD107990,49.1
BD308207,39.7
BD308229,50.5
BD308247,39.6
BD308273,45.7
BD308276,38.7
BD508110,33.6
BD508112,29.4
BD508122,24.1
BD508125,31.4
BD457218,25.7
BD508134,44.1
BD508140,33.3
BD508153,24.9
BD508172,33.4
BD508182,26.8
BD508185,24.4
BD508190,30.9
BD508194,35.7
BD208421,24.8
BD208421,26.1
BD208429,34.7
BD208447,19.3
BD208436,12.2
BD208425,23.4
BD208458,29.3
BD208475,21.2
BD208478,20.5
BD208487,7.3
BD558503,48.3
BD558527,58.3
BD558542,45
BD558558,45.4
BD558573,49.7
BD558576,46.9
BD558549,37.1
BD558592,52.4
BD408704,48.4
BD408725,43.1
BD408743,46
BD303334,48
BD408782,43.1
BD408786,50.2
BD408790,45.2
BD308614,56.3
BD308625,47.9
BD308636,58.3
BD308665,48.1
BD308669,49.8
BD308694,54
BD458937,36.9
BD458967,46.8
BD458970,41.8
BD458988,55.8
BD458990,49.1
BD508811,42.5
BD508827,45.5
BD508844,32.5
BD508850,36.2
BD508861,39.4
BD508867,41.8
BD508878,36.7
BD508889,35.8
BD508894,36.6
BD609018,30.4
BD609023,23.6
BD609027,24.4
BD609029,26.2
BD609032,25.5
BD609033,29.9
BD609047,21
BD609050,24.6
BD609086,28.3
BD609089,25.1
BD609092,31.2
BD609108,19.7
BD609117,15.9
BD609120,12.5
BD207521,34.5
BD609131,10.3
BD609135,16.9
BD303532,14.9
BD609141,52.6
BD609153,34.7
BD609159,45.8
BD609162,14.3
BD609194,39
BD309309,19.7
BD309319,34.4
BD309323,24.3
BD309325,37
BD309328,28.7
BD309338,29.3
BD309347,23.5
BD309357,36.4
BD309366,26.7
BD309376,39.9
BD309385,26
BD309395,31.7
BD559408,26.5
BD559451,29.7
BD558576,23.3
BD559486,25.8
BD559494,28.6
