ID,x,y
1,89.68994037,24.80063353
2,89.8042578,24.1276343
3,89.81412109,24.10535385
4,89.78292653,24.20527273
5,88.97024088,24.81732807
6,88.99914559,24.81776512
7,88.99273342,24.79844892
8,89.01217259,24.8092354
9,89.01369763,24.81216301
10,88.99567034,24.79106462
11,89.03628828,24.80440643
12,89.04153449,24.8139617
13,89.05012814,24.83028765
14,89.05353792,24.82265737
15,89.06126442,24.81444764
16,88.98780891,24.77391675
17,88.99756291,24.77823722
18,89.00501454,24.77324294
19,89.01892445,24.78393745
20,89.03354374,24.79334088
21,89.04839991,24.79781812
22,89.05341754,24.80496655
23,89.06411772,24.80408054
24,88.97449393,24.76267302
25,89.01002611,24.76358547
26,89.03279018,24.77746562
27,89.0315779,24.77360926
28,89.04363483,24.78116826
29,89.06938879,24.79223558
30,89.0781598,24.78746073
31,88.98678924,24.74911789
32,88.98057452,24.73880731
33,88.99257835,24.7433549
34,88.95966388,24.72309071
35,88.96182299,24.71458877
36,88.96010714,24.71306672
37,88.97151549,24.72415773
38,89.00056345,24.74261554
39,89.01029427,24.75014765
40,89.01940786,24.75215278
41,89.0366428,24.76451059
42,89.05718082,24.76853628
43,89.07867944,24.77625812
44,89.06226855,24.75990678
45,89.07077217,24.7601363
46,89.09220996,24.76604442
47,89.11158841,24.77354487
48,89.10068388,24.75745905
49,89.11324485,24.7576431
50,89.13604797,24.76161748
51,89.0965364,24.74256191
52,89.12653851,24.75201611
53,89.08904101,24.72580885
54,89.09891697,24.73090936
55,89.12752295,24.74542314
56,89.12792736,24.74322994
57,89.1291101,24.73661028
58,89.13357922,24.73720947
59,89.09466243,24.71914377
60,89.11981428,24.72598669
61,89.1108464,24.71523344
62,89.08890588,24.70268836
63,89.09795076,24.70544872
64,89.10919211,24.70797085
65,89.09831813,24.69144258
66,89.10817094,24.69938856
67,89.36993918,24.93430229
68,89.27424946,24.92359376
69,89.27961176,24.91479072
70,89.31497605,24.91670635
71,89.36187938,24.91830058
72,89.36745481,24.91410335
73,89.38631496,24.91822047
74,89.27656966,24.90521081
75,89.30406316,24.90864965
76,89.32258075,24.90612411
77,89.34119719,24.90659853
78,89.38455432,24.90643027
79,89.30934926,24.89929353
80,89.32783638,24.89629692
81,89.35224869,24.90032483
82,89.37838497,24.90059578
83,89.30031265,24.88983522
84,89.32825652,24.88897536
85,89.34444754,24.89130526
86,89.38843786,24.88932334
87,89.31811376,24.8825913
88,89.33147558,24.8821537
89,89.37534362,24.88287802
90,89.29594441,24.87062596
91,89.32017419,24.86918985
92,89.31864971,24.8603386
93,89.34038567,24.85815087
94,89.38165248,24.8650828
95,89.30079659,24.85270285
96,89.32381377,24.85107211
97,89.34806664,24.84752287
98,89.37872495,24.85351183
99,89.32445586,24.8355803
