ID,x,y,xm,ym,DIVISION_NAME,DISTRICT_NAME,Land_type,pH,SOM,DEM,NDFI,NDVI
4496,88.43118111,24.62380957,341199.2844,2724199.761,RAJSHAHI,RAJSHAHI,Highland,4.7,1,44.16350555,-0.194572255,0.419389546
4497,89.05393434,24.90679558,404458.0749,2754959.634,RAJSHAHI,JOYPURHAT,Medium Highland 1,5.3,2.5,18.65194702,-0.141992256,0.512566924
4498,88.82496331,25.13526366,381552.1862,2780441.385,RAJSHAHI,NAOGAON,Highland,4.5,1.9,24.91930389,-0.170316771,0.496984661
4499,88.63695259,24.89011603,362324.7595,2753469.871,RAJSHAHI,NAOGAON,Highland,5.4,0.7,21.50941849,-0.136223882,0.489121497
4500,88.82837286,25.04757828,381811.6927,2770727.689,RAJSHAHI,NAOGAON,Highland,5.3,1.7,25.42313766,-0.141303226,0.500189543
4501,88.63720345,24.98236734,362452.574,2763686.261,RAJSHAHI,NAOGAON,Highland,5,1.6,16.05176353,-0.071401291,0.429361314
4502,88.81261324,24.99871176,380174.3444,2765329.86,RAJSHAHI,NAOGAON,Highland,5.4,1.2,20.36462784,-0.165705815,0.531210423
4503,88.37100424,24.74282503,335263.4807,2737451.965,RAJSHAHI,CHAPAI,Highland,4.3,0.9,27.02223206,-0.239118069,0.43139264
4504,88.87441243,24.98756913,386401.1268,2764042.69,RAJSHAHI,NAOGAON,Highland,5.3,1.4,19.94434166,-0.186416775,0.535283446
4505,88.53688816,24.84719351,352165.2645,2748821.144,RAJSHAHI,NAOGAON,Highland,4.7,1.8,35.67276001,-0.221688375,0.408218414
4506,88.63696394,24.84948589,362280.879,2748970.192,RAJSHAHI,NAOGAON,Highland,5.6,2,17.60378265,-0.12098904,0.469488978
4507,88.58538321,25.0400112,357288.3225,2770123.909,RAJSHAHI,NAOGAON,Highland,5.2,1.2,25.00268364,-0.24824129,0.434581012
4508,88.37834698,24.67677688,335919.5943,2730128.092,RAJSHAHI,CHAPAI,Highland,4.6,1.2,36.41791916,-0.24570711,0.424300641
4509,88.54936174,24.71815416,353274.0865,2734516.755,RAJSHAHI,NAOGAON,Highland,4.6,0.7,24.62724495,-0.223541945,0.444929451
4510,88.43984963,24.48721971,341905.6596,2709062.574,RAJSHAHI,RAJSHAHI,Highland,6.3,0.9,28.99581909,-0.227685153,0.444155216
4511,88.53995065,25.13495206,352817.9259,2780687.583,RAJSHAHI,NAOGAON,Highland,5,1.4,37.92729187,-0.199250311,0.437547207
