"DIVISION_NAME","DISTRICT_NAME","UPAZILA_NAME","POVERTY_PERCENT","DIVISION_NAME 2","DIVISION_PCODE","DISTRICT_NAME 2","DISTRICT_PCODE","UPAZILA_NMAE","UPAZILA_PCODE","ADM3_PCODE"
"Rajshahi","Bogra","Dhunat",19.8,"Rajshahi","BD50","Bogra","BD5010","Dhunat","BD501027","BD501027"
"Rajshahi","Bogra","Dhupchanchia",13.2,"Rajshahi","BD50","Bogra","BD5010","Dhupchanchia","BD501033","BD501033"
"Rajshahi","Bogra","Gabtali",15.6,"Rajshahi","BD50","Bogra","BD5010","Gabtali","BD501040","BD501040"
"Rajshahi","Bogra","Kahaloo",11.7,"Rajshahi","BD50","Bogra","BD5010","Kahaloo","BD501054","BD501054"
"Rajshahi","Bogra","Nandigram",16.1,"Rajshahi","BD50","Bogra","BD5010","Nandigram","BD501067","BD501067"
"Rajshahi","Bogra","Sariakandi",21.6,"Rajshahi","BD50","Bogra","BD5010","Sariakandi","BD501081","BD501081"
"Rajshahi","Bogra","Shajahanpur",12.5,"Rajshahi","BD50","Bogra","BD5010","Shajahanpur","BD501085","BD501085"
"Rajshahi","Bogra","Sherpur",15.7,"Rajshahi","BD50","Bogra","BD5010","Sherpur","BD501088","BD501088"
"Rajshahi","Bogra","Shibganj",16.9,"Rajshahi","BD50","Bogra","BD5010","Shibganj","BD501094","BD501094"
"Rajshahi","Bogra","Sonatola",23.7,"Rajshahi","BD50","Bogra","BD5010","Sonatola","BD501095","BD501095"
"Chittagong","Chandpur","Chandpur Sadar",45.5,"Chittagong","BD20","Chandpur","BD2013","Chandpur Sadar","BD201322","BD201322"
"Chittagong","Chandpur","Faridganj",46.6,"Chittagong","BD20","Chandpur","BD2013","Faridganj","BD201345","BD201345"
"Chittagong","Chandpur","Haim Char",61.3,"Chittagong","BD20","Chandpur","BD2013","Haim Char","BD201347","BD201347"
"Chittagong","Chandpur","Hajiganj",53.7,"Chittagong","BD20","Chandpur","BD2013","Hajiganj","BD201349","BD201349"
"Chittagong","Chandpur","Kachua",56.3,"Chittagong","BD20","Chandpur","BD2013","Kachua","BD201358","BD201358"
"Chittagong","Chandpur","Matlab Dakshin",53.7,"Chittagong","BD20","Chandpur","BD2013","Matlab Dakshin","BD201376","BD201376"
"Chittagong","Chandpur","Matlab Uttar",49.9,"Chittagong","BD20","Chandpur","BD2013","Matlab Uttar","BD201379","BD201379"
"Chittagong","Chandpur","Shahrasti",50.5,"Chittagong","BD20","Chandpur","BD2013","Shahrasti","BD201395","BD201395"
"Chittagong","Chittagong","Anowara",15.5,"Chittagong","BD20","Chittagong","BD2015","Anowara","BD201504","BD201504"
"Chittagong","Chittagong","Bakalia",4.9,"Chittagong","BD20","Chittagong","BD2015","Bakalia","BD201510","BD201510"
"Chittagong","Chittagong","Banshkhali",27.9,"Chittagong","BD20","Chittagong","BD2015","Banshkhali","BD201508","BD201508"
"Chittagong","Chittagong","Bayejid Bostami",9.2,"Chittagong","BD20","Chittagong","BD2015","Bayejid Bostami","BD201506","BD201506"
"Chittagong","Chittagong","Boalkhali",10.5,"Chittagong","BD20","Chittagong","BD2015","Boalkhali","BD201512","BD201512"
"Chittagong","Chittagong","Chandanaish",13.5,"Chittagong","BD20","Chittagong","BD2015","Chandanaish","BD201518","BD201518"
"Chittagong","Chittagong","Chandgaon",16.9,"Chittagong","BD20","Chittagong","BD2015","Chandgaon","BD201519","BD201519"
"Chittagong","Chittagong","Chittagong Port",12.4,"Chittagong","BD20","Chittagong","BD2015","Chittagong Port","BD201520","BD201520"
"Chittagong","Chittagong","Double Mooring",0,"Chittagong","BD20","Chittagong","BD2015","Double Mooring","BD201528","BD201528"
"Chittagong","Chittagong","Fatikchhari",17.6,"Chittagong","BD20","Chittagong","BD2015","Fatikchhari","BD201533","BD201533"
"Chittagong","Chittagong","Halishahar",5.6,"Chittagong","BD20","Chittagong","BD2015","Halishahar","BD201535","BD201535"
"Chittagong","Chittagong","Hathazari",1.1,"Chittagong","BD20","Chittagong","BD2015","Hathazari","BD201537","BD201537"
"Chittagong","Chittagong","Khulshi",1.1,"Chittagong","BD20","Chittagong","BD2015","Khulshi","BD201543","BD201543"
"Chittagong","Chittagong","Kotwali",0.3,"Chittagong","BD20","Chittagong","BD2015","Kotwali","BD201541","BD201541"
"Chittagong","Chittagong","Lohagara",18.3,"Chittagong","BD20","Chittagong","BD2015","Lohagara","BD201547","BD201547"
"Chittagong","Chittagong","Mirsharai",13.4,"Chittagong","BD20","Chittagong","BD2015","Mirsharai","BD201553","BD201553"
"Chittagong","Chittagong","Pahartali",30,"Chittagong","BD20","Chittagong","BD2015","Pahartali","BD201555","BD201555"
"Chittagong","Chittagong","Panchlaish",0.8,"Chittagong","BD20","Chittagong","BD2015","Panchlaish","BD201557","BD201557"
"Chittagong","Chittagong","Patenga",3.9,"Chittagong","BD20","Chittagong","BD2015","Patenga","BD201565","BD201565"
"Chittagong","Chittagong","Patiya",8.1,"Chittagong","BD20","Chittagong","BD2015","Patiya","BD201561","BD201561"
"Chittagong","Chittagong","Rangunia",14,"Chittagong","BD20","Chittagong","BD2015","Rangunia","BD201570","BD201570"
"Chittagong","Chittagong","Raozan",8.5,"Chittagong","BD20","Chittagong","BD2015","Raozan","BD201574","BD201574"
"Chittagong","Chittagong","Sandwip",19.1,"Chittagong","BD20","Chittagong","BD2015","Sandwip","BD201578","BD201578"
"Chittagong","Chittagong","Satkania",15.2,"Chittagong","BD20","Chittagong","BD2015","Satkania","BD201582","BD201582"
"Chittagong","Chittagong","Sitakunda",11.5,"Chittagong","BD20","Chittagong","BD2015","Sitakunda","BD201586","BD201586"
"Khulna","Chuadanga","Alamdanga",26,"Khulna","BD40","Chuadanga","BD4018","Alamdanga","BD401807","BD401807"
"Khulna","Chuadanga","Chuadanga Sadar",29.2,"Khulna","BD40","Chuadanga","BD4018","Chuadanga Sadar","BD401823","BD401823"
"Khulna","Chuadanga","Damurhuda",27.1,"Khulna","BD40","Chuadanga","BD4018","Damurhuda","BD401831","BD401831"
"Khulna","Chuadanga","Jiban Nagar",29.1,"Khulna","BD40","Chuadanga","BD4018","Jiban Nagar","BD401855","BD401855"
"Chittagong","Comilla","Barura",37.9,"Chittagong","BD20","Comilla","BD2019","Barura","BD201909","BD201909"
"Chittagong","Comilla","Brahman Para",39.9,"Chittagong","BD20","Comilla","BD2019","Brahman Para","BD201915","BD201915"
"Chittagong","Comilla","Burichang",33.3,"Chittagong","BD20","Comilla","BD2019","Burichang","BD201918","BD201918"
"Chittagong","Comilla","Chandina",41.2,"Chittagong","BD20","Comilla","BD2019","Chandina","BD201927","BD201927"
"Chittagong","Comilla","Chauddagram",34.4,"Chittagong","BD20","Comilla","BD2019","Chauddagram","BD201931","BD201931"
"Chittagong","Comilla","Comilla Adarsha Sadar",24.4,"Chittagong","BD20","Comilla","BD2019","Comilla Adarsha Sadar","BD201967","BD201967"
"Chittagong","Comilla","Comilla Sadar Dakshin",33.3,"Chittagong","BD20","Comilla","BD2019","Comilla Sadar Dakshin","BD201933","BD201933"
"Chittagong","Comilla","Daudkandi",38.5,"Chittagong","BD20","Comilla","BD2019","Daudkandi","BD201936","BD201936"
"Chittagong","Comilla","Debidwar",41.4,"Chittagong","BD20","Comilla","BD2019","Debidwar","BD201940","BD201940"
"Chittagong","Comilla","Homna",38.3,"Chittagong","BD20","Comilla","BD2019","Homna","BD201954","BD201954"
"Chittagong","Comilla","Laksam",37.4,"Chittagong","BD20","Comilla","BD2019","Laksam","BD201972","BD201972"
"Chittagong","Comilla","Manoharganj",47.1,"Chittagong","BD20","Comilla","BD2019","Manoharganj","BD201974","BD201974"
"Chittagong","Comilla","Meghna",37.3,"Chittagong","BD20","Comilla","BD2019","Meghna","BD201975","BD201975"
"Chittagong","Comilla","Muradnagar",45,"Chittagong","BD20","Comilla","BD2019","Muradnagar","BD201981","BD201981"
"Chittagong","Comilla","Nangalkot",45.1,"Chittagong","BD20","Comilla","BD2019","Nangalkot","BD201987","BD201987"
"Chittagong","Comilla","Titas",37.7,"Chittagong","BD20","Comilla","BD2019","Titas","BD201994","BD201994"
"Dhaka","Dhaka","Adabor",12.5,"Dhaka","BD30","Dhaka","BD3026","Adabor","BD302602","BD302602"
"Dhaka","Dhaka","Badda",13.4,"Dhaka","BD30","Dhaka","BD3026","Badda","BD302604","BD302604"
"Dhaka","Dhaka","Bangshal",9.4,"Dhaka","BD30","Dhaka","BD3026","Bangshal","BD302605","BD302605"
"Dhaka","Dhaka","Biman Bandar",1.3,"Dhaka","BD30","Dhaka","BD3026","Biman Bandar","BD302606","BD302606"
"Dhaka","Dhaka","Cantonment",1.5,"Dhaka","BD30","Dhaka","BD3026","Cantonment","BD302608","BD302608"
"Dhaka","Dhaka","Chak Bazar",10.7,"Dhaka","BD30","Dhaka","BD3026","Chak Bazar","BD302609","BD302609"
"Dhaka","Dhaka","Dakshinkhan",24.6,"Dhaka","BD30","Dhaka","BD3026","Dakshinkhan","BD302610","BD302610"
"Dhaka","Dhaka","Darus Salam",14.2,"Dhaka","BD30","Dhaka","BD3026","Darus Salam","BD302611","BD302611"
"Dhaka","Dhaka","Demra",19.9,"Dhaka","BD30","Dhaka","BD3026","Demra","BD302612","BD302612"
"Dhaka","Dhaka","Dhamrai",22.8,"Dhaka","BD30","Dhaka","BD3026","Dhamrai","BD302614","BD302614"
"Dhaka","Dhaka","Dhanmondi",1.4,"Dhaka","BD30","Dhaka","BD3026","Dhanmondi","BD302616","BD302616"
"Dhaka","Dhaka","Dohar",23.9,"Dhaka","BD30","Dhaka","BD3026","Dohar","BD302618","BD302618"
"Dhaka","Dhaka","Gendaria",9.3,"Dhaka","BD30","Dhaka","BD3026","Gendaria","BD302624","BD302624"
"Dhaka","Dhaka","Gulshan",3.3,"Dhaka","BD30","Dhaka","BD3026","Gulshan","BD302626","BD302626"
"Dhaka","Dhaka","Hazaribagh",12.2,"Dhaka","BD30","Dhaka","BD3026","Hazaribagh","BD302628","BD302628"
"Dhaka","Dhaka","Jatrabari",11.6,"Dhaka","BD30","Dhaka","BD3026","Jatrabari","BD302629","BD302629"
"Dhaka","Dhaka","Kadamtali",15,"Dhaka","BD30","Dhaka","BD3026","Kadamtali","BD302632","BD302632"
"Dhaka","Dhaka","Kafrul",7,"Dhaka","BD30","Dhaka","BD3026","Kafrul","BD302630","BD302630"
"Dhaka","Dhaka","Kalabagan",10.1,"Dhaka","BD30","Dhaka","BD3026","Kalabagan","BD302633","BD302633"
"Dhaka","Dhaka","Kamrangir Char",22,"Dhaka","BD30","Dhaka","BD3026","Kamrangir Char","BD302634","BD302634"
"Dhaka","Dhaka","Keraniganj",25.9,"Dhaka","BD30","Dhaka","BD3026","Keraniganj","BD302638","BD302638"
"Dhaka","Dhaka","Khilgaon",13.7,"Dhaka","BD30","Dhaka","BD3026","Khilgaon","BD302636","BD302636"
"Dhaka","Dhaka","Khilkhet",14.7,"Dhaka","BD30","Dhaka","BD3026","Khilkhet","BD302637","BD302637"
"Dhaka","Dhaka","Kotwali",5.9,"Dhaka","BD30","Dhaka","BD3026","Kotwali","BD201541","BD201541"
"Dhaka","Dhaka","Lalbagh",16,"Dhaka","BD30","Dhaka","BD3026","Lalbagh","BD302642","BD302642"
"Dhaka","Dhaka","Mirpur",6.7,"Dhaka","BD30","Dhaka","BD3026","Mirpur","BD302648","BD302648"
"Dhaka","Dhaka","Mohammadpur",4,"Dhaka","BD30","Dhaka","BD3026","Mohammadpur","BD302650","BD302650"
"Dhaka","Dhaka","Motijheel",1.3,"Dhaka","BD30","Dhaka","BD3026","Motijheel","BD302654","BD302654"
"Dhaka","Dhaka","Nawabganj",21.1,"Dhaka","BD30","Dhaka","BD3026","Nawabganj","BD302662","BD302662"
"Dhaka","Dhaka","New Market",3.7,"Dhaka","BD30","Dhaka","BD3026","New Market","BD302663","BD302663"
"Dhaka","Dhaka","Pallabi",12,"Dhaka","BD30","Dhaka","BD3026","Pallabi","BD302664","BD302664"
"Dhaka","Dhaka","Paltan",2.7,"Dhaka","BD30","Dhaka","BD3026","Paltan","BD302665","BD302665"
"Dhaka","Dhaka","Ramna",3.8,"Dhaka","BD30","Dhaka","BD3026","Ramna","BD302666","BD302666"
"Dhaka","Dhaka","Rampura",10.2,"Dhaka","BD30","Dhaka","BD3026","Rampura","BD302667","BD302667"
"Dhaka","Dhaka","Sabujbagh",11.6,"Dhaka","BD30","Dhaka","BD3026","Sabujbagh","BD302668","BD302668"
"Dhaka","Dhaka","Savar",34,"Dhaka","BD30","Dhaka","BD3026","Savar","BD302672","BD302672"
"Dhaka","Dhaka","Shah Ali",15.7,"Dhaka","BD30","Dhaka","BD3026","Shah Ali","BD302674","BD302674"
"Dhaka","Dhaka","Shahbagh",1.5,"Dhaka","BD30","Dhaka","BD3026","Shahbagh","BD302675","BD302675"
"Dhaka","Dhaka","Sher-E-Bangla Nagar",7.7,"Dhaka","BD30","Dhaka","BD3026","Sher-e-bangla Nagar","","BD302680"
"Dhaka","Dhaka","Shyampur",12.9,"Dhaka","BD30","Dhaka","BD3026","Shyampur","BD302676","BD302676"
"Dhaka","Dhaka","Sutrapur",4.6,"Dhaka","BD30","Dhaka","BD3026","Sutrapur","BD302688","BD302688"
