UPAZILA_NAME,UPAZILA_PCODE,DISTRICT_PCODE
Kapasia,BD303336,BD3033
Sreepur,BD303386,BD3033
Gopalganj Sadar,BD303532,BD3035
Kashiani,BD303543,BD3035
Kotali Para,BD303551,BD3035
Muksudpur,BD303558,BD3035
Tungi Para,BD303591,BD3035
Ajmiriganj,BD603602,BD6036
Bahubal,BD603605,BD6036
Baniachong,BD603611,BD6036
Chunarughat,BD603626,BD6036
Habiganj Sadar,BD603644,BD6036
Lakhai,BD603668,BD6036
Madhabpur,BD603671,BD6036
Nabiganj,BD603677,BD6036
Bakshiganj,BD453907,BD4539
Dewanganj,BD453915,BD4539
Islampur,BD453929,BD4539
Jamalpur Sadar,BD453936,BD4539
Madarganj,BD453958,BD4539
Melandaha,BD453961,BD4539
Sarishabari,BD453985,BD4539
Abhaynagar,BD404104,BD4041
Bagher Para,BD404109,BD4041
Chaugachha,BD404111,BD4041
Jessore Sadar,BD404147,BD4041
Jhikargachha,BD404123,BD4041
Keshabpur,BD404138,BD4041
Manirampur,BD404161,BD4041
Sharsha,BD404190,BD4041
Jhalokati Sadar,BD104240,BD1042
Kanthalia,BD104243,BD1042
Nalchity,BD104273,BD1042
Rajapur,BD104284,BD1042
Harinakunda,BD404414,BD4044
Jhenaidah Sadar,BD404419,BD4044
Kaliganj,BD303334,BD4044
Kotchandpur,BD404442,BD4044
Maheshpur,BD404471,BD4044
Shailkupa,BD404480,BD4044
Akkelpur,BD503813,BD5038
Joypurhat Sadar,BD503847,BD5038
Kalai,BD503858,BD5038
Khetlal,BD503861,BD5038
Panchbibi,BD503874,BD5038
Dighinala,BD204643,BD2046
Khagrachhari Sadar,BD204649,BD2046
Lakshmichhari,BD204661,BD2046
Mahalchhari,BD204665,BD2046
Manikchhari,BD204667,BD2046
Matiranga,BD204670,BD2046
Panchhari,BD204677,BD2046
Ramgarh,BD204680,BD2046
Batiaghata,BD404712,BD4047
Dacope,BD404717,BD4047
Daulatpur,BD305610,BD4047
Dighalia,BD404740,BD4047
Dumuria,BD404730,BD4047
Khalishpur,BD404745,BD4047
Khan Jahan Ali,BD404748,BD4047
Khulna Sadar,BD404751,BD4047
Koyra,BD404753,BD4047
Paikgachha,BD404764,BD4047
Phultala,BD404769,BD4047
Rupsa,BD404775,BD4047
Sonadanga,BD404785,BD4047
Terokhada,BD404794,BD4047
Austagram,BD304802,BD3048
Bajitpur,BD304806,BD3048
Bhairab,BD304811,BD3048
Hossainpur,BD304827,BD3048
Itna,BD304833,BD3048
Karimganj,BD304842,BD3048
Katiadi,BD304845,BD3048
Kishoreganj Sadar,BD304849,BD3048
Kuliar Char,BD304854,BD3048
Mithamain,BD304859,BD3048
Nikli,BD304876,BD3048
Pakundia,BD304879,BD3048
Tarail,BD304892,BD3048
Bhurungamari,BD554906,BD5549
Char Rajibpur,BD554908,BD5549
Chilmari,BD554909,BD5549
Kurigram Sadar,BD554952,BD5549
Nageshwari,BD554961,BD5549
Phulbari,BD554918,BD5549
Rajarhat,BD554977,BD5549
Raumari,BD554979,BD5549
Ulipur,BD554994,BD5549
Bheramara,BD405015,BD4050
Daulatpur,BD305610,BD4050
Khoksa,BD405063,BD4050
Kumarkhali,BD405071,BD4050
Kushtia Sadar,BD405079,BD4050
Mirpur,BD302648,BD4050
Kamalnagar,BD205133,BD2051
Lakshmipur Sadar,BD205143,BD2051
Ramganj,BD205165,BD2051
Ramgati,BD205173,BD2051
Roypur,BD205158,BD2051
Aditmari,BD555202,BD5552
Hatibandha,BD555233,BD5552
Kaliganj,BD303334,BD5552
Lalmonirhat Sadar,BD555255,BD5552
Patgram,BD555270,BD5552
Kalkini,BD305440,BD3054
Madaripur Sadar,BD305454,BD3054
Rajoir,BD305480,BD3054
Shib Char,BD305487,BD3054
Magura Sadar,BD405557,BD4055
Mohammadpur,BD302650,BD4055
Shalikha,BD405585,BD4055
Sreepur,BD303386,BD4055
Daulatpur,BD305610,BD3056
Ghior,BD305622,BD3056
Harirampur,BD305628,BD3056
Manikganj Sadar,BD305646,BD3056
Saturia,BD305670,BD3056
Shibalaya,BD305678,BD3056
Singair,BD305682,BD3056
Barlekha,BD605814,BD6058
Juri,BD605835,BD6058
Kamalganj,BD605856,BD6058
Kulaura,BD605865,BD6058
Maulvi Bazar Sadar,BD605874,BD6058
Rajnagar,BD605880,BD6058
Sreemangal,BD605883,BD6058
Gangni,BD405747,BD4057
Meherpur Sadar,BD405787,BD4057
Mujib Nagar,BD405760,BD4057
Gazaria,BD305924,BD3059
Lohajang,BD305944,BD3059
Munshiganj Sadar,BD305956,BD3059
Serajdikhan,BD305974,BD3059
Sreenagar,BD305984,BD3059
Tongibari,BD305994,BD3059
Bhaluka,BD456113,BD4561
Dhobaura,BD456116,BD4561
Fulbaria,BD456120,BD4561
Gaffargaon,BD456122,BD4561
Gauripur,BD456123,BD4561
Haluaghat,BD456124,BD4561
Ishwarganj,BD456131,BD4561
Muktagachha,BD456165,BD4561
Mymensingh Sadar,BD456152,BD4561
Nandail,BD456172,BD4561
Phulpur,BD456181,BD4561
Trishal,BD456194,BD4561
Atrai,BD506403,BD5064
Badalgachhi,BD506406,BD5064
Dhamoirhat,BD506428,BD5064
Mahadebpur,BD506450,BD5064
Manda,BD506447,BD5064
Naogaon Sadar,BD506460,BD5064
Niamatpur,BD506469,BD5064
Patnitala,BD506475,BD5064
Porsha,BD506479,BD5064
Raninagar,BD506485,BD5064
Sapahar,BD506486,BD5064
Kalia,BD406528,BD4065
Lohagara,BD201547,BD4065
Narail Sadar,BD406576,BD4065
Araihazar,BD306702,BD3067
Bandar,BD306706,BD3067
Narayanganj Sadar,BD306758,BD3067
Rupganj,BD306768,BD3067
Sonargaon,BD306704,BD3067
Belabo,BD306807,BD3068
Manohardi,BD306852,BD3068
Narsingdi Sadar,BD306860,BD3068
Palash,BD306863,BD3068
Roypura,BD306864,BD3068
Shibpur,BD306876,BD3068
Bagati Para,BD506909,BD5069
Baraigram,BD506915,BD5069
Gurudaspur,BD506941,BD5069
Lalpur,BD506944,BD5069
Natore Sadar,BD506963,BD5069
Singra,BD506991,BD5069
Atpara,BD457204,BD4572
Barhatta,BD457209,BD4572
Durgapur,BD457218,BD4572
Kalmakanda,BD457240,BD4572
Kendua,BD457247,BD4572
Khaliajuri,BD457238,BD4572
Madan,BD457256,BD4572
Mohanganj,BD457263,BD4572
Netrokona Sadar,BD457274,BD4572
Purbadhala,BD457283,BD4572
Dimla,BD557312,BD5573
Domar,BD557315,BD5573
Jaldhaka,BD557336,BD5573
Kishoreganj,BD557345,BD5573
Nilphamari Sadar,BD557364,BD5573
Saidpur,BD557385,BD5573
Begumganj,BD207507,BD2075
Chatkhil,BD207510,BD2075
Companiganj,BD207521,BD2075
Hatiya,BD207536,BD2075
Kabirhat,BD207547,BD2075
